date_obj,Guthan's%20warspear price
2015-03-26,10749180
2015-03-27,10749180
2015-03-28,10749180
2015-03-29,10996033
2015-03-30,10996033
2015-03-31,11124505
2015-04-01,11124505
2015-04-02,11290425
2015-04-03,11290425
2015-04-04,11598462
2015-04-05,11598462
2015-04-06,11632021
2015-04-07,11632021
2015-04-08,11632021
2015-04-09,11521011
2015-04-10,11521011
2015-04-11,11159000
2015-04-12,11159000
2015-04-13,11152521
2015-04-14,11152521
2015-04-15,11121504
2015-04-16,11121504
2015-04-17,11074887
2015-04-18,11074887
2015-04-19,11019716
2015-04-20,11019716
2015-04-21,11019716
2015-04-22,11120254
2015-04-23,11120254
2015-04-24,11226329
2015-04-25,11226329
2015-04-26,11373946
2015-04-27,11787220
2015-04-28,11787220
2015-04-29,11980451
2015-04-30,11980451
2015-05-01,11718401
2015-05-02,11718401
2015-05-03,11805757
2015-05-04,11805757
2015-05-05,11862575
2015-05-06,11862575
2015-05-07,11698147
2015-05-08,11698147
2015-05-09,11410180
2015-05-10,11410180
2015-05-11,11048060
2015-05-12,11048060
2015-05-13,10839541
2015-05-14,10839541
2015-05-15,10540104
2015-05-16,10540104
2015-05-17,10267207
2015-05-18,10267207
2015-05-19,10027125
2015-05-20,10027125
2015-05-21,10027125
2015-05-22,9585823
2015-05-23,9585823
2015-05-24,9471505
2015-05-25,9471505
2015-05-26,9851428
2015-05-27,9851428
2015-05-28,10153816
2015-05-29,10153816
2015-05-30,10019079
2015-05-31,10019079
2015-06-01,9720878
2015-06-02,9720878
2015-06-03,9249576
2015-06-04,9022342
2015-06-05,8920032
2015-06-06,9114794
2015-06-07,9379056
2015-06-08,9545017
2015-06-09,9669881
2015-06-10,9574874
2015-06-11,9574874
2015-06-12,9343410
2015-06-13,9227184
2015-06-14,9158000
2015-06-15,9158000
2015-06-16,9063148
2015-06-17,9063148
2015-06-18,9008001
2015-06-19,9008001
2015-06-20,9181667
2015-06-21,9181667
2015-06-22,9252808
2015-06-23,9252808
2015-06-24,9280756
2015-06-25,9280756
2015-06-26,9405133
2015-06-27,9405133
2015-06-28,9333174
2015-06-29,9333174
2015-06-30,9218825
2015-07-01,9085082
2015-07-02,9085082
2015-07-03,8900382
2015-07-04,8866381
2015-07-05,8866381
2015-07-06,8734311
2015-07-07,8546572
2015-07-08,8525501
2015-07-09,8525501
2015-07-10,8388734
2015-07-11,8388734
2015-07-12,8228377
2015-07-13,8013478
2015-07-14,7915404
2015-07-15,8022074
2015-07-16,8022074
2015-07-17,8363011
2015-07-18,8363011
2015-07-19,8450433
2015-07-20,8428358
2015-07-21,8428358
2015-07-22,8246941
2015-07-23,8246941
2015-07-24,8306288
2015-07-25,8306288
2015-07-26,8262832
2015-07-27,8340794
2015-07-28,8424578
2015-07-29,8523066
2015-07-30,8523066
2015-07-31,8582646
2015-08-01,8582646
2015-08-02,8621994
2015-08-03,8621994
2015-08-04,8654760
2015-08-05,8751079
2015-08-06,8838138
2015-08-07,8838138
2015-08-08,8900934
2015-08-09,8750365
2015-08-10,8679552
2015-08-11,8649917
2015-08-12,8649917
2015-08-13,8435265
2015-08-14,8255053
2015-08-15,8255053
2015-08-16,8067532
2015-08-17,7948690
2015-08-18,7845189
2015-08-19,8067219
2015-08-20,8067219
2015-08-21,8219572
2015-08-22,8273209
2015-08-23,8273209
2015-08-24,8208291
2015-08-25,8208291
2015-08-26,8272915
2015-08-27,8121886
2015-08-28,8121886
2015-08-29,8084237
2015-08-30,8084237
2015-08-31,8162991
2015-09-01,8210666
2015-09-02,8210666
2015-09-03,8274462
2015-09-04,8307120
2015-09-05,8307120
2015-09-06,8291751
2015-09-07,8386631
2015-09-08,8345501
2015-09-09,8381202
2015-09-10,7983835
2015-09-11,7584643
2015-09-12,7220386
2015-09-13,6887951
2015-09-14,6563292
2015-09-15,6235127
2015-09-16,6235127
2015-09-17,5923370
2015-09-18,5923370
2015-09-19,5627201
2015-09-20,5627201
2015-09-21,5345840
2015-09-22,5097010
2015-09-23,4868823
2015-09-24,4868823
2015-09-25,4637984
2015-09-27,4406084
2015-09-28,4406084
2015-09-29,4229063
2015-09-30,4374153
2015-10-05,4550527
2015-10-06,4618708
2015-10-07,4618708
2015-10-08,4399575
2015-10-09,4399575
2015-10-10,4247413
2015-10-11,4227083
2015-10-12,4227083
2015-10-13,4281428
2015-10-14,4281428
2015-10-15,4330181
2015-10-16,4330181
2015-10-17,4351020
2015-10-18,4351020
2015-10-19,4502418
2015-10-20,4502418
2015-10-22,4310511
2015-10-23,4291853
2015-10-24,4291853
2015-10-25,4354966
2015-10-26,4354966
2015-10-27,4382681
2015-10-29,4425135
2015-10-30,4425135
2015-10-31,4354409
2015-11-01,4354409
2015-11-02,4268588
2015-11-03,4268588
2015-11-04,4268588
2015-11-05,4121639
2015-11-06,4121639
2015-11-07,3986051
2015-11-08,3986051
2015-11-09,3986051
2015-11-10,4002093
2015-11-11,4002093
2015-11-12,4045902
2015-11-13,4045902
2015-11-14,4074556
2015-11-15,4074556
2015-11-16,4058575
2015-11-17,4058575
2015-11-18,3993534
2015-11-19,3993534
2015-11-20,3979369
2015-11-21,3979369
2015-11-22,3930373
2015-11-23,3930373
2015-11-24,3953980
2015-11-25,3983599
2015-11-26,3983599
2015-11-27,4018752
2015-11-28,4018752
2015-11-29,3999686
2015-11-30,3999686
2015-12-01,3992970
2015-12-02,3992970
2015-12-03,3966003
2015-12-04,3966003
2015-12-05,4057354
2015-12-06,4096475
2015-12-07,4096475
2015-12-08,4262776
2015-12-09,4369991
2015-12-10,4369991
2015-12-11,4303575
2015-12-12,4303575
2015-12-13,4279788
2015-12-14,4279788
2015-12-15,4210503
2015-12-16,4210503
2015-12-17,4314203
2015-12-18,4314203
2015-12-19,4482558
2015-12-20,4684982
2015-12-21,4684982
2015-12-22,4900018
2015-12-23,4900018
2015-12-24,4859114
2015-12-25,4859114
2015-12-26,4840674
2015-12-27,4762024
2015-12-28,4762024
2015-12-29,4693335
2015-12-31,4469112
2016-01-01,4469112
2016-01-02,4479673
2016-01-03,4592545
2016-01-04,4671699
2016-01-05,4671699
2016-01-06,4781871
2016-01-07,4781871
2016-01-08,4952345
2016-01-09,4952345
2016-01-10,4996399
2016-01-11,4996399
2016-01-12,4914614
2016-01-13,4914614
2016-01-14,4908831
2016-01-15,4908831
2016-01-16,4899699
2016-01-17,4899699
2016-01-18,4866722
2016-01-19,4866722
2016-01-20,4771009
2016-01-21,4771009
2016-01-22,4623553
2016-01-23,4623553
2016-01-24,4682128
2016-01-25,4616896
2016-01-26,4616896
2016-01-27,4568125
2016-01-28,4568125
2016-01-29,4515177
2016-01-30,4515177
2016-01-31,4543876
2016-02-01,4560134
2016-02-02,4560134
2016-02-03,4493241
2016-02-04,4493241
2016-02-05,4375684
2016-02-06,4386186
2016-02-07,4386186
2016-02-08,4397701
2016-02-09,4397701
2016-02-10,4463729
2016-02-11,4463729
2016-02-12,4488678
2016-02-13,4576750
2016-02-14,4576750
2016-02-15,4448705
2016-02-16,4448705
2016-02-17,4507476
2016-02-18,4507476
2016-02-19,4475948
2016-02-20,4475948
2016-02-21,4451701
2016-02-22,4451701
2016-02-23,4497910
2016-02-24,4497910
2016-02-25,4458955
2016-02-26,4458955
2016-02-27,4424433
2016-02-28,4424433
2016-02-29,4359765
2016-03-01,4339313
2016-03-02,4339313
2016-03-03,4335044
2016-03-04,4335044
2016-03-05,4367922
2016-03-06,4442046
2016-03-07,4442046
2016-03-08,4464974
2016-03-09,4479961
2016-03-10,4479887
2016-03-11,4479887
2016-03-12,4577177
2016-03-13,4577177
2016-03-14,4556792
2016-03-15,4556792
2016-03-16,4518637
2016-03-17,4518637
2016-03-18,4468196
2016-03-19,4468196
2016-03-20,4452894
2016-03-21,4452894
2016-03-22,4425843
2016-03-23,4425843
2016-03-24,4341832
2016-03-25,4341832
2016-03-26,4309905
2016-03-27,4309905
2016-03-28,4291847
2016-03-29,4291847
2016-03-30,4178144
2016-03-31,4178144
2016-04-01,3977423
2016-04-02,3977423
2016-04-03,3938091
2016-04-04,3938091
2016-04-05,3939508
2016-04-06,4028157
2016-04-07,4028157
2016-04-08,4137309
2016-04-09,4223760
2016-04-10,4279928
2016-04-11,4279928
2016-04-12,4385066
2016-04-13,4385066
2016-04-14,4362765
2016-04-15,4305481
2016-04-16,4305481
2016-04-17,4404147
2016-04-18,4334663
2016-04-19,4334663
2016-04-20,4383032
2016-04-21,4383032
2016-04-22,4397393
2016-04-23,4438509
2016-04-24,4504278
2016-04-25,4502246
2016-04-26,4502246
2016-04-27,4455426
2016-04-28,4455426
2016-04-29,4363140
2016-04-30,4341938
2016-05-01,4341938
2016-05-02,4316328
2016-05-03,4279243
2016-05-04,4259576
2016-05-05,4254250
2016-05-06,4254250
2016-05-07,4249714
2016-05-08,4249714
2016-05-09,4259226
2016-05-10,4246872
2016-05-11,4246872
2016-05-12,4314168
2016-05-13,4270414
2016-05-14,4259198
2016-05-15,4240575
2016-05-16,4240575
2016-05-17,4228715
2016-05-18,4191844
2016-05-19,4191844
2016-05-22,4071236
2016-05-23,3935024
2016-05-24,3856151
2016-05-25,3856151
2016-05-26,3757893
2016-05-27,3802358
2016-05-28,3802358
2016-05-29,3893438
2016-05-30,3893438
2016-05-31,3875133
2016-06-01,3818322
2016-06-02,3779790
2016-06-03,3779790
2016-06-04,3738386
2016-06-05,3738386
2016-06-06,3707097
2016-06-07,3707097
2016-06-08,3716180
2016-06-09,3779505
2016-06-10,3754224
2016-06-11,3754224
2016-06-12,3778646
2016-06-13,3778646
2016-06-14,3754199
2016-06-15,3754199
2016-06-16,3695895
2016-06-17,3660746
2016-06-18,3660746
2016-06-19,3629901
2016-06-20,3629901
2016-06-21,3615763
2016-06-22,3612830
2016-06-23,3696649
2016-06-24,3696649
2016-06-25,3816462
2016-06-26,3816462
2016-06-27,3951797
2016-06-28,3939410
2016-06-29,3939410
2016-06-30,3862802
2016-07-01,3938321
2016-07-02,3938321
2016-07-03,4081769
2016-07-04,4046672
2016-07-05,4046672
2016-07-06,3954945
2016-07-07,3765139
2016-07-08,3602809
2016-07-09,3498508
2016-07-10,3489409
2016-07-11,3398974
2016-07-12,3335660
2016-07-13,3200621
2016-07-14,3075292
2016-07-15,3218888
2016-07-16,3376778
2016-07-17,3430331
2016-07-18,3425449
2016-07-23,3444420
2016-07-24,3310398
2016-07-25,3150979
2016-07-26,3150979
2016-07-27,3154225
2016-07-28,3154225
