date_obj,Crossbow price
2015-03-26,438
2015-03-27,438
2015-03-28,438
2015-03-29,431
2015-03-30,431
2015-03-31,431
2015-04-01,431
2015-04-02,431
2015-04-03,431
2015-04-04,424
2015-04-05,424
2015-04-06,424
2015-04-07,424
2015-04-08,424
2015-04-09,424
2015-04-10,417
2015-04-11,417
2015-04-12,417
2015-04-13,417
2015-04-14,417
2015-04-15,417
2015-04-16,413
2015-04-17,413
2015-04-18,413
2015-04-19,413
2015-04-20,413
2015-04-21,416
2015-04-22,416
2015-04-23,416
2015-04-24,416
2015-04-25,416
2015-04-26,410
2015-04-27,410
2015-04-28,410
2015-04-29,410
2015-04-30,410
2015-05-01,412
2015-05-02,412
2015-05-03,412
2015-05-04,412
2015-05-05,412
2015-05-06,412
2015-05-07,416
2015-05-08,416
2015-05-09,416
2015-05-10,416
2015-05-11,416
2015-05-12,416
2015-05-13,409
2015-05-14,409
2015-05-15,409
2015-05-16,409
2015-05-17,409
2015-05-18,406
2015-05-19,406
2015-05-20,406
2015-05-21,406
2015-05-22,406
2015-05-23,406
2015-05-24,406
2015-05-25,405
2015-05-26,405
2015-05-27,405
2015-05-28,405
2015-05-29,402
2015-05-30,402
2015-05-31,402
2015-06-01,402
2015-06-02,402
2015-06-03,402
2015-06-04,402
2015-06-05,400
2015-06-06,400
2015-06-07,400
2015-06-08,400
2015-06-09,398
2015-06-10,398
2015-06-11,398
2015-06-12,398
2015-06-13,400
2015-06-14,400
2015-06-15,400
2015-06-16,400
2015-06-17,403
2015-06-18,403
2015-06-19,403
2015-06-20,403
2015-06-21,401
2015-06-22,401
2015-06-23,401
2015-06-24,401
2015-06-25,395
2015-06-26,395
2015-06-27,395
2015-06-28,395
2015-06-29,394
2015-06-30,394
2015-07-01,394
2015-07-02,394
2015-07-03,394
2015-07-04,396
2015-07-05,396
2015-07-06,396
2015-07-07,396
2015-07-08,396
2015-07-09,396
2015-07-10,396
2015-07-11,396
2015-07-12,396
2015-07-13,396
2015-07-14,393
2015-07-15,393
2015-07-16,393
2015-07-17,393
2015-07-18,393
2015-07-19,394
2015-07-20,394
2015-07-21,394
2015-07-22,394
2015-07-23,394
2015-07-24,393
2015-07-25,393
2015-07-26,393
2015-07-27,393
2015-07-28,393
2015-07-29,382
2015-07-30,382
2015-07-31,382
2015-08-01,382
2015-08-02,377
2015-08-03,377
2015-08-04,377
2015-08-05,377
2015-08-06,377
2015-08-07,375
2015-08-08,375
2015-08-09,375
2015-08-10,375
2015-08-11,374
2015-08-12,374
