date_obj,Bottomless%20compost%20bucket price
2019-01-10,1000000
2019-01-10,1033212
2019-01-11,1082593
2019-01-12,1136723
2019-01-13,1193560
2019-01-14,1253238
2019-01-15,1315900
2019-01-16,1381695
2019-01-17,1450780
2019-01-18,1523319
2019-01-19,1599485
2019-01-20,1679460
2019-01-21,1763433
2019-01-22,1851605
2019-01-23,1944186
2019-01-24,2041396
2019-01-25,2143466
2019-01-26,2250640
2019-01-27,2363172
2019-01-28,2481331
2019-01-29,2605398
2019-01-30,2735668
2019-01-31,2853971
2019-02-01,2939856
2019-02-02,2939581
2019-02-03,2962544
2019-02-04,2962932
2019-02-05,2923673
2019-02-06,2877482
2019-02-07,2780193
2019-02-08,2657717
2019-02-09,2524831
2019-02-10,2398589
2019-02-11,2278659
2019-02-12,2164726
2019-02-13,2056489
2019-02-14,1953664
2019-02-15,1856479
2019-02-16,1763655
2019-02-17,1675472
2019-02-18,1591698
2019-02-19,1512113
2019-02-20,1436507
2019-02-21,1365133
2019-02-22,1312207
2019-02-23,1296455
2019-02-24,1330369
2019-02-25,1392110
2019-02-26,1448948
2019-02-27,1518656
2019-02-28,1570412
2019-03-01,1595185
2019-03-02,1652544
2019-03-03,1722340
2019-03-04,1795313
2019-03-05,1821697
2019-03-06,1802414
2019-03-07,1765354
2019-03-08,1740982
2019-03-09,1705063
2019-03-10,1640831
2019-03-11,1565705
2019-03-12,1488212
2019-03-13,1413801
2019-03-14,1348324
2019-03-15,1281308
2019-03-16,1217250
2019-03-17,1156387
2019-03-18,1098750
2019-03-19,1043812
2019-03-20,991621
2019-03-21,942620
2019-03-22,895489
2019-03-23,850714
2019-03-24,808178
2019-03-25,774403
2019-03-26,739539
2019-03-27,704218
2019-03-28,674893
2019-03-29,678620
2019-03-30,698316
2019-03-31,732607
2019-04-01,768794
2019-04-02,807234
2019-04-03,847575
2019-04-04,883789
2019-04-05,905117
2019-04-06,931156
2019-04-07,960369
2019-04-08,981987
2019-04-09,965532
2019-04-10,953448
2019-04-11,926749
2019-04-12,902164
2019-04-13,903945
2019-04-14,923836
2019-04-15,962768
2019-04-16,994679
2019-04-17,994576
2019-04-18,997265
2019-04-19,1006790
2019-04-20,1036062
2019-04-21,1087633
2019-04-22,1139004
2019-04-23,1173715
2019-04-24,1177810
2019-04-25,1165697
2019-04-26,1138846
2019-04-27,1105762
2019-04-28,1070242
2019-04-29,1024449
2019-04-30,987522
2019-05-01,945783
2019-05-02,914565
2019-05-03,892928
2019-05-04,873067
2019-05-05,847650
2019-05-06,828951
2019-05-07,839212
2019-05-08,844607
2019-05-09,848101
2019-05-10,867443
2019-05-11,869502
2019-05-12,882124
2019-05-13,888389
2019-05-14,897111
2019-05-15,898059
2019-05-16,914519
2019-05-17,918740
2019-05-18,898651
2019-05-19,881880
2019-05-20,869703
2019-05-21,851184
2019-05-22,836028
2019-05-23,820428
2019-05-24,799195
2019-05-25,804898
2019-05-26,824221
2019-05-27,849566
2019-05-28,866413
2019-05-29,864447
2019-05-30,849367
2019-05-31,831653
2019-06-01,832689
2019-06-02,823455
2019-06-03,807382
2019-06-04,812373
2019-06-05,811808
2019-06-06,828527
2019-06-07,835868
2019-06-08,834660
2019-06-09,852229
2019-06-10,854331
2019-06-11,861024
2019-06-12,855291
2019-06-13,848897
2019-06-14,836364
2019-06-15,821943
2019-06-16,817807
2019-06-17,819799
2019-06-18,796948
2019-06-19,788397
2019-06-20,764425
2019-06-21,741769
2019-06-22,723677
2019-06-23,694625
2019-06-24,670053
2019-06-25,654801
2019-06-26,647627
2019-06-27,635118
2019-06-28,616061
2019-06-29,606050
2019-06-30,600611
2019-07-01,597043
2019-07-02,604435
2019-07-03,610388
2019-07-04,610103
2019-07-05,610467
2019-07-06,612992
2019-07-07,618539
2019-07-08,617055
2019-07-09,616593
2019-07-10,616297
2019-07-11,616574
2019-07-12,615052
2019-07-13,614959
2019-07-14,619616
2019-07-15,636634
2019-07-16,629526
2019-07-17,630189
2019-07-18,634043
2019-07-19,636199
2019-07-20,630526
2019-07-21,622131
2019-07-22,619324
2019-07-23,615872
2019-07-24,617905
2019-07-25,620281
2019-07-26,618030
2019-07-27,616842
2019-07-28,613597
2019-07-29,616376
2019-07-30,614869
2019-07-31,614826
2019-08-01,616938
2019-08-02,613208
