date_obj,Emerald%20ring price
2015-03-26,1157
2015-03-27,1157
2015-03-28,1195
2015-03-29,1255
2015-03-30,1307
2015-03-31,1345
2015-04-01,1345
2015-04-02,1314
2015-04-03,1334
2015-04-04,1364
2015-04-05,1364
2015-04-06,1400
2015-04-07,1400
2015-04-08,1455
2015-04-09,1455
2015-04-10,1497
2015-04-11,1494
2015-04-12,1472
2015-04-13,1472
2015-04-14,1435
2015-04-15,1376
2015-04-16,1376
2015-04-17,1325
2015-04-18,1265
2015-04-19,1209
2015-04-20,1209
2015-04-21,1149
2015-04-22,1149
2015-04-23,1119
2015-04-24,1119
2015-04-25,1157
2015-04-26,1157
2015-04-27,1155
2015-04-28,1178
2015-04-29,1178
2015-04-30,1188
2015-05-01,1214
2015-05-02,1215
2015-05-03,1215
2015-05-04,1237
2015-05-05,1237
2015-05-06,1264
2015-05-07,1295
2015-05-08,1295
2015-05-09,1314
2015-05-10,1341
2015-05-11,1341
2015-05-12,1356
2015-05-13,1356
2015-05-14,1351
2015-05-15,1351
2015-05-16,1393
2015-05-17,1431
2015-05-18,1431
2015-05-19,1455
2015-05-20,1455
2015-05-21,1455
2015-05-22,1437
2015-05-23,1437
2015-05-24,1409
2015-05-25,1354
2015-05-26,1354
2015-05-27,1382
2015-05-28,1438
2015-05-29,1438
2015-05-30,1457
2015-05-31,1457
2015-06-01,1476
2015-06-02,1476
2015-06-03,1523
2015-06-04,1523
2015-06-05,1564
2015-06-06,1545
2015-06-07,1593
2015-06-08,1593
2015-06-09,1564
2015-06-10,1562
2015-06-11,1562
2015-06-12,1605
2015-06-13,1647
2015-06-14,1647
2015-06-15,1702
2015-06-16,1740
2015-06-17,1740
2015-06-18,1735
2015-06-19,1735
2015-06-20,1672
2015-06-21,1672
2015-06-22,1626
2015-06-23,1626
2015-06-24,1587
2015-06-25,1587
2015-06-26,1561
2015-06-27,1561
2015-06-28,1571
2015-06-29,1571
2015-06-30,1562
2015-07-01,1577
2015-07-02,1577
2015-07-03,1537
2015-07-04,1540
2015-07-05,1540
2015-07-06,1525
2015-07-07,1481
2015-07-08,1446
2015-07-09,1446
2015-07-10,1455
2015-07-11,1455
2015-07-12,1475
2015-07-13,1436
2015-07-14,1406
2015-07-15,1378
2015-07-16,1378
2015-07-17,1416
2015-07-18,1416
2015-07-19,1450
2015-07-20,1513
2015-07-21,1513
2015-07-22,1522
2015-07-23,1522
2015-07-24,1479
2015-07-25,1479
2015-07-26,1457
2015-07-27,1453
2015-07-28,1453
2015-07-29,1478
2015-07-30,1478
2015-07-31,1512
2015-08-01,1512
2015-08-02,1530
2015-08-03,1530
2015-08-04,1537
2015-08-05,1508
2015-08-06,1492
2015-08-07,1492
2015-08-08,1500
2015-08-09,1498
2015-08-10,1448
2015-08-11,1406
2015-08-12,1406
2015-08-13,1406
2015-08-14,1411
2015-08-15,1411
2015-08-16,1433
