date_obj,Tribal%20mask%20(orange) price
2015-02-25,24500
2015-02-26,24500
2015-02-27,24500
2015-02-28,24500
2015-03-01,24500
2015-03-02,24500
2015-03-03,24500
2015-03-04,24500
2015-03-05,24500
2015-03-06,24500
2015-03-07,24500
2015-03-08,24500
2015-03-09,24500
2015-03-10,24500
2015-03-11,24500
2015-03-12,23484
2015-03-13,23484
2015-03-14,23484
2015-03-15,23484
2015-03-16,23484
2015-03-17,23484
2015-03-18,23484
2015-03-19,23484
2015-03-20,23484
2015-03-21,23484
2015-03-22,23484
2015-03-23,23484
2015-03-24,23484
2015-03-25,23484
2015-03-26,23484
2015-03-27,23484
2015-03-28,23484
2015-03-29,23484
2015-03-30,22540
2015-03-31,22540
2015-04-01,22540
2015-04-02,22540
2015-04-03,22540
2015-04-04,22540
2015-04-05,22540
2015-04-06,22540
2015-04-07,22540
2015-04-08,22540
2015-04-09,22540
2015-04-10,22540
2015-04-11,22540
2015-04-12,22540
2015-04-13,22540
2015-04-14,22540
2015-04-15,22540
2015-04-16,22540
2015-04-17,22540
2015-04-18,21865
2015-04-19,21865
2015-04-20,21865
2015-04-21,21865
2015-04-22,21865
2015-04-23,21865
2015-04-24,21865
2015-04-25,21865
2015-04-26,21865
2015-04-27,21865
2015-04-28,21865
2015-04-29,21865
2015-04-30,21865
2015-05-01,21865
2015-05-02,21865
2015-05-03,21865
2015-05-04,21865
2015-05-05,21865
2015-05-06,21865
2015-05-07,21865
2015-05-08,21865
2015-05-09,20941
2015-05-10,20941
2015-05-11,20941
2015-05-12,20941
2015-05-13,20941
2015-05-14,20941
2015-05-15,20941
2015-05-16,20941
2015-05-17,20941
2015-05-18,20941
2015-05-19,20941
2015-05-20,20941
2015-05-21,20941
2015-05-22,20941
2015-05-23,20941
2015-05-24,20941
2015-05-25,20941
2015-05-26,20941
2015-05-27,20941
2015-05-28,19910
2015-05-29,19910
2015-05-30,19910
2015-05-31,19910
2015-06-01,19910
2015-06-02,19910
2015-06-03,19910
2015-06-04,19910
2015-06-05,19910
2015-06-06,19910
2015-06-07,19910
2015-06-08,19910
2015-06-09,19910
2015-06-10,19341
2015-06-11,19341
2015-06-12,19341
2015-06-13,19341
2015-06-14,19341
2015-06-15,19341
2015-06-16,19341
2015-06-17,19341
2015-06-18,19341
2015-06-19,19341
2015-06-20,19341
2015-06-21,19341
2015-06-22,19341
2015-06-23,19341
2015-06-24,18777
2015-06-25,18777
2015-06-26,18777
2015-06-27,18777
2015-06-28,18777
2015-06-29,18777
2015-06-30,18777
2015-07-01,18777
2015-07-02,18777
2015-07-03,18777
2015-07-04,18777
2015-07-05,18777
2015-07-06,18777
2015-07-07,18777
2015-07-08,18777
2015-07-09,18250
2015-07-10,18250
2015-07-11,18250
2015-07-12,18250
2015-07-13,18250
2015-07-14,18250
2015-07-15,18250
2015-07-16,18250
2015-07-17,18250
2015-07-18,18250
2015-07-19,18250
2015-07-20,18250
2015-07-21,17365
2015-07-22,17365
2015-07-23,17365
2015-07-24,17365
2015-07-25,17365
2015-07-26,17365
2015-07-27,17365
2015-07-28,17365
2015-07-29,17365
2015-07-30,17365
2015-07-31,17365
2015-08-01,16516
2015-08-02,16516
2015-08-03,16516
2015-08-04,16516
2015-08-05,16516
2015-08-06,16516
2015-08-07,16516
2015-08-08,16516
2015-08-09,16203
2015-08-10,16203
2015-08-11,16203
2015-08-12,16203
2015-08-13,16203
2015-08-14,16203
2015-08-15,16203
2015-08-16,16203
2015-08-17,16203
2015-08-18,16203
2015-08-19,16203
2015-08-20,16965
2015-08-21,16965
2015-08-22,16965
2015-08-23,16965
2015-08-24,16965
2015-08-25,16965
2015-08-26,16965
2015-08-27,16965
2015-08-28,16965
2015-08-29,16965
2015-08-30,16965
2015-08-31,16965
2015-09-01,16915
2015-09-02,16915
2015-09-03,16915
2015-09-04,16915
2015-09-05,16915
2015-09-06,16915
