date_obj,Runite%20bar price
2015-03-26,13631
2015-03-27,13631
2015-03-28,13729
2015-03-29,13749
2015-03-30,13749
2015-03-31,13718
2015-04-01,13658
2015-04-02,13560
2015-04-03,13416
2015-04-04,13457
2015-04-05,13298
2015-04-06,13349
2015-04-07,13353
2015-04-08,13373
2015-04-09,13369
2015-04-10,13514
2015-04-11,13504
2015-04-12,13516
2015-04-13,13480
2015-04-14,13512
2015-04-15,13664
2015-04-16,13657
2015-04-17,13665
2015-04-18,13695
2015-04-19,13801
2015-04-20,13920
2015-04-21,13852
2015-04-22,13748
2015-04-23,13836
2015-04-24,13928
2015-04-25,13919
2015-04-26,13979
2015-04-27,14002
2015-04-28,13902
2015-04-29,13902
2015-04-30,13964
2015-05-01,13958
2015-05-02,13903
2015-05-03,13969
2015-05-04,14011
2015-05-05,14043
2015-05-06,14007
2015-05-07,13997
2015-05-08,13910
2015-05-09,13888
2015-05-10,13859
2015-05-11,13945
2015-05-12,13916
2015-05-13,13927
2015-05-14,13974
2015-05-15,13980
2015-05-16,13919
2015-05-17,13874
2015-05-18,13852
2015-05-19,13905
2015-05-20,13905
2015-05-21,13966
2015-05-22,13901
2015-05-23,13858
2015-05-24,13918
2015-05-25,13913
2015-05-26,13954
2015-05-27,13910
2015-05-28,13842
2015-05-29,13723
2015-05-30,13523
2015-05-31,13772
2015-06-01,13634
2015-06-02,13467
2015-06-03,13458
2015-06-04,13341
2015-06-05,13429
2015-06-06,13466
2015-06-07,13559
2015-06-08,13536
2015-06-09,13497
2015-06-10,13464
2015-06-11,13461
2015-06-12,13368
2015-06-13,13213
2015-06-14,13102
2015-06-15,13184
2015-06-16,13280
2015-06-17,13355
2015-06-18,13246
2015-06-19,13190
2015-06-20,13178
2015-06-21,13203
2015-06-22,13258
2015-06-23,13256
2015-06-24,13302
2015-06-25,13328
2015-06-26,13329
2015-06-27,13524
2015-06-28,13628
2015-06-29,13632
2015-06-30,13696
2015-07-01,13751
2015-07-02,13751
2015-07-03,13432
2015-07-04,13417
2015-07-05,13371
2015-07-06,13309
2015-07-07,13307
2015-07-08,13381
2015-07-09,13463
2015-07-10,13582
2015-07-11,13586
2015-07-12,13559
2015-07-13,13584
2015-07-14,13578
2015-07-15,13651
2015-07-16,13654
2015-07-17,13719
2015-07-18,13811
2015-07-19,13685
2015-07-20,13638
2015-07-21,13635
2015-07-22,13631
2015-07-23,13808
2015-07-24,13750
2015-07-25,13626
2015-07-26,13605
2015-07-27,13572
2015-07-28,13490
2015-07-29,13587
2015-07-30,13690
2015-07-31,13609
2015-08-01,13548
2015-08-02,13603
2015-08-03,13667
2015-08-04,13680
2015-08-05,13702
2015-08-06,13692
2015-08-07,13713
2015-08-08,13840
2015-08-09,13837
2015-08-10,13908
2015-08-11,13934
2015-08-12,13967
2015-08-13,13985
2015-08-14,14008
2015-08-15,14005
2015-08-16,13961
2015-08-17,13864
2015-08-18,13858
2015-08-19,13882
2015-08-20,13896
2015-08-21,13927
2015-08-22,13996
2015-08-23,13983
2015-08-24,13922
2015-08-25,13922
2015-08-26,13926
2015-08-27,13881
2015-08-28,13886
2015-08-29,13833
2015-08-30,13631
2015-08-31,13625
2015-09-01,13813
2015-09-02,13813
2015-09-03,13848
2015-09-04,13853
2015-09-05,13901
2015-09-06,13843
2015-09-07,13808
2015-09-08,13876
2015-09-09,14015
2015-09-10,14002
2015-09-11,13966
2015-09-12,13844
2015-09-13,13827
2015-09-14,13790
2015-09-15,13765
2015-09-16,13777
2015-09-17,13760
2015-09-18,13765
2015-09-19,13794
2015-09-20,13798
2015-09-21,13828
2015-09-22,13831
2015-09-23,13936
2015-09-24,14025
2015-09-25,14016
2015-09-27,14044
2015-09-28,14030
2015-09-29,14043
2015-09-30,13935
2015-10-05,13898
2015-10-06,13939
2015-10-07,13974
2015-10-08,14054
2015-10-09,14039
2015-10-10,14039
2015-10-11,13982
2015-10-12,14011
2015-10-13,14026
2015-10-14,14016
2015-10-15,14018
2015-10-16,14049
2015-10-17,14049
2015-10-18,13963
2015-10-19,13928
2015-10-20,13935
2015-10-22,13987
2015-10-23,13926
2015-10-24,13873
2015-10-25,13883
2015-10-26,13919
2015-10-27,13886
2015-10-29,13985
2015-10-30,14032
2015-10-31,14012
2015-11-01,14012
2015-11-02,14039
2015-11-03,14001
2015-11-04,14018
2015-11-05,14067
2015-11-06,14059
2015-11-07,14091
2015-11-08,14091
2015-11-09,14105
2015-11-10,14060
2015-11-11,14028
2015-11-12,13959
2015-11-13,13995
2015-11-14,13994
2015-11-15,14027
2015-11-16,14014
2015-11-17,14016
2015-11-18,14043
2015-11-19,14075
2015-11-20,14114
2015-11-21,14114
2015-11-22,14111
2015-11-23,14111
2015-11-24,14131
2015-11-25,14161
2015-11-26,14161
2015-11-27,14239
2015-11-28,14277
2015-11-29,14246
2015-11-30,14221
2015-12-01,14202
2015-12-02,14148
2015-12-03,14138
2015-12-04,14122
2015-12-05,14083
2015-12-06,14048
2015-12-07,14096
2015-12-08,14074
2015-12-09,14059
2015-12-10,14067
2015-12-11,14075
2015-12-12,14066
2015-12-13,14080
2015-12-14,14080
2015-12-15,14068
2015-12-16,14061
2015-12-17,14100
2015-12-18,14071
2015-12-19,14100
2015-12-20,14161
2015-12-21,14143
2015-12-22,14135
2015-12-23,14140
2015-12-24,14150
2015-12-25,14196
2015-12-26,14177
2015-12-27,14042
2015-12-28,13965
2015-12-29,14017
2015-12-30,14022
2015-12-31,14019
2016-01-01,13990
2016-01-02,13952
2016-01-03,13814
2016-01-04,13785
2016-01-05,13704
2016-01-06,13488
2016-01-07,13625
2016-01-08,13541
2016-01-09,13640
2016-01-10,13678
2016-01-11,13673
2016-01-12,13649
2016-01-13,13695
2016-01-14,13644
2016-01-15,13586
2016-01-16,13606
2016-01-17,13648
2016-01-18,13730
2016-01-19,13733
2016-01-20,13833
2016-01-21,13817
2016-01-22,13843
2016-01-23,13888
2016-01-24,13860
2016-01-25,13759
2016-01-26,13726
2016-01-27,13743
2016-01-28,13743
2016-01-29,13645
2016-01-30,13675
2016-01-31,13756
2016-02-01,13929
2016-02-02,13789
2016-02-03,13806
2016-02-04,13715
2016-02-05,13652
2016-02-06,13634
2016-02-07,13571
2016-02-08,13546
2016-02-09,13592
2016-02-10,13680
2016-02-11,13742
2016-02-12,13789
2016-02-13,13783
2016-02-14,13726
2016-02-15,13725
2016-02-16,13771
2016-02-17,13756
2016-02-18,13777
2016-02-19,13771
2016-02-20,13788
2016-02-21,13788
2016-02-22,13815
2016-02-23,13785
2016-02-24,13735
2016-02-25,13709
2016-02-26,13749
2016-02-27,13750
2016-02-28,13827
2016-02-29,13787
2016-03-01,13786
2016-03-02,13806
2016-03-03,13764
2016-03-04,13740
2016-03-05,13786
2016-03-06,13763
2016-03-07,13774
2016-03-08,13783
2016-03-09,13780
2016-03-10,13742
2016-03-11,13707
2016-03-12,13644
2016-03-13,13677
2016-03-14,13706
2016-03-15,13732
2016-03-16,13814
2016-03-17,13917
2016-03-18,13900
2016-03-19,14006
2016-03-20,13910
2016-03-21,13982
2016-03-22,13975
2016-03-23,13981
2016-03-24,13950
2016-03-25,13958
2016-03-26,13947
2016-03-27,13953
2016-03-28,13977
2016-03-29,13981
2016-03-30,13981
2016-03-31,13878
2016-04-01,13917
2016-04-02,13937
2016-04-03,13873
2016-04-04,13854
2016-04-05,13820
2016-04-06,13824
2016-04-07,13798
2016-04-08,13859
2016-04-09,13915
2016-04-10,13937
2016-04-11,13937
2016-04-12,13903
2016-04-13,13903
2016-04-14,13911
2016-04-15,13886
2016-04-16,13918
2016-04-17,13928
2016-04-18,13996
2016-04-19,13918
2016-04-20,13892
2016-04-21,13920
2016-04-22,13895
2016-04-23,13876
2016-04-24,13911
2016-04-25,13917
2016-04-26,13915
2016-04-27,13926
2016-04-28,13953
2016-04-29,13928
2016-04-30,14003
2016-05-01,13997
2016-05-02,13987
2016-05-03,13838
2016-05-04,13783
2016-05-05,13625
2016-05-06,13634
2016-05-07,13769
2016-05-08,13631
2016-05-09,13716
2016-05-10,13362
2016-05-11,13318
2016-05-12,13188
2016-05-13,13064
2016-05-14,13017
2016-05-15,13000
2016-05-16,12907
2016-05-17,12945
2016-05-18,12977
2016-05-19,13053
2016-05-22,12988
2016-05-23,12957
2016-05-24,13057
2016-05-25,13108
2016-05-26,13192
2016-05-27,13259
2016-05-28,13356
2016-05-29,13417
2016-05-30,13407
2016-05-31,13430
2016-06-01,13401
2016-06-02,13295
2016-06-03,13431
2016-06-04,13457
2016-06-05,13458
2016-06-06,13355
2016-06-07,13282
2016-06-08,13406
2016-06-09,13574
2016-06-10,13480
2016-06-11,13471
