date_obj,Elven%20top%20(white) price
2019-07-25,5000
2019-07-25,5233
2019-07-26,5177
2019-07-27,5213
2019-07-28,5213
2019-07-29,5056
2019-07-30,5094
2019-07-31,5198
2019-08-01,5198
2019-08-02,5318
2019-08-03,5558
2019-08-04,5558
2019-08-05,5775
2019-08-06,5775
2019-08-07,6014
2019-08-08,6014
2019-08-09,6014
2019-08-10,6233
2019-08-11,6233
2019-08-12,6439
2019-08-13,6439
2019-08-14,6579
2019-08-15,6579
2019-08-16,6796
2019-08-17,6796
2019-08-18,6796
2019-08-19,6914
2019-08-20,6914
2019-08-21,6914
2019-08-22,7056
2019-08-23,7056
2019-08-24,6874
2019-08-24,6874
2019-08-25,6874
2019-08-25,6874
2019-08-26,6874
2019-08-26,6874
2019-08-27,6530
2019-08-27,6530
2019-08-28,6530
2019-08-29,6221
2019-08-30,6221
2019-08-31,6180
2019-09-01,6180
2019-09-02,6235
2019-09-03,6235
2019-09-04,6317
2019-09-05,6317
2019-09-06,6317
2019-09-07,6278
2019-09-08,6278
2019-09-09,6347
2019-09-10,6347
2019-09-11,6347
2019-09-12,6465
2019-09-13,6465
2019-09-14,6465
2019-09-15,6629
2019-09-16,6629
2019-09-17,6764
2019-09-18,6764
2019-09-19,6792
2019-09-20,6792
2019-09-21,6792
2019-09-22,6936
2019-09-23,6936
2019-09-24,6936
2019-09-25,7021
2019-09-26,7021
2019-09-27,7021
2019-09-28,6939
2019-09-29,6939
2019-09-30,6939
2019-10-01,7012
2019-10-02,7012
2019-10-03,7012
2019-10-04,7012
2019-10-05,6850
2019-10-06,6850
2019-10-07,6788
2019-10-08,6788
2019-10-09,6788
2019-10-10,6913
2019-10-11,6913
2019-10-12,6913
2019-10-13,7176
2019-10-14,7176
2019-10-15,7176
2019-10-16,7278
2019-10-17,7278
2019-10-18,7278
2019-10-19,7262
2019-10-20,7262
2019-10-21,7262
2019-10-22,7425
2019-10-23,7425
2019-10-24,7425
2019-10-25,7379
2019-10-26,7379
2019-10-27,7379
2019-10-28,7426
2019-10-29,7426
2019-10-30,7426
2019-10-31,7426
2019-11-01,7473
2019-11-02,7473
2019-11-03,7473
2019-11-04,7121
2019-11-05,7121
2019-11-06,7121
2019-11-07,7121
2019-11-08,7181
2019-11-09,7181
2019-11-10,7132
2019-11-11,7132
2019-11-12,7132
2019-11-13,7132
2019-11-14,6939
2019-11-15,6939
2019-11-16,6804
2019-11-17,6804
2019-11-18,6804
2019-11-19,6804
2019-11-20,6664
2019-11-21,6664
2019-11-22,6664
2019-11-23,6664
2019-11-24,6754
2019-11-25,6754
2019-11-26,6754
2019-11-27,6880
2019-11-28,6880
2019-11-29,6880
2019-11-30,6938
2019-12-01,6938
2019-12-02,6938
2019-12-03,6872
2019-12-04,6872
2019-12-05,6872
2019-12-06,6872
2019-12-07,7002
2019-12-08,7002
2019-12-09,7002
2019-12-10,7002
2019-12-11,6937
2019-12-12,6937
2019-12-13,6937
2019-12-14,6937
2019-12-15,7007
2019-12-16,7007
2019-12-17,7007
2019-12-18,7007
2019-12-19,7182
2019-12-20,7182
2019-12-21,7182
2019-12-22,7480
2019-12-23,7480
2019-12-24,7480
2019-12-25,7689
2019-12-26,7689
2019-12-27,7689
2019-12-28,7737
2019-12-29,7737
2019-12-30,7737
2019-12-31,7737
2020-01-01,7718
2020-01-02,7718
2020-01-03,7718
2020-01-04,7692
2020-01-05,7692
2020-01-06,7692
2020-01-07,7527
2020-01-08,7527
2020-01-09,7527
2020-01-10,7347
2020-01-11,7347
2020-01-12,7347
2020-01-13,6990
2020-01-14,6990
2020-01-15,6990
2020-01-16,6865
2020-01-17,6865
2020-01-18,6865
2020-01-19,6661
2020-01-20,6661
2020-01-21,6661
2020-01-22,6661
2020-01-23,6510
2020-01-24,6510
2020-01-25,6510
2020-01-26,6236
2020-01-27,6236
2020-01-28,6236
2020-01-29,6211
2020-01-30,6211
2020-01-31,6211
2020-02-01,6211
2020-02-02,6340
2020-02-03,6340
2020-02-04,6340
2020-02-05,6340
2020-02-06,6320
2020-02-07,6320
2020-02-08,6320
2020-02-09,6320
2020-02-10,6475
2020-02-11,6475
2020-02-12,6475
2020-02-13,6475
2020-02-14,6699
2020-02-15,6699
2020-02-16,6699
