date_obj,Robe%20top%20of%20darkness price
2016-07-06,20000000
2016-07-07,20000000
2016-07-08,19035806
2016-07-09,19035806
2016-07-10,19035806
2016-07-11,18099747
2016-07-12,18099747
2016-07-13,18099747
2016-07-14,18099747
2016-07-15,18099747
2016-07-16,17204704
2016-07-17,17204704
2016-07-18,17204704
2016-07-23,16344468
2016-07-24,16344468
2016-07-25,16344468
2016-07-26,15527244
2016-07-27,15527244
2016-07-28,15527244
2016-07-29,15527244
2016-07-30,15527244
2016-07-31,14754897
2016-08-01,14754897
2016-08-02,14754897
2016-08-03,14754897
2016-08-04,14754897
2016-08-05,14754897
2016-08-06,14754897
2016-08-07,14018486
2016-08-08,14018486
2016-08-09,14018486
2016-08-10,14018486
2016-08-11,14018486
2016-08-12,14018486
2016-08-13,14018486
2016-08-14,14018486
2016-08-15,14018486
2016-08-16,13320034
2016-08-17,13320034
2016-08-18,13320034
2016-08-19,13320034
2016-08-20,13320034
2016-08-21,13320034
2016-08-22,13320034
2016-08-23,13320034
2016-08-24,13320034
2016-08-25,13320034
2016-08-26,12681047
2016-08-28,12681047
2016-08-31,12681047
2016-09-01,12681047
2016-09-02,12056772
2016-09-03,12056772
2016-09-04,12056772
2016-09-05,12056772
2016-09-06,12056772
2016-09-07,11453933
2016-09-08,11453933
2016-09-09,11453933
2016-09-10,11453933
2016-09-11,11453933
2016-09-12,11453933
2016-09-13,10888551
2016-09-14,10888551
2016-09-15,10888551
2016-09-16,10888551
2016-09-17,10888551
2016-09-18,10888551
2016-09-19,10888551
2016-09-20,10348693
2016-09-21,10348693
2016-09-22,10348693
2016-09-23,10348693
2016-09-24,10348693
2016-09-25,9839790
2016-09-26,9839790
2016-09-27,9839790
2016-09-28,9839790
2016-09-29,9351346
2016-09-30,9351346
2016-10-01,9351346
2016-10-02,9351346
2016-10-03,9351346
2016-10-04,9351346
2016-10-05,8888731
2016-10-06,8888731
2016-10-07,8888731
2016-10-08,8888731
2016-10-09,8448821
2016-10-10,8448821
2016-10-11,8448821
2016-10-12,8448821
2016-10-13,8029249
2016-10-14,8029249
2016-10-15,8029249
2016-10-16,8029249
2016-10-17,7639161
2016-10-18,7639161
2016-10-19,7639161
2016-10-20,7639161
2016-10-21,7639161
2016-10-22,7263539
2016-10-23,7263539
2016-10-24,7263539
2016-10-25,7263539
2016-10-26,6904908
2016-10-27,6904908
2016-10-28,6904908
2016-10-29,6904908
2016-10-30,6904908
2016-10-31,6561895
2016-11-01,6561895
2016-11-02,6561895
2016-11-03,6561895
2016-11-04,6561895
2016-11-05,6561895
2016-11-06,6233800
2016-11-07,6233800
2016-11-08,6233800
2016-11-09,6233800
2016-11-10,6233800
2016-11-11,6233800
2016-11-12,5925664
2016-11-13,5925664
2016-11-14,5925664
2016-12-08,5089488
2016-12-09,5089488
2016-12-10,4837049
2016-12-11,4837049
2016-12-12,4837049
2016-12-13,4837049
2016-12-14,4837049
2016-12-15,4837049
2016-12-16,4837049
2016-12-17,4837049
2016-12-18,4597843
2016-12-19,4597843
2016-12-20,4597843
2016-12-21,4597843
2016-12-22,4597843
2016-12-23,4597843
2016-12-24,4371050
2016-12-25,4371050
2016-12-26,4371050
2016-12-27,4371050
2016-12-28,4371050
2016-12-29,4154442
2016-12-30,4154442
2016-12-31,4154442
2017-01-01,4154442
2017-01-02,3949036
2017-01-03,3949036
2017-01-04,3949036
2017-01-05,3949036
2017-01-06,3949036
2017-01-07,3751584
2017-01-08,3751584
2017-01-09,3751584
2017-01-10,3751584
2017-01-11,3565156
2017-01-12,3565156
2017-01-13,3565156
2017-01-14,3565156
2017-01-15,3392366
2017-01-16,3392366
2017-01-17,3392366
2017-01-18,3224999
2017-01-19,3224999
2017-01-20,3224999
2017-01-21,3224999
2017-01-22,3066484
2017-01-27,2919733
2017-01-28,2919733
2017-01-29,2919733
2017-01-30,2919733
2017-01-31,2777192
2017-02-01,2777192
2017-02-02,2777192
2017-02-03,2777192
2017-02-04,2641560
2017-02-05,2641560
2017-02-06,2641560
2017-02-07,2641560
2017-02-08,2513671
2017-02-09,2513671
2017-02-10,2513671
2017-02-11,2513671
2017-02-12,2389762
2017-02-13,2389762
2017-02-14,2389762
2017-02-15,2272296
2017-02-16,2272296
2017-02-18,2272296
2017-02-19,2161463
2017-02-20,2161463
2017-02-21,2161463
2017-02-22,2161463
2017-02-23,2161463
2017-02-24,2054971
2017-02-25,2054971
2017-02-26,2054971
2017-02-27,2054971
2017-02-28,1955433
2017-03-01,1955433
2017-03-02,1955433
2017-03-03,1955433
2017-03-04,1858914
2017-03-05,1858914
2017-03-06,1858914
2017-03-07,1858914
2017-03-08,1858914
2017-03-09,1766652
2017-03-10,1766652
2017-03-11,1766652
2017-03-12,1766652
2017-03-13,1679406
2017-03-14,1679406
2017-03-15,1679406
2017-03-16,1679406
2017-03-17,1596941
2017-03-18,1596941
2017-03-19,1596941
2017-03-20,1596941
2017-03-21,1517866
2017-03-22,1517866
2017-03-23,1517866
2017-03-24,1517866
2017-03-25,1517866
2017-03-26,1445295
2017-03-27,1445295
2017-03-28,1445295
2017-03-29,1445295
2017-03-30,1375248
2017-03-31,1375248
2017-04-01,1375248
2017-04-02,1375248
2017-04-03,1308149
2017-04-04,1308149
2017-04-12,371401
2017-04-13,371401
2017-04-14,371401
2017-04-15,362129
2017-04-16,362129
2017-04-17,362129
2017-04-18,362129
2017-04-19,359077
2017-04-20,359077
2017-04-21,359077
2017-04-22,359077
2017-04-23,372629
2017-04-24,372629
2017-04-25,372629
2017-04-26,372629
2017-04-27,389719
2017-04-28,389719
2017-04-29,389719
2017-04-30,389719
2017-05-01,405343
2017-05-02,405343
2017-05-03,405343
2017-05-04,405343
2017-05-05,419922
2017-05-06,419922
2017-05-07,419922
2017-05-08,419922
2017-05-09,415119
2017-05-10,415119
2017-05-11,415119
2017-05-12,415119
2017-05-13,403269
2017-05-14,403269
2017-05-15,403269
2017-05-16,403269
2017-05-17,403269
2017-05-18,408505
2017-05-19,408505
2017-05-20,408505
2017-05-21,408505
2017-05-22,409568
2017-05-23,409568
2017-05-24,409568
2017-05-25,409568
2017-05-26,409568
2017-05-27,408968
2017-05-28,408968
2017-05-29,408968
2017-05-30,408968
2017-05-31,388621
2017-06-01,388621
2017-06-02,388621
2017-06-03,388621
2017-06-06,369624
2017-06-07,369624
2017-06-08,353758
2017-06-09,353758
2017-06-10,353758
2017-06-11,353758
2017-06-12,336826
2017-06-13,336826
2017-06-14,336826
2017-06-15,320613
2017-06-16,320613
2017-06-17,320613
2017-06-18,320613
2017-06-19,320613
2017-06-20,305208
2017-06-21,305208
2017-06-22,305208
2017-06-23,305208
2017-06-24,305208
2017-06-25,297342
2017-06-26,297342
2017-06-27,297342
2017-06-28,297342
2017-06-29,292534
2017-06-30,292534
2017-07-01,292534
2017-07-02,292534
2017-07-03,292534
2017-07-04,288355
2017-07-05,288355
2017-07-06,288355
2017-07-07,288355
2017-07-08,288355
2017-07-13,284138
2017-07-14,281360
2017-07-15,281360
2017-07-16,281360
2017-07-17,281360
2017-07-18,281360
2017-07-19,292097
2017-07-20,292097
2017-07-21,292097
2017-07-22,292097
2017-07-23,303314
2017-07-24,303314
2017-07-25,303314
2017-07-26,303314
2017-07-27,303314
2017-07-28,311949
2017-07-29,311949
2017-07-30,311949
2017-07-31,311949
2017-08-01,311949
2017-08-02,314756
2017-08-03,314756
2017-08-04,314756
2017-08-05,314756
2017-08-06,320586
2017-08-09,320586
2017-08-10,325395
2017-08-11,325395
2017-08-12,325395
2017-08-13,325395
2017-08-14,325395
2017-08-15,323093
2017-08-17,323093
2017-08-18,323093
2017-08-19,323093
2017-08-20,327305
2017-08-22,327305
2017-08-23,327305
2017-08-24,337101
2017-08-25,337101
2017-08-26,337101
2017-08-27,337101
2017-08-28,336294
2017-08-29,336294
2017-08-30,336294
2017-08-31,336294
2017-09-01,336294
2017-09-02,337534
2017-09-03,337534
2017-09-04,337534
2017-09-05,337534
2017-09-06,337534
2017-09-07,342841
2017-09-08,342841
2017-09-09,342841
2017-09-10,342841
2017-09-11,355521
2017-09-12,355521
2017-09-13,355521
2017-09-14,355521
2017-09-15,355521
2017-09-16,351615
2017-09-17,351615
2017-09-19,351615
2017-09-20,338655
2017-09-21,338655
2017-09-22,338655
2017-09-23,338655
2017-09-24,331880
2017-09-25,331880
2017-09-26,331880
2017-09-27,331880
2017-09-28,331880
2017-09-29,331670
2017-09-30,331670
2017-10-01,331670
2017-10-02,331670
2017-10-03,331670
2017-10-04,340402
2017-10-05,340402
2017-10-06,340402
2017-10-07,340402
2017-10-08,350394
2017-10-09,350394
2017-10-10,350394
2017-10-11,350394
2017-10-12,350394
2017-10-13,354423
2017-10-14,354423
2017-10-15,354423
2017-10-16,354423
2017-10-17,354423
2017-10-18,344462
2017-10-19,344462
2017-10-20,344462
2017-10-21,344462
2017-10-22,336073
2017-10-23,336073
2017-10-24,336073
2017-10-25,336073
2017-10-26,329698
2017-10-27,329698
2017-10-28,329698
2017-10-29,329698
2017-10-30,329698
2017-10-31,319989
2017-11-01,319989
2017-11-02,319989
2017-11-03,319989
2017-11-04,315134
2017-11-05,315134
2017-11-06,315134
2017-11-07,315134
2017-11-08,315134
2017-11-09,317498
2017-11-10,317498
2017-11-11,317498
2017-11-12,317498
2017-11-13,317498
2017-11-14,323990
2017-11-15,323990
2017-11-16,323990
2017-11-17,323990
2017-11-18,323990
2017-11-19,329085
2017-11-20,329085
2017-11-21,329085
2017-11-22,329085
2017-11-23,329085
2017-11-24,329309
2017-11-25,329309
2017-11-26,329309
2017-11-27,329309
2017-11-28,329309
2017-11-29,313413
2017-11-30,313413
2017-12-01,313413
2017-12-02,313413
2017-12-03,297742
2017-12-04,297742
2017-12-05,297742
