date_obj,Lava%20scale%20shard price
2015-03-26,354
2015-03-27,354
2015-03-28,337
2015-03-29,337
2015-03-30,337
2015-03-31,322
2015-04-01,322
2015-04-02,322
2015-04-03,311
2015-04-04,311
2015-04-05,311
2015-04-06,299
2015-04-07,299
2015-04-08,299
2015-04-09,299
2015-04-10,287
2015-04-11,287
2015-04-12,287
2015-04-13,280
2015-04-14,280
2015-04-15,280
2015-04-16,280
2015-04-17,270
2015-04-18,270
2015-04-19,270
2015-04-20,270
2015-04-21,256
2015-04-22,256
2015-04-23,256
2015-04-24,249
2015-04-25,249
2015-04-26,249
2015-04-27,238
2015-04-28,238
2015-04-29,238
2015-04-30,238
2015-05-01,239
2015-05-02,239
2015-05-03,239
2015-05-04,239
2015-05-05,246
2015-05-06,246
2015-05-07,246
2015-05-08,235
2015-05-09,235
2015-05-10,235
2015-05-11,235
2015-05-12,233
2015-05-13,233
2015-05-14,233
2015-05-15,233
2015-05-16,233
2015-05-17,240
2015-05-18,240
2015-05-19,240
2015-05-20,240
2015-05-21,240
2015-05-22,241
2015-05-23,241
2015-05-24,241
2015-05-25,241
2015-05-26,247
2015-05-27,247
2015-05-28,247
2015-05-29,250
2015-05-30,250
2015-05-31,253
2015-06-01,253
2015-06-02,253
2015-06-03,265
2015-06-04,265
2015-06-05,265
2015-06-06,275
2015-06-07,275
2015-06-08,275
2015-06-09,268
2015-06-10,268
2015-06-11,268
2015-06-12,265
2015-06-13,265
2015-06-14,265
2015-06-15,273
2015-06-16,273
2015-06-17,273
2015-06-18,282
2015-06-19,282
2015-06-20,282
2015-06-21,282
2015-06-22,279
2015-06-23,279
2015-06-24,279
2015-06-25,276
2015-06-26,276
2015-06-27,276
2015-06-28,275
2015-06-29,275
2015-06-30,275
2015-07-01,275
2015-07-02,275
2015-07-03,275
2015-07-04,279
2015-07-05,279
2015-07-06,279
2015-07-07,279
2015-07-08,280
2015-07-09,280
2015-07-10,280
2015-07-11,280
2015-07-12,271
2015-07-13,271
2015-07-14,271
2015-07-15,277
2015-07-16,277
2015-07-17,277
2015-07-18,277
2015-07-19,284
2015-07-20,284
2015-07-21,284
2015-07-22,294
2015-07-23,294
2015-07-24,294
2015-07-25,294
2015-07-26,305
2015-07-27,305
2015-07-28,305
2015-07-29,321
2015-07-30,321
2015-07-31,321
2015-08-01,321
2015-08-02,331
2015-08-03,331
2015-08-04,331
2015-08-05,337
2015-08-06,337
2015-08-07,337
2015-08-08,346
2015-08-09,346
2015-08-10,346
2015-08-11,361
2015-08-12,361
2015-08-13,361
2015-08-14,378
2015-08-15,378
2015-08-16,378
2015-08-17,396
2015-08-18,396
2015-08-19,396
2015-08-20,396
2015-08-21,416
2015-08-22,416
2015-08-23,416
2015-08-24,434
2015-08-25,434
2015-08-26,434
2015-08-27,441
2015-08-28,441
2015-08-29,441
2015-08-30,441
2015-08-31,432
2015-09-01,432
2015-09-02,432
2015-09-03,446
2015-09-04,446
2015-09-05,446
2015-09-06,446
2015-09-07,462
2015-09-08,462
2015-09-09,462
2015-09-10,443
2015-09-11,443
2015-09-12,443
2015-09-13,427
2015-09-14,427
2015-09-15,427
2015-09-16,410
2015-09-17,410
2015-09-18,410
2015-09-19,397
2015-09-20,397
2015-09-21,397
2015-09-22,385
2015-09-23,385
2015-09-24,385
2015-09-25,385
2015-09-27,395
2015-09-28,395
2015-09-29,395
2015-09-30,399
2015-10-05,394
2015-10-06,394
2015-10-07,394
2015-10-08,403
2015-10-09,403
2015-10-10,403
2015-10-11,397
2015-10-12,397
2015-10-13,397
2015-10-14,397
2015-10-15,394
2015-10-16,394
2015-10-17,394
2015-10-18,394
2015-10-19,383
2015-10-20,383
2015-10-22,383
2015-10-23,385
2015-10-24,385
2015-10-25,385
2015-10-26,385
2015-10-27,385
2015-10-29,385
2015-10-30,385
2015-10-31,383
2015-11-01,383
2015-11-02,383
2015-11-03,383
2015-11-04,383
2015-11-05,391
2015-11-06,391
2015-11-07,391
2015-11-08,391
2015-11-09,391
2015-11-10,391
2015-11-11,411
2015-11-12,411
2015-11-13,411
2015-11-14,411
2015-11-15,411
2015-11-16,432
2015-11-17,432
2015-11-18,432
2015-11-19,432
2015-11-20,432
2015-11-21,439
2015-11-22,439
2015-11-23,439
2015-11-24,439
2015-11-25,446
2015-11-26,446
2015-11-27,446
2015-11-28,446
2015-11-29,446
2015-11-30,454
2015-12-01,454
2015-12-02,454
2015-12-03,454
2015-12-04,454
2015-12-05,463
2015-12-06,463
2015-12-07,463
2015-12-08,463
2015-12-09,487
2015-12-10,487
2015-12-11,487
2015-12-12,487
2015-12-13,510
2015-12-14,510
2015-12-15,510
2015-12-16,510
2015-12-17,535
2015-12-18,535
2015-12-19,535
2015-12-20,554
2015-12-21,554
2015-12-22,554
