date_obj,Mystic%20fire%20staff price
2015-03-26,31357
2015-03-27,31357
2015-03-28,30193
2015-03-29,29180
2015-03-30,28233
2015-03-31,27514
2015-04-01,27514
2015-04-02,26849
2015-04-03,26288
2015-04-04,26143
2015-04-05,26143
2015-04-06,25991
2015-04-07,26085
2015-04-08,26085
2015-04-09,26563
2015-04-10,27078
2015-04-11,26804
2015-04-12,26804
2015-04-13,27081
2015-04-14,27081
2015-04-15,28043
2015-04-16,28043
2015-04-17,27820
2015-04-18,28572
2015-04-19,29118
2015-04-20,29118
2015-04-21,28758
2015-04-22,28758
2015-04-23,28059
2015-04-24,28059
2015-04-25,27446
2015-04-26,27446
2015-04-27,27121
2015-04-28,27070
2015-04-29,27070
2015-04-30,26971
2015-05-01,28032
2015-05-02,28504
2015-05-03,28504
2015-05-04,28284
2015-05-05,28421
2015-05-06,28135
2015-05-07,28237
2015-05-08,28106
2015-05-09,27804
2015-05-10,27097
2015-05-11,27097
2015-05-12,27001
2015-05-13,27001
2015-05-14,27377
2015-05-15,27377
2015-05-16,27960
2015-05-17,27764
2015-05-18,27988
2015-05-19,27988
2015-05-20,27628
2015-05-21,27628
2015-05-22,27838
2015-05-23,27983
2015-05-24,27707
2015-05-25,27445
2015-05-26,27354
2015-05-27,27354
2015-05-28,27140
2015-05-29,27282
2015-05-30,26796
2015-05-31,26288
2015-06-01,26323
2015-06-02,26323
2015-06-03,26544
2015-06-04,27349
2015-06-05,26984
2015-06-06,27011
2015-06-07,26479
2015-06-08,26774
2015-06-09,27054
2015-06-10,27286
2015-06-11,27286
2015-06-12,27839
2015-06-13,27623
2015-06-14,27207
2015-06-15,27156
2015-06-16,27403
2015-06-17,27447
2015-06-18,27582
2015-06-19,28221
2015-06-20,28181
2015-06-21,27567
2015-06-22,27212
2015-06-23,26824
2015-06-24,27114
2015-06-25,27114
2015-06-26,27152
2015-06-27,27152
2015-06-28,26568
2015-06-29,26940
2015-06-30,27200
2015-07-01,26781
2015-07-02,26781
2015-07-03,26870
2015-07-04,26826
2015-07-05,26965
2015-07-06,27429
2015-07-07,27021
2015-07-08,27731
2015-07-09,27731
2015-07-10,27664
2015-07-11,27664
2015-07-12,27030
2015-07-13,26751
2015-07-14,26673
2015-07-15,27089
2015-07-16,27538
2015-07-17,27140
2015-07-18,27140
2015-07-19,27061
2015-07-20,27026
2015-07-21,27184
2015-07-22,26912
2015-07-23,26912
2015-07-24,27216
2015-07-25,26824
2015-07-26,25848
2015-07-27,26483
2015-07-28,26677
2015-07-29,26939
2015-07-30,26499
2015-07-31,26499
2015-08-01,26639
2015-08-02,27365
2015-08-03,27791
2015-08-04,27423
2015-08-05,27518
2015-08-06,27470
2015-08-07,27953
2015-08-08,27888
2015-08-09,27425
2015-08-10,27377
2015-08-11,27412
2015-08-12,27412
2015-08-13,27425
2015-08-14,27670
2015-08-15,27670
2015-08-16,27042
2015-08-17,27198
2015-08-18,27438
2015-08-19,27306
2015-08-20,27578
2015-08-21,27655
2015-08-22,27437
2015-08-23,27322
2015-08-24,27149
2015-08-25,27149
2015-08-26,27297
2015-08-27,26987
2015-08-28,27226
2015-08-29,27629
2015-08-30,27629
