date_obj,Adamant%20trimmed%20set%20(lg) price
2015-03-26,55321
2015-03-27,55321
2015-03-28,55321
2015-03-29,55321
2015-03-30,55321
2015-03-31,55321
2015-04-01,55321
2015-04-02,55321
2015-04-03,56228
2015-04-04,56228
2015-04-05,56228
2015-04-06,56228
2015-04-07,56228
2015-04-08,56228
2015-04-09,56228
2015-04-10,56228
2015-04-11,57082
2015-04-12,57082
2015-04-13,57082
2015-04-14,57082
2015-04-15,57082
2015-04-16,57082
2015-04-17,57082
2015-04-18,57082
2015-04-19,57082
2015-04-20,58057
2015-04-21,58057
2015-04-22,58057
2015-04-23,58057
2015-04-24,58057
2015-04-25,58057
2015-04-26,58057
2015-04-27,58057
2015-04-28,58057
2015-04-29,58057
2015-04-30,58024
2015-05-01,58024
2015-05-02,58024
2015-05-03,58024
2015-05-04,58024
2015-05-05,58024
2015-05-06,58024
2015-05-07,58024
2015-05-08,58024
2015-05-09,58024
2015-05-10,57132
2015-05-11,57132
2015-05-12,57132
2015-05-13,57132
2015-05-14,57132
2015-05-15,57132
2015-05-16,57132
2015-05-17,57132
2015-05-18,57132
2015-05-19,57132
2015-05-20,57132
2015-05-21,57132
2015-05-22,55637
2015-05-23,55637
2015-05-24,55637
2015-05-25,55637
2015-05-26,55637
2015-05-27,55637
2015-05-28,55637
2015-05-29,54673
2015-05-30,54673
2015-05-31,54673
2015-06-01,54673
2015-06-02,54673
2015-06-03,54673
2015-06-04,53063
2015-06-05,53063
2015-06-06,53063
2015-06-07,53063
2015-06-08,53063
2015-06-09,53063
2015-06-10,52558
2015-06-11,52558
2015-06-12,52558
2015-06-13,52558
2015-06-14,52558
2015-06-15,52558
2015-06-16,52558
2015-06-17,50759
2015-06-18,50759
2015-06-19,50759
2015-06-20,50759
2015-06-21,50759
2015-06-22,50759
2015-06-23,50759
2015-06-24,48425
2015-06-25,48425
2015-06-26,48425
2015-06-27,48425
2015-06-28,48425
2015-06-29,48425
2015-06-30,48425
2015-07-01,47556
2015-07-02,47556
2015-07-03,47556
2015-07-04,47556
2015-07-05,47556
2015-07-06,47556
2015-07-07,47556
2015-07-08,48759
2015-07-09,48759
2015-07-10,48759
2015-07-11,48759
2015-07-12,48759
2015-07-13,48759
2015-07-14,48759
2015-07-15,49271
2015-07-16,49271
2015-07-17,49271
2015-07-18,49271
2015-07-19,49271
2015-07-20,49271
2015-07-21,49271
2015-07-22,49743
2015-07-23,49743
2015-07-24,49743
2015-07-25,49743
2015-07-26,49743
2015-07-27,49743
2015-07-28,50492
2015-07-29,50492
2015-07-30,50492
2015-07-31,50492
2015-08-01,50492
2015-08-02,50407
2015-08-03,50407
2015-08-04,50407
2015-08-05,50407
2015-08-06,50407
2015-08-07,50407
2015-08-08,49559
2015-08-09,49559
2015-08-10,49559
2015-08-11,49559
2015-08-12,49559
2015-08-13,49559
2015-08-14,50031
2015-08-15,50031
2015-08-16,50031
2015-08-17,50031
2015-08-18,50031
2015-08-19,50031
2015-08-20,50031
2015-08-21,51255
2015-08-22,51255
2015-08-23,51255
2015-08-24,51255
2015-08-25,51255
2015-08-26,51255
2015-08-27,51255
2015-08-28,52563
2015-08-29,52563
2015-08-30,52563
2015-08-31,52563
2015-09-01,52563
2015-09-02,52563
2015-09-03,52563
2015-09-04,53157
2015-09-05,53157
2015-09-06,53157
2015-09-07,53157
2015-09-08,53157
2015-09-09,53157
2015-09-10,53157
2015-09-11,53148
2015-09-12,53148
2015-09-13,53148
2015-09-14,53148
2015-09-15,53148
2015-09-16,53148
2015-09-17,53148
2015-09-18,52908
2015-09-19,52908
