date_obj,Tribal%20mask%20(green) price
2015-03-26,10959
2015-03-27,10959
2015-03-28,10959
2015-03-29,10959
2015-03-30,10959
2015-03-31,10959
2015-04-01,10959
2015-04-02,10959
2015-04-03,10959
2015-04-04,10651
2015-04-05,10651
2015-04-06,10651
2015-04-07,10651
2015-04-08,10651
2015-04-09,10651
2015-04-10,10651
2015-04-11,10651
2015-04-12,10651
2015-04-13,10651
2015-04-14,10651
2015-04-15,10417
2015-04-16,10417
2015-04-17,10417
2015-04-18,10417
2015-04-19,10417
2015-04-20,10417
2015-04-21,10417
2015-04-22,10417
2015-04-23,10417
2015-04-24,10417
2015-04-25,10417
2015-04-26,10212
2015-04-27,10212
2015-04-28,10212
2015-04-29,10212
2015-04-30,10212
2015-05-01,10212
2015-05-02,10212
2015-05-03,10212
2015-05-04,10212
2015-05-05,10212
2015-05-06,10212
2015-05-07,10089
2015-05-08,10089
2015-05-09,10089
2015-05-10,10089
2015-05-11,10089
2015-05-12,10089
2015-05-13,10089
2015-05-14,10089
2015-05-15,10089
2015-05-16,10089
2015-05-17,10089
2015-05-18,9772
2015-05-19,9772
2015-05-20,9772
2015-05-21,9772
2015-05-22,9772
2015-05-23,9772
2015-05-24,9772
2015-05-25,9772
2015-05-26,9772
2015-05-27,9772
2015-05-28,9484
2015-05-29,9484
2015-05-30,9484
2015-05-31,9484
2015-06-01,9484
2015-06-02,9484
2015-06-03,9484
2015-06-04,9484
2015-06-05,9397
2015-06-06,9397
2015-06-07,9397
2015-06-08,9397
2015-06-09,9397
2015-06-10,9397
2015-06-11,9397
2015-06-12,9397
2015-06-13,9397
2015-06-14,9548
2015-06-15,9548
2015-06-16,9548
2015-06-17,9548
2015-06-18,9548
2015-06-19,9548
2015-06-20,9548
2015-06-21,9548
2015-06-22,9519
2015-06-23,9519
2015-06-24,9519
2015-06-25,9519
2015-06-26,9519
2015-06-27,9519
2015-06-28,9519
2015-06-29,9519
2015-06-30,9502
2015-07-01,9502
2015-07-02,9502
2015-07-03,9502
2015-07-04,9502
2015-07-05,9502
2015-07-06,9502
2015-07-07,9502
2015-07-08,9502
2015-07-09,9762
2015-07-10,9762
2015-07-11,9762
2015-07-12,9762
2015-07-13,9762
2015-07-14,9762
2015-07-15,9762
2015-07-16,9762
2015-07-17,9642
2015-07-18,9642
2015-07-19,9642
2015-07-20,9642
2015-07-21,9642
2015-07-22,9642
2015-07-23,9642
2015-07-24,9642
2015-07-25,9790
