date_obj,Mithril%20plateskirt%20(t) price
2015-03-26,9092
2015-03-27,9092
2015-03-28,8688
2015-03-29,8271
2015-03-30,8271
2015-03-31,7887
2015-04-01,7887
2015-04-02,7514
2015-04-03,7183
2015-04-04,6862
2015-04-05,6862
2015-04-06,6557
2015-04-07,6255
2015-04-08,6255
2015-04-09,5968
2015-04-10,5701
2015-04-11,5447
2015-04-12,5202
2015-04-13,5202
2015-04-14,4987
2015-04-15,4987
2015-04-16,4788
2015-04-17,4788
2015-04-18,4586
2015-04-19,4586
2015-04-20,4370
2015-04-21,4370
2015-04-22,4370
2015-04-23,4156
2015-04-24,4156
2015-04-25,4156
2015-04-26,3968
2015-04-27,3968
2015-04-28,3794
2015-04-29,3794
2015-04-30,3794
2015-05-01,3655
2015-05-02,3655
2015-05-03,3483
2015-05-04,3483
2015-05-05,3322
2015-05-06,3322
2015-05-07,3159
2015-05-08,3159
2015-05-09,3032
2015-05-10,3032
2015-05-11,3032
2015-05-12,2921
2015-05-13,2921
2015-05-14,2789
2015-05-15,2789
2015-05-16,2663
2015-05-17,2663
2015-05-18,2546
2015-05-19,2546
2015-05-20,2546
2015-05-21,2473
2015-05-22,2473
2015-05-23,2365
2015-05-24,2365
2015-05-25,2280
2015-05-26,2280
2015-05-27,2280
2015-05-28,2182
2015-05-29,2182
2015-05-30,2102
2015-05-31,2102
2015-06-01,2102
2015-06-02,2102
2015-06-03,2102
2015-06-04,2102
2015-06-05,2044
2015-06-06,2044
2015-06-07,2044
2015-06-08,2034
2015-06-09,2034
2015-06-10,2034
2015-06-11,2019
2015-06-12,2019
2015-06-13,2019
2015-06-14,2019
2015-06-15,2009
2015-06-16,2009
2015-06-17,2009
2015-06-18,1969
2015-06-19,1969
2015-06-20,1969
2015-06-21,1892
2015-06-22,1892
2015-06-23,1892
2015-06-24,1822
2015-06-25,1822
2015-06-26,1822
2015-06-27,1822
2015-06-28,1752
2015-06-29,1752
2015-06-30,1752
2015-07-01,1674
2015-07-02,1674
2015-07-03,1674
2015-07-04,1597
2015-07-05,1597
2015-07-06,1597
2015-07-07,1528
2015-07-08,1528
2015-07-09,1528
2015-07-10,1459
2015-07-11,1459
2015-07-12,1459
2015-07-13,1423
2015-07-14,1423
2015-07-15,1359
2015-07-16,1359
2015-07-17,1359
2015-07-18,1317
2015-07-19,1317
2015-07-20,1317
2015-07-21,1280
2015-07-22,1280
2015-07-23,1280
2015-07-24,1247
2015-07-25,1247
2015-07-26,1247
2015-07-27,1196
2015-07-28,1196
2015-07-29,1196
2015-07-30,1180
2015-07-31,1180
2015-08-01,1180
2015-08-02,1185
2015-08-03,1185
2015-08-04,1185
2015-08-05,1196
2015-08-06,1196
2015-08-07,1196
2015-08-08,1228
2015-08-09,1228
2015-08-10,1228
2015-08-11,1260
2015-08-12,1260
2015-08-13,1260
2015-08-14,1272
2015-08-15,1272
2015-08-16,1272
2015-08-17,1272
2015-08-18,1263
2015-08-19,1263
2015-08-20,1263
2015-08-21,1255
2015-08-22,1255
2015-08-23,1255
2015-08-24,1254
2015-08-25,1254
2015-08-26,1254
2015-08-27,1304
2015-08-28,1304
2015-08-29,1304
2015-08-30,1304
2015-08-31,1336
2015-09-01,1336
2015-09-02,1336
2015-09-03,1336
2015-09-04,1345
2015-09-05,1345
2015-09-06,1345
2015-09-07,1345
2015-09-08,1345
2015-09-09,1344
2015-09-10,1344
2015-09-11,1344
2015-09-12,1344
2015-09-13,1358
2015-09-14,1358
2015-09-15,1358
2015-09-16,1358
2015-09-17,1371
2015-09-18,1371
2015-09-19,1371
2015-09-20,1371
2015-09-21,1426
2015-09-22,1426
2015-09-23,1426
2015-09-24,1426
2015-09-25,1426
2015-09-27,1498
2015-09-28,1498
2015-09-29,1498
2015-09-30,1540
2015-10-05,1549
2015-10-06,1549
2015-10-07,1549
2015-10-08,1574
2015-10-09,1574
2015-10-10,1574
2015-10-11,1567
2015-10-12,1567
2015-10-13,1567
2015-10-14,1567
2015-10-15,1522
2015-10-16,1522
2015-10-17,1522
2015-10-18,1522
2015-10-19,1492
2015-10-20,1492
2015-10-22,1492
2015-10-23,1430
2015-10-24,1430
2015-10-25,1430
2015-10-26,1358
2015-10-27,1358
2015-10-29,1328
2015-10-30,1328
2015-10-31,1328
2015-11-01,1328
2015-11-02,1296
2015-11-03,1296
2015-11-04,1296
2015-11-05,1296
2015-11-06,1285
2015-11-07,1285
2015-11-08,1285
2015-11-09,1285
2015-11-10,1279
2015-11-11,1279
2015-11-12,1279
2015-11-13,1279
2015-11-14,1314
2015-11-15,1314
2015-11-16,1314
2015-11-17,1314
2015-11-18,1314
2015-11-19,1338
2015-11-20,1338
2015-11-21,1338
2015-11-22,1338
2015-11-23,1338
2015-11-24,1304
2015-11-25,1304
2015-11-26,1304
2015-11-27,1312
2015-11-28,1312
2015-11-29,1312
2015-11-30,1359
2015-12-01,1359
2015-12-02,1359
2015-12-03,1346
2015-12-04,1346
2015-12-05,1346
2015-12-06,1346
2015-12-07,1340
2015-12-08,1340
2015-12-09,1340
2015-12-10,1340
2015-12-11,1319
2015-12-12,1319
2015-12-13,1319
2015-12-14,1319
2015-12-15,1326
2015-12-16,1326
2015-12-17,1326
2015-12-18,1326
2015-12-19,1343
2015-12-20,1343
2015-12-21,1343
2015-12-22,1307
2015-12-23,1307
2015-12-24,1307
2015-12-25,1307
2015-12-26,1307
2015-12-27,1259
2015-12-28,1259
2015-12-29,1258
2015-12-30,1258
2015-12-31,1258
2016-01-01,1258
2016-01-02,1243
2016-01-03,1243
2016-01-04,1243
2016-01-05,1225
2016-01-06,1225
2016-01-07,1225
2016-01-08,1225
2016-01-09,1284
2016-01-10,1284
2016-01-11,1284
2016-01-12,1309
2016-01-13,1309
2016-01-14,1309
2016-01-15,1309
2016-01-16,1354
2016-01-17,1354
2016-01-18,1354
2016-01-19,1332
2016-01-20,1332
2016-01-21,1332
2016-01-22,1354
2016-01-23,1354
2016-01-24,1354
2016-01-25,1406
2016-01-26,1406
2016-01-27,1406
2016-01-28,1406
2016-01-29,1371
2016-01-30,1371
2016-01-31,1371
2016-02-01,1317
2016-02-02,1317
2016-02-03,1317
2016-02-04,1317
2016-02-05,1312
2016-02-06,1312
2016-02-07,1312
2016-02-08,1338
2016-02-09,1338
2016-02-10,1338
2016-02-11,1318
2016-02-12,1318
2016-02-13,1318
2016-02-14,1343
2016-02-15,1343
2016-02-16,1343
2016-02-17,1339
2016-02-18,1339
2016-02-19,1339
2016-02-20,1339
2016-02-21,1341
2016-02-22,1341
2016-02-23,1341
2016-02-24,1341
2016-02-25,1338
2016-02-26,1338
2016-02-27,1338
2016-02-28,1284
2016-02-29,1284
2016-03-01,1245
2016-03-02,1245
2016-03-03,1245
2016-03-04,1245
2016-03-05,1243
2016-03-06,1243
2016-03-07,1243
2016-03-08,1203
2016-03-09,1203
2016-03-10,1203
2016-03-11,1219
2016-03-12,1219
2016-03-13,1219
2016-03-14,1252
2016-03-15,1252
2016-03-16,1252
2016-03-17,1277
2016-03-18,1277
2016-03-19,1277
2016-03-20,1273
2016-03-21,1273
2016-03-22,1273
2016-03-23,1273
2016-03-24,1281
2016-03-25,1281
2016-03-26,1281
2016-03-27,1266
2016-03-28,1266
2016-03-29,1266
2016-03-30,1266
2016-03-31,1300
2016-04-01,1300
2016-04-02,1300
2016-04-03,1300
2016-04-04,1263
2016-04-05,1263
2016-04-06,1263
2016-04-07,1271
2016-04-08,1271
2016-04-09,1271
2016-04-10,1231
2016-04-11,1231
2016-04-12,1231
2016-04-13,1231
2016-04-14,1232
2016-04-15,1232
2016-04-16,1232
2016-04-17,1229
2016-04-18,1229
2016-04-19,1229
2016-04-20,1239
2016-04-21,1239
2016-04-22,1239
2016-04-23,1239
2016-04-24,1240
2016-04-25,1240
2016-04-26,1240
2016-04-27,1257
2016-04-28,1257
2016-04-29,1257
2016-04-30,1248
2016-05-01,1248
2016-05-02,1248
2016-05-03,1293
2016-05-04,1293
2016-05-05,1346
2016-05-06,1346
2016-05-07,1346
2016-05-08,1346
2016-05-09,1408
2016-05-10,1408
2016-05-11,1408
2016-05-12,1408
2016-05-13,1477
2016-05-14,1477
2016-05-15,1477
2016-05-16,1535
2016-05-17,1535
2016-05-18,1535
2016-05-19,1596
2016-05-22,1637
2016-05-23,1637
2016-05-24,1637
2016-05-25,1709
2016-05-26,1709
2016-05-27,1709
2016-05-28,1746
2016-05-29,1746
2016-05-30,1746
2016-05-31,1818
2016-06-01,1818
2016-06-02,1818
2016-06-03,1854
2016-06-04,1854
2016-06-05,1854
2016-06-06,1909
2016-06-07,1909
2016-06-08,1909
2016-06-09,1954
2016-06-10,1954
2016-06-11,1954
2016-06-12,2017
2016-06-13,2017
2016-06-14,2017
2016-06-15,2020
2016-06-16,2020
2016-06-17,2009
2016-06-18,2009
2016-06-19,2009
2016-06-20,2010
2016-06-21,2010
2016-06-22,1999
2016-06-23,1999
2016-06-24,1999
2016-06-25,1914
2016-06-26,1914
2016-06-27,1914
2016-06-28,1828
2016-06-29,1828
2016-06-30,1828
2016-07-01,1810
2016-07-02,1810
2016-07-03,1810
2016-07-04,1833
2016-07-05,1833
2016-07-06,1882
