date_obj,Heavy%20ballista price
2017-03-30,891361
2017-03-31,898802
2017-04-01,877414
2017-04-02,874025
2017-04-03,864623
2017-04-04,856618
2017-04-12,929720
2017-04-13,950742
2017-04-14,971441
2017-04-15,1020014
2017-04-16,1049571
2017-04-17,1081541
2017-04-18,1078979
2017-04-19,1084131
2017-04-20,1077926
2017-04-21,1123273
2017-04-22,1150198
2017-04-23,1194597
2017-04-24,1202452
2017-04-25,1179099
2017-04-26,1179099
2017-04-27,1137720
2017-04-28,1132029
2017-04-29,1167414
2017-04-30,1212004
2017-05-01,1227329
2017-05-02,1174851
2017-05-03,1156426
2017-05-04,1123192
2017-05-05,1101820
2017-05-06,1083005
2017-05-07,1076123
2017-05-08,1069929
2017-05-09,1081383
2017-05-10,1057730
2017-05-11,1052459
2017-05-12,1036348
2017-05-13,1029573
2017-05-14,1023832
2017-05-15,1011027
2017-05-16,1011049
2017-05-17,1003600
2017-05-18,987366
2017-05-19,1019790
2017-05-20,1070062
2017-05-21,1070062
2017-05-22,1073666
2017-05-23,1075546
2017-05-24,1055243
2017-05-25,1010219
2017-05-26,960382
2017-05-27,912362
2017-05-28,867219
2017-05-29,823865
2017-05-30,789097
2017-05-31,758378
2017-06-01,753897
2017-06-02,758694
2017-06-03,758694
2017-06-04,763913
2017-06-06,752865
2017-06-07,751262
2017-06-08,751262
2017-06-09,751277
2017-06-10,725487
2017-06-11,710170
2017-06-12,683165
2017-06-13,701640
2017-06-14,723403
2017-06-15,732729
2017-06-16,740807
2017-06-17,749336
2017-06-18,755478
2017-06-19,755478
2017-06-20,757795
2017-06-21,742760
2017-06-22,742760
2017-06-23,716941
2017-06-24,700046
2017-06-25,715648
2017-06-26,723247
2017-06-27,709742
2017-06-28,726105
2017-06-29,749460
2017-06-30,732257
2017-07-01,732257
2017-07-02,715868
2017-07-03,692679
2017-07-04,672827
2017-07-05,672827
2017-07-06,689855
2017-07-07,689855
2017-07-08,683725
2017-07-13,693758
2017-07-14,691797
2017-07-15,691797
2017-07-16,699162
2017-07-17,695989
2017-07-18,689908
2017-07-19,666873
2017-07-20,671082
2017-07-21,680137
2017-07-22,686835
2017-07-23,708654
2017-07-24,732585
2017-07-25,750692
2017-07-26,741575
2017-07-27,735928
2017-07-28,734328
2017-07-29,764826
2017-07-30,772349
2017-07-31,772349
2017-08-01,802775
2017-08-02,834313
2017-08-03,849411
2017-08-04,849411
2017-08-05,837202
2017-08-06,837202
2017-08-09,751192
2017-08-10,736208
2017-08-11,742306
2017-08-12,752633
2017-08-13,736485
2017-08-14,717818
2017-08-15,721701
2017-08-16,701011
2017-08-17,705087
2017-08-18,705087
2017-08-19,716520
2017-08-20,728622
2017-08-21,735191
2017-08-22,719340
2017-08-23,712518
2017-08-24,707470
2017-08-25,707470
2017-08-26,683726
2017-08-27,680090
2017-08-28,680090
2017-08-29,673828
2017-08-30,673580
2017-08-31,673580
2017-09-01,671265
2017-09-02,666639
2017-09-03,666639
2017-09-04,662727
2017-09-05,650643
2017-09-06,643131
2017-09-07,631501
2017-09-08,631501
2017-09-09,610105
2017-09-10,593252
2017-09-11,581297
2017-09-12,581297
2017-09-13,591161
2017-09-14,598920
2017-09-15,598920
2017-09-16,613793
2017-09-17,639046
2017-09-18,629342
2017-09-19,624088
2017-09-20,615017
2017-09-21,616580
2017-09-22,627573
2017-09-23,627573
2017-09-24,626609
2017-09-25,622305
2017-09-26,624874
2017-09-27,624874
2017-09-28,628287
2017-09-29,639654
2017-09-30,639048
2017-10-01,639769
2017-10-02,630569
2017-10-03,630569
2017-10-04,620719
2017-10-05,621628
2017-10-06,615297
2017-10-07,613053
2017-10-08,608522
2017-10-09,599733
2017-10-10,612114
2017-10-11,612114
2017-10-12,640959
2017-10-13,672616
2017-10-14,706218
2017-10-15,706218
2017-10-16,728258
2017-10-17,728258
2017-10-18,712812
2017-10-19,709640
2017-10-20,712695
2017-10-21,722683
2017-10-22,728589
2017-10-23,752019
2017-10-24,747180
2017-10-25,734591
2017-10-26,725380
2017-10-27,705559
2017-10-28,705559
2017-10-29,703154
2017-10-30,718680
2017-10-31,732516
2017-11-01,732516
2017-11-02,725334
2017-11-03,720368
2017-11-04,733741
2017-11-05,752641
2017-11-06,758313
2017-11-07,751809
2017-11-08,743735
2017-11-09,727349
2017-11-10,729264
2017-11-11,743798
2017-11-12,750286
2017-11-13,753353
2017-11-14,740951
2017-11-15,725672
2017-11-16,713687
2017-11-17,723171
2017-11-18,730309
2017-11-19,741006
2017-11-20,731577
2017-11-21,725461
2017-11-22,716896
2017-11-23,749184
2017-11-24,786644
2017-11-25,825545
2017-11-26,855161
2017-11-27,869882
2017-11-28,907817
2017-11-29,951013
2017-11-30,966895
