date_obj,Egg%20and%20tomato price
2015-03-26,75
2015-03-27,75
2015-03-28,75
2015-03-29,75
2015-03-30,75
2015-03-31,75
2015-04-01,75
2015-04-02,75
2015-04-03,75
2015-04-04,75
2015-04-05,75
2015-04-06,75
2015-04-07,75
2015-04-08,75
2015-04-09,75
2015-04-10,75
2015-04-11,75
2015-04-12,75
2015-04-13,75
2015-04-14,75
2015-04-15,75
2015-04-16,75
2015-04-17,75
2015-04-18,75
2015-04-19,75
2015-04-20,75
2015-04-21,75
2015-04-22,75
2015-04-23,75
2015-04-24,75
2015-04-25,75
2015-04-26,75
2015-04-27,75
2015-04-28,75
2015-04-29,75
2015-04-30,75
2015-05-01,75
2015-05-02,75
2015-05-03,75
2015-05-04,75
2015-05-05,75
2015-05-06,75
2015-05-07,75
2015-05-08,75
2015-05-09,75
2015-05-10,75
2015-05-11,75
2015-05-12,75
2015-05-13,75
2015-05-14,75
2015-05-15,75
2015-05-16,75
2015-05-17,75
2015-05-18,75
2015-05-19,75
2015-05-20,75
2015-05-21,75
2015-05-22,75
2015-05-23,75
2015-05-24,75
2015-05-25,75
2015-05-26,75
2015-05-27,75
2015-05-28,75
2015-05-29,75
2015-05-30,75
2015-05-31,75
2015-06-01,75
2015-06-02,75
2015-06-03,75
2015-06-04,75
2015-06-05,75
2015-06-06,75
2015-06-07,75
2015-06-08,75
2015-06-09,75
2015-06-10,75
2015-06-11,75
2015-06-12,75
2015-06-13,75
2015-06-14,75
2015-06-15,75
2015-06-16,75
2015-06-17,75
2015-06-18,75
2015-06-19,75
2015-06-20,75
2015-06-21,75
2015-06-22,75
2015-06-23,75
2015-06-24,75
2015-06-25,75
2015-06-26,75
2015-06-27,75
2015-06-28,75
2015-06-29,75
2015-06-30,75
2015-07-01,75
2015-07-02,75
2015-07-03,75
2015-07-04,75
2015-07-05,75
2015-07-06,75
2015-07-07,75
2015-07-08,75
2015-07-09,75
2015-07-10,75
2015-07-11,75
2015-07-12,75
2015-07-13,75
2015-07-14,75
2015-07-15,75
2015-07-16,75
2015-07-17,75
2015-07-18,75
2015-07-19,75
2015-07-20,75
2015-07-21,75
2015-07-22,75
2015-07-23,75
2015-07-24,75
2015-07-25,75
2015-07-26,75
2015-07-27,75
2015-07-28,75
2015-07-29,75
2015-07-30,75
2015-07-31,75
2015-08-01,75
2015-08-02,75
2015-08-03,75
2015-08-04,75
2015-08-05,75
2015-08-06,75
2015-08-07,75
2015-08-08,75
2015-08-09,75
2015-08-10,75
2015-08-11,75
2015-08-12,75
2015-08-13,75
2015-08-14,75
2015-08-15,75
2015-08-16,75
2015-08-17,75
2015-08-18,75
2015-08-19,75
2015-08-20,75
2015-08-21,75
2015-08-22,75
2015-08-23,75
2015-08-24,75
2015-08-25,75
2015-08-26,75
2015-08-27,75
2015-08-28,75
2015-08-29,75
2015-08-30,75
2015-08-31,75
2015-09-01,75
2015-09-02,75
2015-09-03,75
2015-09-04,75
2015-09-05,75
2015-09-06,75
2015-09-07,75
2015-09-08,75
2015-09-09,75
2015-09-10,75
2015-09-11,75
2015-09-12,75
2015-09-13,75
2015-09-14,75
2015-09-15,75
2015-09-16,75
2015-09-17,75
2015-09-18,75
2015-09-19,75
2015-09-20,75
2015-09-21,75
2015-09-22,75
2015-09-23,75
2015-09-24,75
2015-09-25,75
2015-09-27,75
2015-09-28,75
2015-09-29,75
2015-09-30,75
2015-10-05,75
2015-10-06,75
2015-10-07,75
2015-10-08,75
2015-10-09,75
2015-10-10,75
2015-10-11,75
2015-10-12,75
2015-10-13,75
2015-10-14,75
2015-10-15,75
2015-10-16,75
2015-10-17,75
2015-10-18,75
2015-10-19,75
2015-10-20,75
2015-10-22,75
2015-10-23,75
2015-10-24,75
2015-10-25,75
2015-10-26,75
2015-10-27,75
2015-10-29,75
2015-10-30,75
2015-10-31,75
2015-11-01,75
2015-11-02,75
2015-11-03,75
2015-11-04,75
2015-11-05,75
2015-11-06,75
2015-11-07,75
2015-11-08,75
2015-11-09,75
2015-11-10,75
2015-11-11,75
2015-11-12,75
2015-11-13,75
2015-11-14,75
2015-11-15,75
2015-11-16,75
