date_obj,Navy%20cavalier price
2015-03-26,40601
2015-03-27,38850
2015-03-28,37092
2015-03-29,35237
2015-03-30,33475
2015-03-31,31863
2015-04-01,30485
2015-04-02,29138
2015-04-03,27739
2015-04-04,26352
2015-04-05,25134
2015-04-06,24003
2015-04-07,22882
2015-04-08,21807
2015-04-09,20814
2015-04-10,19773
2015-04-11,18883
2015-04-12,17953
2015-04-13,17317
2015-04-14,17317
2015-04-15,16825
2015-04-16,16193
2015-04-17,15635
2015-04-18,15156
2015-04-19,15023
2015-04-20,15023
2015-04-21,14533
2015-04-22,14533
2015-04-23,14130
2015-04-24,14130
2015-04-25,13645
2015-04-26,13365
2015-04-27,12924
2015-04-28,12607
2015-04-29,12607
2015-04-30,12387
2015-05-01,12083
2015-05-02,11739
2015-05-03,11739
2015-05-04,11414
2015-05-05,11151
2015-05-06,10862
2015-05-07,10862
2015-05-08,10492
2015-05-09,9999
2015-05-10,9623
2015-05-11,9623
2015-05-12,9378
2015-05-13,9378
2015-05-14,9168
2015-05-15,9168
2015-05-16,9009
2015-05-17,8638
2015-05-18,8515
2015-05-19,8515
2015-05-20,8608
2015-05-21,8608
2015-05-22,8716
2015-05-23,8884
2015-05-24,8674
2015-05-25,8668
2015-05-26,8668
2015-05-27,8553
2015-05-28,8553
2015-05-29,8535
2015-05-30,8466
2015-05-31,8466
2015-06-01,8315
2015-06-02,8315
2015-06-03,8193
2015-06-04,8193
2015-06-05,8154
2015-06-06,8169
2015-06-07,8193
2015-06-08,8193
2015-06-09,8129
2015-06-10,8274
2015-06-11,8274
2015-06-12,8256
2015-06-13,8365
2015-06-14,8460
2015-06-15,8684
2015-06-16,8894
2015-06-17,8894
2015-06-18,9103
2015-06-19,9103
2015-06-20,9391
2015-06-21,9391
2015-06-22,9258
2015-06-23,9258
2015-06-24,9281
2015-06-25,9281
2015-06-26,9073
2015-06-27,9073
2015-06-28,9052
2015-06-29,9052
2015-06-30,9104
2015-07-01,9228
2015-07-02,9228
2015-07-03,9238
2015-07-04,9341
2015-07-05,9341
2015-07-06,9352
2015-07-07,9453
2015-07-08,9410
2015-07-09,9410
2015-07-10,9308
2015-07-11,9308
2015-07-12,8913
2015-07-13,9050
2015-07-14,8762
2015-07-15,8762
2015-07-16,8648
2015-07-17,8774
2015-07-18,8774
2015-07-19,8869
2015-07-20,8785
2015-07-21,8943
2015-07-22,8729
2015-07-23,8729
2015-07-24,8795
2015-07-25,8795
2015-07-26,8757
2015-07-27,8770
2015-07-28,8778
2015-07-29,8747
2015-07-30,8659
2015-07-31,8659
2015-08-01,8552
2015-08-02,8601
2015-08-03,8601
2015-08-04,8451
2015-08-05,8589
2015-08-06,8589
2015-08-07,8642
2015-08-08,8762
2015-08-09,8786
2015-08-10,9004
2015-08-11,9289
2015-08-12,9289
2015-08-13,9304
2015-08-14,8862
2015-08-15,8862
2015-08-16,8573
2015-08-17,8144
2015-08-18,7861
2015-08-19,7735
2015-08-20,7779
2015-08-21,7633
2015-08-22,7488
2015-08-23,7488
2015-08-24,7477
2015-08-25,7477
2015-08-26,7564
2015-08-27,7481
2015-08-28,7481
2015-08-29,7319
2015-08-30,7319
2015-08-31,7539
2015-09-01,7776
2015-09-02,7776
2015-09-03,7940
2015-09-04,8187
2015-09-05,8187
2015-09-06,8069
2015-09-07,8043
2015-09-08,8093
2015-09-09,8093
2015-09-10,8064
2015-09-11,8118
2015-09-12,8118
2015-09-13,8168
2015-09-14,7962
2015-09-15,7949
2015-09-16,7949
2015-09-17,7824
2015-09-18,7824
2015-09-19,7976
2015-09-20,7976
2015-09-21,8104
2015-09-22,8104
2015-09-23,8199
2015-09-24,8199
2015-09-25,8609
2015-09-27,8916
2015-09-28,9197
2015-09-29,9197
2015-09-30,9273
2015-10-05,9635
