date_obj,Big%20bones price
2015-03-26,322
2015-03-27,331
2015-03-28,335
2015-03-29,329
2015-03-30,321
2015-03-31,321
2015-04-01,320
2015-04-02,315
2015-04-03,325
2015-04-04,323
2015-04-05,320
2015-04-06,317
2015-04-07,315
2015-04-08,316
2015-04-09,314
2015-04-10,322
2015-04-11,323
2015-04-12,326
2015-04-13,333
2015-04-14,328
2015-04-15,322
2015-04-16,318
2015-04-17,314
2015-04-18,317
2015-04-19,312
2015-04-20,309
2015-04-21,303
2015-04-22,296
2015-04-23,290
2015-04-24,295
2015-04-25,294
2015-04-26,292
2015-04-27,296
2015-04-28,303
2015-04-29,315
2015-04-30,324
2015-05-01,333
2015-05-02,319
2015-05-03,306
2015-05-04,295
2015-05-05,283
2015-05-06,275
2015-05-07,269
2015-05-08,269
2015-05-09,268
2015-05-10,271
2015-05-11,272
2015-05-12,272
2015-05-13,274
2015-05-14,284
2015-05-15,294
2015-05-16,301
2015-05-17,303
2015-05-18,305
2015-05-19,300
2015-05-20,297
2015-05-21,298
2015-05-22,299
2015-05-23,292
2015-05-24,290
2015-05-25,285
2015-05-26,281
2015-05-27,279
2015-05-28,282
2015-05-29,291
2015-05-30,300
2015-05-31,311
2015-06-01,324
2015-06-02,326
2015-06-03,337
2015-06-04,349
2015-06-05,350
2015-06-06,344
2015-06-07,351
2015-06-08,349
2015-06-09,342
2015-06-10,336
2015-06-11,333
2015-06-12,327
2015-06-13,324
2015-06-14,320
2015-06-15,318
2015-06-16,318
2015-06-17,321
2015-06-18,334
2015-06-19,327
2015-06-20,311
2015-06-21,302
2015-06-22,296
2015-06-23,305
2015-06-24,314
2015-06-25,322
2015-06-26,314
2015-06-27,309
2015-06-28,305
2015-06-29,303
2015-06-30,303
2015-07-01,310
2015-07-02,313
2015-07-03,313
2015-07-04,311
2015-07-05,302
2015-07-06,296
2015-07-07,299
2015-07-08,298
2015-07-09,301
2015-07-10,301
2015-07-11,297
2015-07-12,291
2015-07-13,285
2015-07-14,280
2015-07-15,272
2015-07-16,266
2015-07-17,263
2015-07-18,259
2015-07-19,253
2015-07-20,247
2015-07-21,243
2015-07-22,238
2015-07-23,239
2015-07-24,242
2015-07-25,242
2015-07-26,241
2015-07-27,248
2015-07-28,261
2015-07-29,275
2015-07-30,289
2015-07-31,303
2015-08-01,318
2015-08-02,333
2015-08-03,341
2015-08-04,349
2015-08-05,351
2015-08-06,358
2015-08-07,360
2015-08-08,368
2015-08-09,362
2015-08-10,363
2015-08-11,361
2015-08-12,364
2015-08-13,368
2015-08-14,364
2015-08-15,376
2015-08-16,374
2015-08-17,362
2015-08-18,352
2015-08-19,344
2015-08-20,345
2015-08-21,345
2015-08-22,346
2015-08-23,341
2015-08-24,339
2015-08-25,344
2015-08-26,344
2015-08-27,338
2015-08-28,338
2015-08-29,346
2015-08-30,353
2015-08-31,346
2015-09-01,345
2015-09-02,344
2015-09-03,347
2015-09-04,344
2015-09-05,342
2015-09-06,336
2015-09-07,325
2015-09-08,320
2015-09-09,317
2015-09-10,315
2015-09-11,320
2015-09-12,325
2015-09-13,333
2015-09-14,339
2015-09-15,337
2015-09-16,342
2015-09-17,344
2015-09-18,342
2015-09-19,337
2015-09-20,338
2015-09-21,341
2015-09-22,344
2015-09-23,352
2015-09-24,363
2015-09-25,358
2015-09-27,351
2015-09-28,352
2015-09-29,354
2015-09-30,359
2015-10-05,387
2015-10-06,375
2015-10-07,367
2015-10-08,368
2015-10-09,365
2015-10-10,369
2015-10-11,365
2015-10-12,363
2015-10-13,360
2015-10-14,357
2015-10-15,360
2015-10-16,360
2015-10-17,362
2015-10-18,364
2015-10-19,365
2015-10-20,375
2015-10-22,381
2015-10-23,384
2015-10-24,393
2015-10-25,395
2015-10-26,406
2015-10-27,397
2015-10-28,396
2015-10-29,392
2015-10-30,401
2015-10-31,409
2015-11-01,406
2015-11-02,406
2015-11-03,402
2015-11-04,401
2015-11-05,403
2015-11-06,399
2015-11-07,395
2015-11-08,397
2015-11-09,404
2015-11-10,416
