date_obj,Adamant%20plateskirt price
2015-03-26,6593
2015-03-27,6593
2015-03-28,6593
2015-03-29,6593
2015-03-30,6593
2015-03-31,6593
2015-04-01,6410
2015-04-02,6410
2015-04-03,6410
2015-04-04,6410
2015-04-05,6410
2015-04-06,6410
2015-04-07,6410
2015-04-08,6410
2015-04-09,6333
2015-04-10,6333
2015-04-11,6333
2015-04-12,6333
2015-04-13,6333
2015-04-14,6333
2015-04-15,6333
2015-04-16,6333
2015-04-17,6333
2015-04-18,6333
2015-04-19,6249
2015-04-20,6249
2015-04-21,6249
2015-04-22,6249
2015-04-23,6249
2015-04-24,6249
2015-04-25,6249
2015-04-26,6249
2015-04-27,6249
2015-04-28,6249
2015-04-29,6249
2015-04-30,6032
2015-05-01,6032
2015-05-02,6032
2015-05-03,6032
2015-05-04,6032
2015-05-05,6032
2015-05-06,6032
2015-05-07,6032
2015-05-08,6032
2015-05-09,6032
2015-05-10,6032
2015-05-11,6032
2015-05-12,5998
2015-05-13,5998
2015-05-14,5998
2015-05-15,5998
2015-05-16,5998
2015-05-17,5998
2015-05-18,5998
2015-05-19,5998
2015-05-20,5998
2015-05-21,5998
2015-05-22,5998
2015-05-23,5998
2015-05-24,6099
2015-05-25,6099
2015-05-26,6099
2015-05-27,6099
2015-05-28,6099
2015-05-29,6099
2015-05-30,6099
2015-05-31,6238
2015-06-01,6238
2015-06-02,6238
2015-06-03,6238
2015-06-04,6238
2015-06-05,6238
2015-06-06,6238
2015-06-07,6238
2015-06-08,6325
2015-06-09,6325
2015-06-10,6325
2015-06-11,6325
2015-06-12,6325
2015-06-13,6325
2015-06-14,6325
2015-06-15,6488
2015-06-16,6488
2015-06-17,6488
2015-06-18,6488
2015-06-19,6488
2015-06-20,6488
2015-06-21,6488
2015-06-22,6488
2015-06-23,6468
2015-06-24,6468
2015-06-25,6468
2015-06-26,6468
2015-06-27,6468
2015-06-28,6468
2015-06-29,6468
2015-06-30,6468
2015-07-01,6468
2015-07-02,6583
2015-07-03,6583
2015-07-04,6583
2015-07-05,6583
2015-07-06,6583
2015-07-07,6583
2015-07-08,6583
2015-07-09,6583
2015-07-10,6583
2015-07-11,6529
2015-07-12,6529
2015-07-13,6529
2015-07-14,6529
2015-07-15,6529
2015-07-16,6529
2015-07-17,6529
2015-07-18,6529
2015-07-19,6659
2015-07-20,6659
2015-07-21,6659
2015-07-22,6659
2015-07-23,6659
2015-07-24,6659
2015-07-25,6659
2015-07-26,6659
2015-07-27,6748
2015-07-28,6748
2015-07-29,6748
2015-07-30,6748
2015-07-31,6748
2015-08-01,6748
2015-08-02,6742
2015-08-03,6742
2015-08-04,6742
2015-08-05,6742
2015-08-06,6742
2015-08-07,6742
2015-08-08,6742
2015-08-09,6431
2015-08-10,6431
2015-08-11,6431
2015-08-12,6431
2015-08-13,6431
2015-08-14,6431
2015-08-15,6223
2015-08-16,6223
2015-08-17,6223
2015-08-18,6223
2015-08-19,6223
2015-08-20,6223
2015-08-21,6223
2015-08-22,5969
2015-08-23,5969
2015-08-24,5969
2015-08-25,5969
2015-08-26,5969
2015-08-27,5969
2015-08-28,5969
2015-08-29,5969
2015-08-30,5768
2015-08-31,5768
2015-09-01,5768
2015-09-02,5768
2015-09-03,5768
2015-09-04,5768
2015-09-05,5768
2015-09-06,5768
2015-09-07,5585
2015-09-08,5585
2015-09-09,5585
2015-09-10,5585
2015-09-11,5585
2015-09-12,5585
2015-09-13,5585
2015-09-14,5585
2015-09-15,5412
2015-09-16,5412
2015-09-17,5412
2015-09-18,5412
2015-09-19,5412
2015-09-20,5412
2015-09-21,5412
2015-09-22,5412
2015-09-23,5224
2015-09-24,5224
2015-09-25,5224
2015-09-27,5224
2015-09-28,5224
2015-09-29,5224
2015-09-30,5224
2015-10-05,5076
2015-10-06,5076
2015-10-07,5076
2015-10-08,5076
2015-10-09,5076
2015-10-10,4921
2015-10-11,4921
2015-10-12,4921
2015-10-13,4921
2015-10-14,4921
2015-10-15,4921
2015-10-16,4921
2015-10-17,4921
2015-10-18,4921
2015-10-19,4877
2015-10-20,4877
2015-10-22,4877
2015-10-23,4877
2015-10-24,4877
2015-10-25,4877
2015-10-26,4877
2015-10-27,4860
2015-10-28,4860
2015-10-29,4860
2015-10-30,4860
2015-10-31,4860
2015-11-01,4860
2015-11-02,4860
2015-11-03,4860
2015-11-04,4860
2015-11-05,4855
2015-11-06,4855
2015-11-07,4855
2015-11-08,4855
2015-11-09,4855
2015-11-10,4855
2015-11-11,4855
2015-11-12,4855
2015-11-13,4855
2015-11-14,4855
2015-11-15,4786
2015-11-16,4786
2015-11-17,4786
2015-11-18,4786
2015-11-19,4786
2015-11-20,4786
2015-11-21,4786
2015-11-22,4786
2015-11-23,4786
2015-11-24,4836
2015-11-25,4836
2015-11-26,4836
2015-11-27,4836
2015-11-28,4836
2015-11-29,4836
2015-11-30,4838
2015-12-01,4838
2015-12-02,4838
2015-12-03,4838
2015-12-04,4838
2015-12-05,4838
2015-12-06,4838
2015-12-07,4838
2015-12-08,4838
2015-12-09,4951
2015-12-10,4951
2015-12-11,4951
2015-12-12,4951
2015-12-13,4951
2015-12-14,4951
2015-12-15,4951
2015-12-16,5003
2015-12-17,5003
2015-12-18,5003
2015-12-19,5003
2015-12-20,5003
2015-12-21,5003
2015-12-22,5003
2015-12-23,4981
2015-12-24,4981
2015-12-25,4981
2015-12-26,4981
2015-12-27,4981
2015-12-28,4981
2015-12-29,4981
2015-12-30,4817
2015-12-31,4817
2016-01-01,4817
2016-01-02,4817
2016-01-03,4817
2016-01-04,4817
2016-01-05,4817
2016-01-06,4583
2016-01-07,4583
2016-01-08,4583
2016-01-09,4583
2016-01-10,4583
2016-01-11,4583
2016-01-12,4583
2016-01-13,4547
2016-01-14,4547
2016-01-15,4547
2016-01-16,4547
2016-01-17,4547
2016-01-18,4547
2016-01-19,4547
2016-01-20,4610
2016-01-21,4610
2016-01-22,4610
2016-01-23,4610
2016-01-24,4610
2016-01-25,4610
2016-01-26,4610
2016-01-27,4610
2016-01-28,4725
2016-01-29,4725
2016-01-30,4725
2016-01-31,4725
2016-02-01,4725
2016-02-02,4725
2016-02-03,4725
2016-02-04,4814
2016-02-05,4814
2016-02-06,4814
2016-02-07,4814
2016-02-08,4814
2016-02-09,4814
2016-02-10,4814
2016-02-11,4814
2016-02-12,4814
