date_obj,Mole%20slippers price
2019-04-11,30000
2019-04-11,31500
2019-04-12,33075
2019-04-13,34729
2019-04-14,36466
2019-04-15,70000
2019-04-16,73473
2019-04-17,77147
2019-04-18,81005
2019-04-19,85056
2019-04-20,89309
2019-04-21,93775
2019-04-22,98464
2019-04-23,103388
2019-04-24,108287
2019-04-25,113702
2019-04-26,119388
2019-04-27,125091
2019-04-28,131346
2019-04-29,137914
2019-04-30,144810
2019-05-01,151203
2019-05-02,158117
2019-05-03,164310
2019-05-04,170089
2019-05-05,176904
2019-05-06,183691
2019-05-07,189884
2019-05-08,198709
2019-05-09,207064
2019-05-10,216433
2019-05-11,226105
2019-05-12,236617
2019-05-13,247693
2019-05-14,259850
2019-05-15,259850
2019-05-16,272441
2019-05-17,272441
2019-05-18,281850
2019-05-19,281850
2019-05-20,286125
2019-05-21,286125
2019-05-22,278280
2019-05-23,267092
2019-05-24,255491
2019-05-25,242716
2019-05-26,242716
2019-05-27,230580
2019-05-28,219051
2019-05-29,208098
2019-05-30,197693
2019-05-31,188705
2019-06-01,179317
2019-06-02,179317
2019-06-03,170585
2019-06-04,162775
2019-06-05,155533
2019-06-06,148963
2019-06-07,142331
2019-06-08,135850
2019-06-09,130373
2019-06-10,130373
2019-06-11,127677
2019-06-12,125236
2019-06-13,123792
2019-06-14,123620
2019-06-15,123620
2019-06-16,122553
2019-06-17,121687
2019-06-18,121687
2019-06-19,122625
2019-06-20,128344
2019-06-21,128344
2019-06-22,131195
2019-06-23,135170
2019-06-24,135170
2019-06-25,139260
2019-06-26,139260
2019-06-27,143518
2019-06-28,143518
2019-06-29,142597
2019-06-30,138583
2019-07-01,138583
2019-07-02,134480
2019-07-03,132784
2019-07-04,132784
2019-07-05,132822
2019-07-06,132822
2019-07-07,132558
2019-07-08,132863
2019-07-09,135255
2019-07-10,140018
2019-07-11,140018
2019-07-12,140839
2019-07-13,140839
2019-07-14,141443
2019-07-15,141443
2019-07-16,142638
2019-07-17,148880
2019-07-18,148880
2019-07-19,154239
2019-07-20,154239
2019-07-21,157536
2019-07-22,157635
2019-07-23,157635
2019-07-24,158209
2019-07-25,158209
2019-07-26,156519
2019-07-27,154516
2019-07-28,154516
2019-07-29,156494
2019-07-30,157831
2019-07-31,157831
2019-08-01,157592
2019-08-02,157592
2019-08-03,161294
2019-08-04,161294
2019-08-05,169340
2019-08-06,169340
2019-08-07,177807
2019-08-08,177807
2019-08-09,186206
2019-08-10,195517
2019-08-11,195517
2019-08-12,204904
2019-08-13,204904
2019-08-14,207339
2019-08-15,209724
2019-08-16,209332
2019-08-17,209332
