date_obj,Armadyl%20helmet price
2015-03-26,758561
2015-03-27,758561
2015-03-28,758561
2015-03-29,784373
2015-03-30,784373
2015-03-31,784373
2015-04-01,804691
2015-04-02,804691
2015-04-03,804691
2015-04-04,842317
2015-04-05,842317
2015-04-06,842317
2015-04-07,842376
2015-04-08,842376
2015-04-09,842376
2015-04-10,845553
2015-04-11,845553
2015-04-12,845553
2015-04-13,837148
2015-04-14,837148
2015-04-15,837148
2015-04-16,817341
2015-04-17,817341
2015-04-18,791272
2015-04-19,791272
2015-04-20,791272
2015-04-21,756599
2015-04-22,756599
2015-04-23,736896
2015-04-24,736896
2015-04-25,736896
2015-04-26,742128
2015-04-27,742128
2015-04-28,746207
2015-04-29,746207
2015-04-30,746207
2015-05-01,771944
2015-05-02,771944
2015-05-03,771944
2015-05-04,810427
2015-05-05,810427
2015-05-06,829234
2015-05-07,829234
2015-05-08,829234
2015-05-09,815947
2015-05-10,815947
2015-05-11,815947
2015-05-12,791340
2015-05-13,791340
2015-05-14,791340
2015-05-15,753153
2015-05-16,753153
2015-05-17,741221
2015-05-18,741221
2015-05-19,741221
2015-05-20,746173
2015-05-21,746173
2015-05-22,746173
2015-05-23,750973
2015-05-24,750973
2015-05-25,761306
2015-05-26,761306
2015-05-27,761306
2015-05-28,750133
2015-05-29,750133
2015-05-30,740565
2015-05-31,740565
2015-06-01,741089
2015-06-02,741089
2015-06-03,747978
2015-06-04,747978
2015-06-05,767849
2015-06-06,767849
2015-06-07,765908
2015-06-08,765908
2015-06-09,760847
2015-06-10,760847
2015-06-11,747736
2015-06-12,747736
2015-06-13,734117
2015-06-14,734117
2015-06-15,706116
2015-06-16,706116
2015-06-17,715907
2015-06-18,695301
2015-06-19,695301
2015-06-20,693020
2015-06-21,693020
2015-06-22,689350
2015-06-23,689350
2015-06-24,694462
2015-06-25,694462
2015-06-26,726416
2015-06-27,726416
2015-06-28,753572
2015-06-29,753572
2015-06-30,773616
2015-07-01,773616
2015-07-02,795263
2015-07-03,791016
2015-07-04,791016
2015-07-05,772369
2015-07-06,772369
2015-07-07,736769
2015-07-08,736769
2015-07-09,715628
2015-07-10,715628
2015-07-11,701509
2015-07-12,701509
2015-07-13,697028
2015-07-14,697028
2015-07-15,672088
2015-07-16,672088
2015-07-17,704705
2015-07-18,704705
2015-07-19,734987
2015-07-20,734987
2015-07-21,738572
2015-07-22,720619
2015-07-23,720619
2015-07-24,716594
2015-07-25,716594
2015-07-26,703359
2015-07-27,703359
2015-07-28,704552
2015-07-29,692810
2015-07-30,692810
2015-07-31,703164
2015-08-01,703164
2015-08-02,725112
2015-08-03,725112
2015-08-04,752513
2015-08-05,739636
2015-08-06,739636
2015-08-07,751953
2015-08-08,784259
2015-08-09,819680
2015-08-10,819680
2015-08-11,780188
2015-08-12,780188
2015-08-13,751087
2015-08-14,733866
2015-08-15,733866
2015-08-16,729606
