date_obj,Amulet%20of%20avarice price
2018-07-26,945000
2018-07-27,992250
2018-07-28,1041863
2018-07-29,1093957
2018-07-30,1148655
2018-07-31,1206088
2018-08-01,1264058
2018-08-02,1327261
2018-08-03,1391992
2018-08-04,1461592
2018-08-05,1518210
2018-08-06,1594121
2018-08-07,1673828
2018-08-08,1757520
2018-08-09,1836266
2018-08-10,1794084
2018-08-11,1738582
2018-08-12,1654135
2018-08-14,1492856
2018-08-16,1347302
2018-08-17,1280776
2018-08-18,1253016
2018-08-19,1244823
2018-08-20,1210879
2018-08-21,1158164
2018-08-22,1122416
2018-08-23,1097395
2018-08-24,1079036
2018-08-25,1041642
2018-08-26,990409
2018-08-27,942978
2018-08-28,895829
2018-08-29,851037
2018-08-30,808485
2018-08-31,768060
2018-09-01,731137
2018-09-02,713526
2018-09-03,728173
2018-09-04,703358
2018-09-05,706247
2018-09-06,706247
2018-09-07,720126
2018-09-08,700379
2018-09-09,682500
2018-09-10,662066
2018-09-11,662066
2018-09-12,628962
2018-09-13,597513
2018-09-14,567733
2018-09-15,539378
2018-09-16,514986
2018-09-17,489236
2018-09-18,464790
2018-09-19,446156
2018-09-20,432682
2018-09-21,414116
2018-09-22,406765
2018-09-23,398154
2018-09-24,386077
2018-09-25,368298
2018-09-26,350035
2018-09-27,333108
2018-09-28,317236
2018-09-29,309456
2018-09-30,308636
2018-10-02,312736
2018-10-03,323277
2018-10-04,328180
2018-10-05,338359
2018-10-06,354710
2018-10-07,362742
2018-10-08,370560
2018-10-09,368162
2018-10-10,359107
2018-10-11,365629
2018-10-12,383911
2018-10-13,403107
2018-10-14,423263
2018-10-15,444427
2018-10-16,466555
2018-10-17,486909
2018-10-18,490380
2018-10-19,501506
2018-10-20,501506
2018-10-21,512900
2018-10-22,537992
2018-10-23,562438
2018-10-24,589765
2018-10-25,609688
2018-10-26,636021
2018-10-27,667823
2018-10-28,684064
2018-10-29,665804
2018-10-30,642088
2018-10-31,656054
2018-11-01,662618
2018-11-03,629880
2018-11-04,607154
2018-11-05,581874
2018-11-06,553781
2018-11-07,526091
2018-11-08,499786
2018-11-09,478334
2018-11-10,463605
2018-11-11,458062
2018-11-12,449554
2018-11-13,446077
2018-11-14,433248
2018-11-15,431730
2018-11-16,419210
2018-11-17,414960
2018-11-18,419215
2018-11-19,427129
2018-11-20,429695
2018-11-21,446238
2018-11-22,433556
2018-11-23,425628
2018-11-24,431600
2018-11-25,432467
2018-11-26,440009
2018-11-27,447711
2018-11-28,451237
2018-11-29,437940
2018-12-01,449142
2018-12-02,461237
2018-12-03,461764
2018-12-04,459564
2018-12-05,468824
2018-12-07,491820
2018-12-09,514173
2018-12-10,497000
2018-12-11,472150
2018-12-12,459399
2018-12-13,468574
2018-12-14,463243
2018-12-15,469781
2018-12-16,467981
2018-12-17,447336
2018-12-18,435200
2018-12-19,434429
2018-12-20,436448
2018-12-21,430931
2018-12-22,435407
2018-12-23,419306
2018-12-24,401740
2018-12-25,392511
2018-12-26,395617
2018-12-27,382734
2018-12-28,367879
2018-12-29,361909
2018-12-30,360432
2018-12-31,359727
2019-01-01,362009
2019-01-02,351469
2019-01-03,335502
2019-01-04,328709
2019-01-05,324315
2019-01-06,316745
2019-01-08,318417
2019-01-10,290235
2019-01-11,275830
2019-01-12,264470
2019-01-13,253264
2019-01-14,241485
2019-01-15,229410
2019-01-16,219575
2019-01-17,217468
2019-01-18,213858
2019-01-19,215547
2019-01-20,219575
2019-01-21,219677
2019-01-22,225812
2019-01-23,232359
2019-01-24,243859
2019-01-25,255121
2019-01-26,266137
2019-01-27,264155
2019-01-28,264966
2019-01-29,260949
2019-01-30,252337
2019-01-31,244668
2019-02-01,237953
2019-02-02,233595
2019-02-03,235709
2019-02-04,232617
2019-02-05,225743
2019-02-06,225880
2019-02-07,226159
2019-02-08,227193
2019-02-09,232196
2019-02-10,235278
2019-02-11,233897
2019-02-12,232811
2019-02-13,229889
2019-02-14,225164
2019-02-15,214660
2019-02-16,204647
2019-02-17,194414
2019-02-18,184747
2019-02-19,175873
2019-02-20,170910
2019-02-21,166394
2019-02-22,164995
2019-02-23,170724
2019-02-24,179041
2019-02-25,185135
2019-02-26,189557
2019-02-27,190168
2019-02-28,183064
2019-03-01,181038
2019-03-02,183276
2019-03-03,181184
2019-03-04,181713
2019-03-05,177958
2019-03-06,175966
2019-03-07,171116
2019-03-08,167840
2019-03-09,164159
2019-03-10,164156
2019-03-11,163807
2019-03-12,162023
2019-03-13,162540
2019-03-14,167068
2019-03-15,170593
2019-03-16,178228
2019-03-17,184941
2019-03-18,190725
2019-03-19,195346
2019-03-20,189661
2019-03-21,189830
2019-03-22,185570
2019-03-23,179832
2019-03-24,176881
2019-03-25,179424
2019-03-26,185296
2019-03-27,189231
2019-03-28,193152
2019-03-29,191846
2019-03-30,193389
2019-03-31,194509
2019-04-01,195948
2019-04-02,194786
2019-04-03,195716
2019-04-04,191804
2019-04-05,185421
2019-04-06,184082
2019-04-07,179586
2019-04-08,175430
2019-04-09,171021
2019-04-10,165689
2019-04-11,167571
2019-04-12,166878
2019-04-13,165494
2019-04-14,161657
2019-04-15,161266
2019-04-16,163301
2019-04-17,161086
2019-04-18,161011
2019-04-19,154919
2019-04-20,150041
2019-04-21,143722
2019-04-22,137367
2019-04-23,131991
2019-04-24,127923
2019-04-25,126067
2019-04-26,124226
