date_obj,Bandos%20page%202 price
2015-03-26,20260
2015-03-27,20260
2015-03-28,19379
2015-03-29,19379
2015-03-30,18497
2015-03-31,18497
2015-04-01,17657
2015-04-02,17657
2015-04-03,16847
2015-04-04,16847
2015-04-05,16099
2015-04-06,16099
2015-04-07,15371
2015-04-08,15371
2015-04-09,14716
2015-04-10,14716
2015-04-11,13980
2015-04-12,13980
2015-04-13,13349
2015-04-14,13349
2015-04-15,12747
2015-04-16,12747
2015-04-17,12160
2015-04-18,12160
2015-04-19,11603
2015-04-20,11603
2015-04-21,11079
2015-04-22,11079
2015-04-23,10586
2015-04-24,10586
2015-04-25,10117
2015-04-26,10117
2015-04-27,9669
2015-04-28,9669
2015-04-29,9235
2015-04-30,9235
2015-05-01,8780
2015-05-02,8780
2015-05-03,8386
2015-05-04,8386
2015-05-05,7993
2015-05-06,7993
2015-05-07,7596
2015-05-08,7596
2015-05-09,7248
2015-05-10,7248
2015-05-11,7248
2015-05-12,6964
2015-05-13,6964
2015-05-14,6702
2015-05-15,6702
2015-05-16,6702
2015-05-17,6400
2015-05-18,6400
2015-05-19,6129
2015-05-20,6129
2015-05-21,6129
2015-05-22,5888
2015-05-23,5888
2015-05-24,5888
2015-05-25,5735
2015-05-26,5735
2015-05-27,5735
2015-05-28,5500
2015-05-29,5500
2015-05-30,5339
2015-05-31,5339
2015-06-01,5411
2015-06-02,5411
2015-06-03,5562
2015-06-04,5562
2015-06-05,5676
2015-06-06,5676
2015-06-07,5557
2015-06-08,5557
2015-06-09,5325
2015-06-10,5325
2015-06-11,5080
2015-06-12,5080
2015-06-13,4844
2015-06-14,4844
2015-06-15,4624
2015-06-16,4624
2015-06-17,4401
2015-06-18,4401
2015-06-19,4223
2015-06-20,4223
2015-06-21,4067
2015-06-22,4067
2015-06-23,3895
2015-06-24,3895
2015-06-25,3725
2015-06-26,3725
2015-06-27,3562
2015-06-28,3562
2015-06-29,3440
2015-06-30,3440
2015-07-01,3279
2015-07-02,3279
2015-07-03,3134
2015-07-04,3134
2015-07-05,3001
2015-07-06,3001
2015-07-07,2945
2015-07-08,2945
2015-07-09,2945
2015-07-10,2886
2015-07-11,2886
2015-07-12,2886
2015-07-13,2756
2015-07-14,2756
2015-07-15,2771
2015-07-16,2771
2015-07-17,2782
2015-07-18,2782
2015-07-19,2756
2015-07-20,2756
2015-07-21,2678
2015-07-22,2678
2015-07-23,2588
2015-07-24,2588
2015-07-25,2489
2015-07-26,2489
2015-07-27,2373
2015-07-28,2373
2015-07-29,2298
2015-07-30,2298
2015-07-31,2298
2015-08-01,2319
2015-08-02,2319
2015-08-03,2375
2015-08-04,2375
2015-08-05,2494
2015-08-06,2494
2015-08-07,2538
2015-08-08,2538
2015-08-09,2633
2015-08-10,2633
2015-08-11,2716
2015-08-12,2716
2015-08-13,2716
2015-08-14,2781
2015-08-15,2781
2015-08-16,2781
2015-08-17,2887
2015-08-18,2887
2015-08-19,3018
2015-08-20,3018
2015-08-21,3100
2015-08-22,3100
2015-08-23,3221
2015-08-24,3221
2015-08-25,3221
2015-08-26,3367
2015-08-27,3367
2015-08-28,3531
2015-08-29,3531
2015-08-30,3659
2015-08-31,3659
2015-09-01,3823
2015-09-02,3823
2015-09-03,3823
2015-09-04,4011
2015-09-05,4011
2015-09-06,4011
2015-09-07,4212
2015-09-08,4212
2015-09-09,4423
2015-09-10,4423
2015-09-11,4645
2015-09-12,4645
2015-09-13,4878
2015-09-14,4878
2015-09-15,5122
2015-09-16,5122
2015-09-17,5379
2015-09-18,5379
2015-09-19,5583
2015-09-20,5583
2015-09-21,5583
2015-09-22,5616
2015-09-23,5616
2015-09-24,5348
2015-09-25,5348
2015-09-27,5100
2015-09-28,4869
2015-09-29,4869
2015-09-30,4644
2015-10-05,4210
2015-10-06,4070
2015-10-07,4070
2015-10-08,4070
2015-10-09,3887
2015-10-10,3887
2015-10-11,3725
2015-10-12,3725
2015-10-13,3725
2015-10-14,3590
2015-10-15,3590
2015-10-16,3438
2015-10-17,3438
2015-10-18,3438
2015-10-19,3274
2015-10-20,3274
2015-10-22,3127
2015-10-23,2989
2015-10-24,2989
2015-10-25,2839
2015-10-26,2839
2015-10-27,2708
2015-10-28,2708
2015-10-29,2573
2015-10-30,2573
2015-10-31,2571
2015-11-01,2571
2015-11-02,2571
2015-11-03,2558
2015-11-04,2558
2015-11-05,2558
2015-11-06,2511
2015-11-07,2511
2015-11-08,2511
2015-11-09,2449
2015-11-10,2449
2015-11-11,2410
2015-11-12,2410
2015-11-13,2410
2015-11-14,2408
2015-11-15,2408
2015-11-16,2386
2015-11-17,2386
2015-11-18,2386
2015-11-19,2429
2015-11-20,2429
2015-11-21,2429
2015-11-22,2512
2015-11-23,2512
2015-11-24,2512
2015-11-25,2480
2015-11-26,2480
2015-11-27,2480
2015-11-28,2516
2015-11-29,2516
2015-11-30,2632
2015-12-01,2632
2015-12-02,2632
2015-12-03,2725
2015-12-04,2725
2015-12-05,2725
2015-12-06,2803
2015-12-07,2803
2015-12-08,2803
2015-12-09,2790
2015-12-10,2790
2015-12-11,2790
2015-12-12,2833
2015-12-13,2833
2015-12-14,2833
2015-12-15,2973
2015-12-16,2973
2015-12-17,2973
2015-12-18,3045
2015-12-19,3045
2015-12-20,3160
2015-12-21,3160
2015-12-22,3239
2015-12-23,3239
2015-12-24,3239
2015-12-25,3259
2015-12-26,3259
2015-12-27,3260
2015-12-28,3260
2015-12-29,3158
2015-12-30,3158
2015-12-31,3148
2016-01-01,3148
2016-01-02,3148
2016-01-03,3106
2016-01-04,3106
2016-01-05,3161
2016-01-06,3161
2016-01-07,3219
2016-01-08,3219
2016-01-09,3219
2016-01-10,3219
2016-01-11,3220
2016-01-12,3220
2016-01-13,3300
2016-01-14,3300
2016-01-15,3430
2016-01-16,3430
2016-01-17,3518
2016-01-18,3518
2016-01-19,3599
2016-01-20,3599
2016-01-21,3755
2016-01-22,3755
2016-01-23,3890
2016-01-24,3890
2016-01-25,4010
2016-01-26,4010
2016-01-27,4178
2016-01-28,4178
2016-01-29,4295
2016-01-30,4295
2016-01-31,4329
2016-02-01,4329
2016-02-02,4367
2016-02-03,4367
2016-02-04,4395
2016-02-05,4395
2016-02-06,4332
2016-02-07,4332
2016-02-08,4361
2016-02-09,4361
2016-02-10,4454
2016-02-11,4454
2016-02-12,4454
2016-02-13,4407
2016-02-14,4407
2016-02-15,4315
