date_obj,Fremennik%20brown%20cloak price
2015-03-04,10000
2015-03-05,10000
2015-03-06,10000
2015-03-07,10000
2015-03-08,10000
2015-03-09,10000
2015-03-10,10000
2015-03-11,10000
2015-03-12,10000
2015-03-13,10000
2015-03-14,10000
2015-03-15,10000
2015-03-16,10000
2015-03-17,10000
2015-03-18,10000
2015-03-19,10000
2015-03-20,10000
2015-03-21,10000
2015-03-22,9533
2015-03-23,9533
2015-03-24,9533
2015-03-25,9533
2015-03-26,9533
2015-03-27,9533
2015-03-28,9533
2015-03-29,9533
2015-03-30,9533
2015-03-31,9533
2015-04-01,9533
2015-04-02,9533
2015-04-03,9533
2015-04-04,9533
2015-04-05,9533
2015-04-06,9533
2015-04-07,9533
2015-04-08,9533
2015-04-09,9533
2015-04-10,9533
2015-04-11,9533
2015-04-12,9533
2015-04-13,9533
2015-04-14,9533
2015-04-15,9075
2015-04-16,9075
2015-04-17,9075
2015-04-18,9075
2015-04-19,9075
2015-04-20,9075
2015-04-21,9075
2015-04-22,9075
2015-04-23,9075
2015-04-24,9075
2015-04-25,9075
2015-04-26,9075
2015-04-27,9075
2015-04-28,9075
2015-04-29,9075
2015-04-30,9075
2015-05-01,9075
2015-05-02,9075
2015-05-03,9075
2015-05-04,9075
2015-05-05,9075
2015-05-06,9075
2015-05-07,8632
2015-05-08,8632
2015-05-09,8632
2015-05-10,8632
2015-05-11,8632
2015-05-12,8632
2015-05-13,8632
2015-05-14,8632
2015-05-15,8632
2015-05-16,8632
2015-05-17,8632
2015-05-18,8632
2015-05-19,8632
2015-05-20,8632
2015-05-21,8632
2015-05-22,8632
2015-05-23,8632
2015-05-24,8632
2015-05-25,8632
2015-05-26,8632
2015-05-27,8632
2015-05-28,8210
2015-05-29,8210
2015-05-30,8210
2015-05-31,8210
2015-06-01,8210
2015-06-02,8210
2015-06-03,8210
2015-06-04,8210
2015-06-05,8210
2015-06-06,8210
2015-06-07,8210
2015-06-08,8210
2015-06-09,8210
2015-06-10,8210
2015-06-11,7834
2015-06-12,7834
2015-06-13,7834
2015-06-14,7834
2015-06-15,7834
2015-06-16,7834
2015-06-17,7834
2015-06-18,7834
2015-06-19,7834
2015-06-20,7834
2015-06-21,7834
2015-06-22,7834
2015-06-23,7834
2015-06-24,7469
2015-06-25,7469
2015-06-26,7469
2015-06-27,7469
2015-06-28,7469
2015-06-29,7469
2015-06-30,7469
2015-07-01,7469
2015-07-02,7469
2015-07-03,7469
2015-07-04,7469
2015-07-05,7469
2015-07-06,7469
2015-07-07,7469
2015-07-08,7130
2015-07-09,7130
2015-07-10,7130
2015-07-11,7130
2015-07-12,7130
2015-07-13,7130
2015-07-14,7130
2015-07-15,7130
2015-07-16,7130
2015-07-17,7130
2015-07-18,7130
2015-07-19,7130
2015-07-20,7130
2015-07-21,6799
2015-07-22,6799
2015-07-23,6799
2015-07-24,6799
2015-07-25,6799
2015-07-26,6799
2015-07-27,6799
2015-07-28,6799
2015-07-29,6799
2015-07-30,6799
2015-07-31,6799
2015-08-01,6479
2015-08-02,6479
2015-08-03,6479
2015-08-04,6479
2015-08-05,6479
2015-08-06,6479
2015-08-07,6479
2015-08-08,6479
2015-08-09,6479
2015-08-10,6479
2015-08-11,6158
2015-08-12,6158
2015-08-13,6158
2015-08-14,6158
2015-08-15,6158
2015-08-16,6158
2015-08-17,6158
2015-08-18,6158
2015-08-19,6158
2015-08-20,6158
2015-08-21,6158
2015-08-22,5860
2015-08-23,5860
2015-08-24,5860
2015-08-25,5860
2015-08-26,5860
2015-08-27,5860
2015-08-28,5860
2015-08-29,5860
2015-08-30,5860
2015-08-31,5860
2015-09-02,5579
2015-09-07,5579
2015-09-08,5579
2015-09-10,5579
2015-09-14,5305
2015-09-16,5305
2015-09-22,5305
2015-09-23,5047
2015-09-24,5047
2015-09-25,5047
2015-09-27,5047
2015-09-28,5047
2015-09-29,5047
2015-09-30,5047
2015-10-05,4801
2015-10-06,4801
2015-10-07,4801
2015-10-08,4801
2015-10-09,4801
2015-10-10,4801
2015-10-11,4801
2015-10-12,4801
2015-10-13,4569
2015-10-14,4569
2015-10-15,4569
2015-10-16,4569
2015-10-17,4569
2015-10-18,4569
2015-10-19,4569
2015-10-20,4569
2015-10-22,4569
2015-10-23,4569
2015-10-24,4347
2015-10-25,4347
2015-10-26,4347
2015-10-27,4347
2015-10-29,4347
2015-10-30,4347
2015-10-31,4347
2015-11-01,4347
2015-11-02,4347
2015-11-03,4347
2015-11-04,4347
2015-11-05,4149
2015-11-06,4149
2015-11-07,4149
2015-11-08,4149
