date_obj,Flattened%20hide price
2016-05-06,18736
2016-05-07,18736
2016-05-08,18736
2016-05-09,18736
2016-05-10,18736
2016-05-11,18736
2016-05-12,18736
2016-05-13,18736
2016-05-14,18736
2016-05-15,18736
2016-05-16,18736
2016-05-17,18736
2016-05-18,18736
2016-05-19,18736
2016-05-22,18736
2016-05-23,18736
2016-05-24,18736
2016-05-25,18736
2016-05-26,18736
2016-05-27,18736
2016-05-28,18736
2016-05-29,18736
2016-05-30,18736
2016-05-31,18736
2016-06-01,18736
2016-06-02,18736
2016-06-03,18736
2016-06-04,18736
2016-06-05,18736
2016-06-06,18736
2016-06-07,18736
2016-06-08,18736
2016-06-09,18736
2016-06-10,18736
2016-06-11,18736
2016-06-12,18736
2016-06-13,18736
2016-06-14,18736
2016-06-15,18736
2016-06-16,18736
2016-06-17,18736
2016-06-18,18736
2016-06-19,18736
2016-06-20,18736
2016-06-21,18736
2016-06-22,18736
2016-06-23,18736
2016-06-24,18736
2016-06-25,18736
2016-06-26,18736
2016-06-27,18736
2016-06-28,18736
2016-06-29,18736
2016-06-30,18736
2016-07-01,18736
2016-07-02,18736
2016-07-03,18736
2016-07-04,18736
2016-07-05,18736
2016-07-06,18736
2016-07-07,18736
2016-07-08,18736
2016-07-09,18736
2016-07-10,18736
2016-07-11,18736
2016-07-12,18736
2016-07-13,18736
2016-07-14,18736
2016-07-15,18736
2016-07-16,18736
2016-07-17,18736
2016-07-18,18736
2016-07-23,18736
2016-07-24,18736
2016-07-25,18736
2016-07-26,18736
2016-07-27,18736
2016-07-28,18736
2016-07-29,18736
2016-07-30,18736
2016-07-31,18736
2016-08-01,18736
2016-08-02,18736
2016-08-03,18736
2016-08-04,18736
2016-08-05,18736
2016-08-06,18736
2016-08-07,18736
2016-08-08,18736
2016-08-09,18736
2016-08-10,18736
2016-08-11,18736
2016-08-12,18736
2016-08-13,18736
2016-08-14,18736
2016-08-15,18736
2016-08-16,18736
2016-08-17,18736
2016-08-18,18736
2016-08-19,18736
2016-08-20,18736
2016-08-21,18736
2016-08-22,18736
2016-08-23,18736
2016-08-24,18736
2016-08-25,18736
2016-08-26,18736
2016-08-28,18736
2016-08-31,18736
2016-09-01,18736
2016-09-02,18736
2016-09-03,18736
2016-09-04,18736
2016-09-05,18736
2016-09-06,18736
2016-09-07,18736
2016-09-08,18736
2016-09-09,18736
2016-09-10,18736
2016-09-11,18736
2016-09-12,18736
2016-09-13,18736
2016-09-14,18736
2016-09-15,18736
2016-09-16,18736
2016-09-17,18736
2016-09-18,18736
2016-09-19,18736
2016-09-20,18736
2016-09-21,18736
2016-09-22,18736
2016-09-23,18736
2016-09-24,18736
2016-09-25,18736
2016-09-26,18736
2016-09-27,18736
2016-09-28,18736
2016-09-29,18736
2016-09-30,18736
2016-10-01,18736
2016-10-02,18736
2016-10-03,18736
2016-10-04,18736
2016-10-05,18736
2016-10-06,18736
2016-10-07,18736
2016-10-08,18736
2016-10-09,18736
2016-10-10,18736
2016-10-11,18736
2016-10-12,18736
2016-10-13,18736
2016-10-14,18736
2016-10-15,18736
2016-10-16,18736
2016-10-17,18736
2016-10-18,18736
2016-10-19,18736
2016-10-20,18736
2016-10-21,18736
2016-10-22,18736
2016-10-23,18736
2016-10-24,18736
2016-10-25,18736
2016-10-26,18736
2016-10-27,18736
2016-10-28,18736
2016-10-29,18736
2016-10-30,18736
2016-10-31,18736
2016-11-01,18736
2016-11-02,18736
2016-11-03,18736
2016-11-04,18736
2016-11-05,18736
2016-11-06,18736
2016-11-07,18736
2016-11-08,18736
2016-11-09,18736
2016-11-10,18736
2016-11-11,18736
2016-11-12,18736
2016-11-13,18736
2016-11-14,18736
2016-11-15,18736
2016-12-07,18736
2016-12-08,18736
2016-12-09,18736
2016-12-10,18736
2016-12-11,18736
2016-12-12,18736
2016-12-13,18736
2016-12-14,18736
2016-12-15,18736
2016-12-16,18736
2016-12-17,18736
2016-12-18,18736
2016-12-19,18736
2016-12-20,18736
2016-12-21,18736
2016-12-22,18736
2016-12-23,18736
2016-12-24,18736
2016-12-25,18736
2016-12-26,18736
2016-12-27,18736
2016-12-28,18736
2016-12-29,18736
2016-12-30,18736
2016-12-31,18736
2017-01-01,18736
2017-01-02,18736
2017-01-03,18736
2017-01-04,18736
2017-01-05,18736
2017-01-06,18736
2017-01-07,18736
2017-01-08,18736
2017-01-09,18736
2017-01-10,18736
2017-01-11,18736
2017-01-12,18736
2017-01-13,18736
2017-01-14,18736
2017-01-15,18736
2017-01-16,18736
2017-01-17,18736
2017-01-18,18736
2017-01-19,18736
2017-01-20,18736
2017-01-21,18736
2017-01-22,18736
2017-01-23,18736
2017-01-27,18736
2017-01-28,18736
2017-01-29,18736
2017-01-30,18736
2017-01-31,18736
2017-02-01,18736
2017-02-02,17824
2017-02-03,17824
2017-02-04,17824
2017-02-05,17824
2017-02-06,17824
2017-02-07,17824
2017-02-08,17824
2017-02-09,17824
