date_obj,Blue%20dark%20bow%20paint price
2015-03-26,210000
2015-03-27,210000
2015-03-28,203435
2015-03-29,203435
2015-03-30,203435
2015-03-31,203435
2015-04-01,203435
2015-04-02,203435
2015-04-03,203435
2015-04-04,203435
2015-04-05,203435
2015-04-06,203435
2015-04-07,203435
2015-04-08,203435
2015-04-09,203435
2015-04-10,203435
2015-04-11,203435
2015-04-12,203435
2015-04-13,203435
2015-04-14,203435
2015-04-15,203435
2015-04-16,203435
2015-04-17,203435
2015-04-18,203435
2015-04-19,203435
2015-04-20,203435
2015-04-21,203435
2015-04-22,203435
2015-04-23,203435
2015-04-24,194768
2015-04-25,194768
2015-04-26,194768
2015-04-27,194768
2015-04-28,194768
2015-04-29,194768
2015-04-30,194768
2015-05-01,194768
2015-05-02,194768
2015-05-03,194768
2015-05-04,194768
2015-05-05,194768
2015-05-06,194768
2015-05-07,194768
2015-05-08,194768
2015-05-09,194768
2015-05-10,194768
2015-05-11,194768
2015-05-12,194768
2015-05-13,194768
2015-05-14,194768
2015-05-15,194768
2015-05-16,194768
2015-05-17,194768
2015-05-18,194768
2015-05-19,194768
2015-05-20,194768
2015-05-21,194768
2015-05-22,188589
2015-05-23,188589
2015-05-24,188589
2015-05-25,188589
2015-05-26,188589
2015-05-27,188589
2015-05-28,188589
2015-05-29,188589
2015-05-30,188589
2015-05-31,188589
2015-06-01,188589
2015-06-02,188589
2015-06-03,188589
2015-06-04,188589
2015-06-05,188589
2015-06-06,184411
2015-06-07,184411
2015-06-08,184411
2015-06-09,184411
2015-06-10,184411
2015-06-11,184411
2015-06-12,184411
2015-06-13,184411
2015-06-14,184411
2015-06-15,184411
2015-06-16,184411
2015-06-17,184411
2015-06-18,184411
2015-06-19,184411
2015-06-20,177237
2015-06-21,177237
2015-06-22,177237
2015-06-23,177237
2015-06-24,177237
2015-06-25,177237
2015-06-26,177237
2015-06-27,177237
2015-06-28,177237
2015-06-29,177237
2015-06-30,177237
2015-07-01,177237
2015-07-02,177237
2015-07-03,177237
2015-07-04,169422
2015-07-05,169422
