date_obj,Old%20demon%20mask price
2016-07-06,5168352
2016-07-07,5168352
2016-07-08,5168352
2016-07-09,5168352
2016-07-10,5157247
2016-07-11,5157247
2016-07-12,5157247
2016-07-13,5157247
2016-07-14,5157247
2016-07-15,5157247
2016-07-16,5157247
2016-07-17,4901658
2016-07-18,4901658
2016-07-23,4901658
2016-07-24,4656575
2016-07-25,4656575
2016-07-26,4656575
2016-07-27,4656575
2016-07-28,4656575
2016-07-29,4656575
2016-07-30,4656575
2016-07-31,4656575
2016-08-01,4424369
2016-08-02,4424369
2016-08-03,4424369
2016-08-04,4424369
2016-08-05,4424369
2016-08-06,4424369
2016-08-07,4424369
2016-08-08,4424369
2016-08-09,4208276
2016-08-10,4208276
2016-08-11,4208276
2016-08-12,4208276
2016-08-13,4208276
2016-08-14,4208276
2016-08-15,4208276
2016-08-16,4208276
2016-08-17,4208276
2016-08-18,4000059
2016-08-19,4000059
2016-08-20,4000059
2016-08-21,4000059
2016-08-22,4000059
2016-08-23,4000059
2016-08-24,4000059
2016-08-25,4000059
2016-08-26,4000059
2016-08-28,3801956
2016-08-31,3801956
2016-09-01,3801956
2016-09-02,3801956
2016-09-03,3801956
2016-09-04,3801956
2016-09-05,3801956
2016-09-06,3614123
2016-09-07,3614123
2016-09-08,3614123
2016-09-09,3614123
2016-09-10,3614123
2016-09-11,3614123
2016-09-12,3614123
2016-09-13,3614123
2016-09-14,3614123
2016-09-15,3434451
2016-09-16,3434451
2016-09-17,3434451
2016-09-18,3434451
2016-09-19,3434451
2016-09-20,3434451
2016-09-21,3434451
2016-09-22,3434451
2016-09-23,3434451
2016-09-24,3434451
2016-09-25,3266431
2016-09-26,3266431
2016-09-27,3266431
2016-09-28,3266431
2016-09-29,3266431
2016-09-30,3266431
2016-10-01,3266431
2016-10-02,3266431
2016-10-03,3266431
2016-10-04,3266431
2016-10-05,3106176
2016-10-06,3106176
2016-10-07,3106176
2016-10-08,3106176
2016-10-09,3106176
2016-10-10,3106176
2016-10-11,3106176
2016-10-12,3106176
2016-10-13,3106176
2016-10-14,2952081
2016-10-15,2952081
2016-10-16,2952081
2016-10-17,2952081
2016-10-18,2952081
2016-10-19,2952081
2016-10-20,2952081
2016-10-21,2952081
2016-10-22,2952081
2016-10-23,2807563
2016-10-24,2807563
2016-10-25,2807563
2016-10-26,2807563
2016-10-27,2807563
2016-10-28,2807563
2016-10-29,2807563
2016-10-30,2807563
2016-10-31,2807563
2016-11-01,2668613
2016-11-02,2668613
2016-11-03,2668613
2016-11-04,2668613
2016-11-05,2668613
2016-11-06,2668613
2016-11-07,2668613
2016-11-08,2668613
2016-11-09,2668613
2016-11-10,2668613
2016-11-11,2668613
2016-11-12,2668613
2016-11-13,2537565
2016-11-14,2537565
2016-12-07,2295597
2016-12-08,2295597
2016-12-09,2295597
2016-12-10,2295597
2016-12-11,2295597
2016-12-12,2295597
2016-12-13,2295597
2016-12-14,2182569
2016-12-15,2182569
