date_obj,Monk's%20robe%20top%20(t) price
2019-04-11,200000
2019-04-11,210000
2019-04-12,220500
2019-04-13,231525
2019-04-14,243102
2019-04-15,400000
2019-04-16,400000
2019-04-17,380450
2019-04-18,361639
2019-04-19,343557
2019-04-20,326379
2019-04-21,310060
2019-04-22,294557
2019-04-23,279829
2019-04-24,265837
2019-04-25,252545
2019-04-26,239917
2019-04-27,227921
2019-04-28,216524
2019-04-29,205697
2019-04-30,195412
2019-05-01,185641
2019-05-02,176358
2019-05-03,167540
2019-05-04,159163
2019-05-05,151204
2019-05-06,143643
2019-05-07,136460
2019-05-08,129637
2019-05-09,123155
2019-05-10,117004
2019-05-11,111575
2019-05-12,106695
2019-05-13,102090
2019-05-14,97752
2019-05-15,94365
2019-05-16,91437
2019-05-17,90078
2019-05-18,88226
2019-05-19,87212
2019-05-20,86524
2019-05-21,87460
2019-05-22,89260
2019-05-23,91278
2019-05-24,91644
2019-05-25,90467
2019-05-26,87117
2019-05-27,86480
2019-05-28,85967
2019-05-29,84168
2019-05-30,82848
2019-05-31,82557
2019-06-01,85553
2019-06-02,86614
2019-06-03,85635
2019-06-04,86019
2019-06-05,87336
2019-06-06,88870
2019-06-07,90903
2019-06-08,95386
2019-06-09,97447
2019-06-10,97447
2019-06-11,99331
2019-06-12,102719
2019-06-13,104395
2019-06-14,103983
2019-06-15,106148
2019-06-16,106155
2019-06-17,102719
2019-06-18,98735
2019-06-19,97695
2019-06-20,97496
2019-06-21,97824
2019-06-22,98588
2019-06-23,96446
2019-06-24,95889
2019-06-25,95023
2019-06-26,96455
2019-06-27,95639
2019-06-28,96026
2019-06-29,96092
2019-06-30,93992
2019-07-01,91309
2019-07-02,88630
2019-07-03,87956
2019-07-04,87110
2019-07-05,86134
2019-07-06,85683
2019-07-07,84847
2019-07-08,83159
2019-07-09,81277
2019-07-10,81439
2019-07-11,79204
2019-07-12,77284
2019-07-13,77589
2019-07-14,76853
2019-07-15,78536
2019-07-16,81987
2019-07-17,83862
2019-07-18,85754
2019-07-19,86238
2019-07-20,87928
2019-07-21,89545
2019-07-22,90906
2019-07-23,93279
2019-07-24,95354
2019-07-25,94063
2019-07-26,95484
2019-07-27,95366
2019-07-28,94670
2019-07-29,92121
2019-07-30,91390
2019-07-31,90446
2019-08-01,88645
2019-08-02,87916
2019-08-03,86467
2019-08-04,84613
2019-08-05,83635
2019-08-06,83187
2019-08-07,84484
2019-08-08,82940
2019-08-09,82574
2019-08-10,82777
2019-08-11,82147
2019-08-12,81529
2019-08-13,78534
2019-08-14,77967
2019-08-15,78339
2019-08-16,76857
2019-08-17,76857
2019-08-18,77407
2019-08-19,75722
2019-08-20,74493
2019-08-21,72911
2019-08-22,71122
2019-08-23,70915
2019-08-24,69987
2019-08-24,69987
2019-08-25,70589
2019-08-25,70589
2019-08-26,69221
2019-08-26,69221
2019-08-27,69203
2019-08-27,69203
2019-08-28,68757
2019-08-29,69259
2019-08-30,70707
2019-08-31,70722
