date_obj,Kyatt%20hat price
2015-03-26,52000
2015-03-27,52000
2015-03-28,52000
2015-03-29,52000
2015-03-30,52000
2015-03-31,52000
2015-04-01,52000
2015-04-02,49471
2015-04-03,49471
2015-04-04,49471
2015-04-05,49471
2015-04-06,49471
2015-04-07,49471
2015-04-08,49471
2015-04-09,49471
2015-04-10,49471
2015-04-11,49471
2015-04-12,49471
2015-04-13,49471
2015-04-14,49471
2015-04-15,49471
2015-04-16,49471
2015-04-17,49471
2015-04-18,49471
2015-04-19,49471
2015-04-20,49471
2015-04-21,49471
2015-04-22,49471
2015-04-23,49471
2015-04-24,49471
2015-04-25,49471
2015-04-26,49471
2015-04-27,49471
2015-04-28,49471
2015-04-29,49471
2015-04-30,49471
2015-05-01,49471
2015-05-02,49471
2015-05-03,49471
2015-05-04,49471
2015-05-05,49471
2015-05-06,47028
2015-05-07,47028
2015-05-08,47028
2015-05-09,47028
2015-05-10,47028
2015-05-11,47028
2015-05-12,47028
2015-05-13,47028
2015-05-14,47028
2015-05-15,47028
2015-05-16,47028
2015-05-17,47028
2015-05-18,47028
2015-05-19,47028
2015-05-20,47028
2015-05-21,47028
2015-05-22,47028
2015-05-23,47028
2015-05-24,47028
2015-05-25,47028
2015-05-26,47028
2015-05-27,47028
2015-05-28,47028
2015-05-29,47028
2015-05-30,47028
2015-05-31,44766
2015-06-01,44766
2015-06-02,44766
2015-06-03,44766
2015-06-04,44766
2015-06-05,44766
2015-06-06,44766
2015-06-07,44766
2015-06-08,44766
2015-06-09,44766
2015-06-10,44766
2015-06-11,44766
2015-06-12,44766
2015-06-13,44766
2015-06-14,44766
2015-06-15,44766
2015-06-16,44766
2015-06-17,44766
2015-06-18,44766
2015-06-19,44766
2015-06-20,44766
2015-06-21,44766
2015-06-22,44766
2015-06-23,44766
2015-06-24,44766
2015-06-25,44766
2015-06-26,44766
2015-06-27,44766
2015-06-28,42590
2015-06-29,42590
2015-06-30,42590
2015-07-01,42590
2015-07-02,42590
2015-07-03,42590
2015-07-04,42590
2015-07-05,42590
2015-07-06,42590
2015-07-07,42590
2015-07-08,42590
2015-07-09,42590
2015-07-10,42590
2015-07-11,42590
2015-07-12,42590
2015-07-13,42590
2015-07-14,42590
2015-07-15,42590
2015-07-16,42590
2015-07-17,42590
2015-07-18,42590
2015-07-19,42590
2015-07-20,42590
2015-07-21,42590
2015-07-22,42590
2015-07-23,42590
2015-07-24,42590
2015-07-25,40484
2015-07-26,40484
2015-07-27,40484
2015-07-28,40484
2015-07-29,40484
2015-07-30,40484
2015-07-31,40484
2015-08-01,40484
2015-08-02,40484
