date_obj,Gloves%20of%20darkness price
2016-07-06,10000000
2016-07-07,10000000
2016-07-08,10000000
2016-07-09,10000000
2016-07-10,9502725
2016-07-11,9502725
2016-07-12,9502725
2016-07-13,9502725
2016-07-14,9502725
2016-07-15,9033595
2016-07-16,9033595
2016-07-17,9033595
2016-07-18,9033595
2016-07-23,8592303
2016-07-24,8592303
2016-07-25,8166628
2016-07-26,8166628
2016-07-27,8166628
2016-07-28,8166628
2016-07-29,8166628
2016-07-30,7760922
2016-07-31,7760922
2016-08-01,7760922
2016-08-02,7760922
2016-08-03,7760922
2016-08-04,7760922
2016-08-05,7760922
2016-08-06,7374979
2016-08-07,7374979
2016-08-08,7374979
2016-08-09,7374979
2016-08-10,7374979
2016-08-11,7374979
2016-08-12,7374979
2016-08-13,7374979
2016-08-14,7374979
2016-08-15,7374979
2016-08-16,7011913
2016-08-17,7011913
2016-08-18,7011913
2016-08-19,7011913
2016-08-20,7011913
2016-08-21,7011913
2016-08-22,7011913
2016-08-23,7011913
2016-08-24,7011913
2016-08-25,6667235
2016-08-26,6667235
2016-08-28,6667235
2016-08-31,6337335
2016-09-01,6337335
2016-09-02,6337335
2016-09-03,6337335
2016-09-04,6337335
2016-09-05,6337335
2016-09-06,6337335
2016-09-07,6022562
2016-09-08,6022562
2016-09-09,6022562
2016-09-10,6022562
2016-09-11,6022562
2016-09-12,6022562
2016-09-13,5724506
2016-09-14,5724506
2016-09-15,5724506
2016-09-16,5724506
2016-09-17,5724506
2016-09-18,5439401
2016-09-19,5439401
2016-09-20,5439401
2016-09-21,5439401
2016-09-22,5439401
2016-09-23,5439401
2016-09-24,5439401
2016-09-25,5205779
2016-09-26,5205779
2016-09-27,5205779
2016-09-28,5205779
2016-09-29,5205779
2016-09-30,5205779
2016-10-01,4949470
2016-10-02,4949470
2016-10-03,4949470
2016-10-04,4949470
2016-10-05,4949470
2016-10-06,4705493
2016-10-07,4705493
2016-10-08,4705493
2016-10-09,4705493
2016-10-10,4705493
2016-10-11,4705493
2016-10-12,4475643
2016-10-13,4475643
2016-10-14,4475643
2016-10-15,4475643
2016-10-16,4475643
2016-10-17,4254556
2016-10-18,4254556
2016-10-19,4254556
2016-10-20,4254556
2016-10-21,4254556
2016-10-22,4254556
2016-10-23,4043364
2016-10-24,4043364
2016-10-25,4043364
2016-10-26,4043364
2016-10-27,4043364
2016-10-28,4043364
2016-10-29,4043364
2016-10-30,3844144
2016-10-31,3844144
2016-11-01,3844144
2016-11-02,3844144
2016-11-03,3844144
2016-11-04,3844144
2016-11-05,3653909
2016-11-06,3653909
2016-11-07,3653909
2016-11-08,3653909
2016-11-09,3653909
2016-11-10,3653909
2016-11-11,3653909
2016-11-12,3474805
2016-11-13,3474805
2016-11-14,3474805
2016-11-15,3474805
2016-12-07,2986474
2016-12-08,2986474
2016-12-09,2838405
2016-12-10,2838405
2016-12-11,2838405
2016-12-12,2838405
2016-12-13,2838405
2016-12-14,2838405
2016-12-15,2699288
2016-12-16,2699288
2016-12-17,2699288
2016-12-18,2699288
2016-12-19,2699288
2016-12-20,2699288
2016-12-21,2699288
2016-12-22,2699288
