date_obj,Initiate%20sallet price
2015-03-26,3418
2015-03-27,3418
2015-03-28,3392
2015-03-29,3392
2015-03-30,3354
2015-03-31,3354
2015-04-01,3392
2015-04-02,3392
2015-04-03,3362
2015-04-04,3380
2015-04-05,3380
2015-04-06,3408
2015-04-07,3408
2015-04-08,3406
2015-04-09,3406
2015-04-10,3414
2015-04-11,3414
2015-04-12,3406
2015-04-13,3406
2015-04-14,3421
2015-04-15,3421
2015-04-16,3359
2015-04-17,3359
2015-04-18,3342
2015-04-19,3342
2015-04-20,3401
2015-04-21,3401
2015-04-22,3343
2015-04-23,3343
2015-04-24,3335
2015-04-25,3335
2015-04-26,3310
2015-04-27,3310
2015-04-28,3364
2015-04-29,3364
2015-04-30,3387
2015-05-01,3387
2015-05-02,3413
2015-05-03,3413
2015-05-04,3411
2015-05-05,3411
2015-05-06,3384
2015-05-07,3384
2015-05-08,3409
2015-05-09,3409
2015-05-10,3407
2015-05-11,3407
2015-05-12,3365
2015-05-13,3365
2015-05-14,3384
2015-05-15,3384
2015-05-16,3384
2015-05-17,3390
2015-05-18,3390
2015-05-19,3345
2015-05-20,3345
2015-05-21,3345
2015-05-22,3357
2015-05-23,3357
2015-05-24,3371
2015-05-25,3371
2015-05-26,3432
2015-05-27,3432
2015-05-28,3413
2015-05-29,3413
2015-05-30,3428
2015-05-31,3428
2015-06-01,3427
2015-06-02,3427
2015-06-03,3398
2015-06-04,3398
2015-06-05,3288
2015-06-06,3350
2015-06-07,3350
2015-06-08,3395
2015-06-09,3362
2015-06-10,3375
2015-06-11,3375
2015-06-12,3423
2015-06-13,3488
2015-06-14,3488
2015-06-15,3459
2015-06-16,3459
2015-06-17,3466
2015-06-18,3464
2015-06-19,3464
2015-06-20,3452
2015-06-21,3452
2015-06-22,3449
2015-06-23,3449
2015-06-24,3392
2015-06-25,3392
2015-06-26,3365
2015-06-27,3365
2015-06-28,3415
2015-06-29,3415
2015-06-30,3412
2015-07-01,3412
2015-07-02,3421
2015-07-03,3422
2015-07-04,3422
2015-07-05,3333
2015-07-06,3333
2015-07-07,3410
2015-07-08,3410
2015-07-09,3461
2015-07-10,3461
2015-07-11,3451
2015-07-12,3451
2015-07-13,3474
2015-07-14,3474
2015-07-15,3459
2015-07-16,3459
2015-07-17,3446
2015-07-18,3446
2015-07-19,3407
2015-07-20,3430
2015-07-21,3430
2015-07-22,3503
2015-07-23,3503
2015-07-24,3441
2015-07-25,3441
2015-07-26,3482
2015-07-27,3482
2015-07-28,3485
2015-07-29,3371
2015-07-30,3371
2015-07-31,3392
2015-08-01,3392
2015-08-02,3461
2015-08-03,3461
2015-08-04,3555
2015-08-05,3465
2015-08-06,3465
2015-08-07,3407
2015-08-08,3407
2015-08-09,3366
2015-08-10,3366
2015-08-11,3328
2015-08-12,3328
2015-08-13,3377
2015-08-14,3423
2015-08-15,3423
2015-08-16,3397
2015-08-17,3397
2015-08-18,3422
2015-08-19,3393
2015-08-20,3393
2015-08-21,3409
2015-08-22,3409
2015-08-23,3483
2015-08-24,3627
2015-08-25,3627
2015-08-26,3804
2015-08-27,3919
2015-08-28,3919
2015-08-29,3807
2015-08-30,3807
2015-08-31,3721
2015-09-01,3721
2015-09-02,3554
2015-09-03,3554
2015-09-04,3460
2015-09-05,3460
2015-09-06,3409
2015-09-07,3409
2015-09-08,3368
2015-09-09,3368
2015-09-10,3436
2015-09-11,3436
2015-09-12,3467
2015-09-13,3467
2015-09-14,3489
2015-09-15,3460
2015-09-16,3460
2015-09-17,3442
2015-09-18,3442
2015-09-19,3496
2015-09-20,3496
2015-09-21,3448
2015-09-22,3448
2015-09-23,3527
2015-09-24,3527
2015-09-25,3527
2015-09-27,3518
2015-09-28,3577
2015-09-29,3577
2015-09-30,3507
2015-10-05,3468
2015-10-06,3484
2015-10-07,3484
2015-10-08,3539
2015-10-09,3438
2015-10-10,3438
2015-10-11,3432
2015-10-12,3432
2015-10-13,3484
2015-10-14,3484
2015-10-15,3420
2015-10-16,3420
2015-10-17,3425
2015-10-18,3425
2015-10-19,3463
2015-10-20,3463
2015-10-22,3432
2015-10-23,3512
2015-10-24,3512
2015-10-25,3464
2015-10-26,3464
2015-10-27,3510
2015-10-29,3480
2015-10-30,3480
2015-10-31,3488
2015-11-01,3488
2015-11-02,3485
2015-11-03,3485
2015-11-04,3463
2015-11-05,3463
2015-11-06,3536
2015-11-07,3489
2015-11-08,3489
2015-11-09,3499
2015-11-10,3499
2015-11-11,3442
2015-11-12,3442
2015-11-13,3456
2015-11-14,3456
2015-11-15,3464
2015-11-16,3464
2015-11-17,3382
2015-11-18,3382
2015-11-19,3363
2015-11-20,3363
2015-11-21,3363
2015-11-22,3461
2015-11-23,3461
2015-11-24,3374
2015-11-25,3403
2015-11-26,3403
2015-11-27,3447
2015-11-28,3447
2015-11-29,3549
2015-11-30,3549
2015-12-01,3488
2015-12-02,3488
2015-12-03,3429
2015-12-04,3429
2015-12-05,3482
2015-12-06,3482
2015-12-07,3473
2015-12-08,3473
2015-12-09,3450
2015-12-10,3450
2015-12-11,3467
2015-12-12,3467
2015-12-13,3554
2015-12-14,3554
2015-12-15,3716
2015-12-16,3716
2015-12-17,3738
2015-12-18,3738
2015-12-19,3674
2015-12-20,3677
2015-12-21,3677
2015-12-22,3638
2015-12-23,3638
2015-12-24,3633
2015-12-25,3633
2015-12-26,3557
2015-12-27,3489
