date_obj,Graahk%20headdress price
2015-03-26,43793
2015-03-27,43793
2015-03-28,43793
2015-03-29,43793
2015-03-30,43793
2015-03-31,43793
2015-04-01,43793
2015-04-02,43793
2015-04-03,43793
2015-04-04,43793
2015-04-05,43793
2015-04-06,43793
2015-04-07,43793
2015-04-08,43793
2015-04-09,43793
2015-04-10,43793
2015-04-11,43793
2015-04-12,43793
2015-04-13,43793
2015-04-14,43793
2015-04-15,43793
2015-04-16,41685
2015-04-17,41685
2015-04-18,41685
2015-04-19,41685
2015-04-20,41685
2015-04-21,41685
2015-04-22,41685
2015-04-23,41685
2015-04-24,41685
2015-04-25,41685
2015-04-26,41685
2015-04-27,41685
2015-04-28,41685
2015-04-29,41685
2015-04-30,41685
2015-05-01,41685
2015-05-02,41685
2015-05-03,41685
2015-05-04,41685
2015-05-05,41685
2015-05-06,41685
2015-05-07,41685
2015-05-08,41685
2015-05-09,41685
2015-05-10,41685
2015-05-11,41685
2015-05-12,41685
2015-05-13,41685
2015-05-14,41685
2015-05-15,41685
2015-05-16,41685
2015-05-17,41685
2015-05-18,41685
2015-05-19,41685
2015-05-20,41685
2015-05-21,39635
2015-05-22,39635
2015-05-23,39635
2015-05-24,39635
2015-05-25,39635
2015-05-26,39635
2015-05-27,39635
2015-05-28,39635
2015-05-29,39635
2015-05-30,39635
2015-05-31,39635
2015-06-01,39635
2015-06-02,39635
2015-06-03,39635
2015-06-04,39635
2015-06-05,39635
2015-06-06,39635
2015-06-07,39635
2015-06-08,39635
2015-06-09,39635
2015-06-10,39635
2015-06-11,39635
2015-06-12,39635
2015-06-13,39635
2015-06-14,37790
2015-06-15,37790
2015-06-16,37790
2015-06-17,37790
2015-06-18,37790
2015-06-19,37790
2015-06-20,37790
2015-06-21,37790
2015-06-22,37790
2015-06-23,37790
2015-06-24,37790
2015-06-25,37790
2015-06-26,37790
2015-06-27,37790
2015-06-28,37790
2015-06-29,37790
2015-06-30,37790
2015-07-01,37790
2015-07-02,37790
