date_obj,Oak%20blackjack(d) price
2015-12-11,300
2015-12-12,300
2015-12-13,300
2015-12-14,300
2015-12-15,300
2015-12-16,300
2015-12-17,300
2015-12-18,300
2015-12-19,300
2015-12-20,300
2015-12-21,300
2015-12-22,300
2015-12-23,300
2015-12-24,300
2015-12-25,300
2015-12-26,300
2015-12-27,300
2015-12-28,300
2015-12-29,300
2015-12-30,300
2015-12-31,300
2016-01-01,300
2016-01-02,300
2016-01-03,300
2016-01-04,300
2016-01-05,300
2016-01-06,300
2016-01-07,300
2016-01-08,300
2016-01-09,300
2016-01-10,307
2016-01-11,307
2016-01-12,307
2016-01-13,307
2016-01-14,307
2016-01-15,307
2016-01-16,307
2016-01-17,307
2016-01-18,307
2016-01-19,307
2016-01-20,307
2016-01-21,307
2016-01-22,307
2016-01-23,307
2016-01-24,307
2016-01-25,307
2016-01-26,307
2016-01-27,307
2016-01-28,307
2016-01-29,307
2016-01-30,307
2016-01-31,307
2016-02-01,307
2016-02-02,307
2016-02-03,307
2016-02-04,307
2016-02-05,307
2016-02-06,307
2016-02-07,307
2016-02-08,307
2016-02-09,307
2016-02-10,307
2016-02-11,307
2016-02-12,307
2016-02-13,307
2016-02-14,307
2016-02-15,307
2016-02-16,307
2016-02-17,307
2016-02-18,307
2016-02-19,307
2016-02-20,307
2016-02-21,307
2016-02-22,307
2016-02-23,307
2016-02-24,307
2016-02-25,307
2016-02-26,307
2016-02-27,307
2016-02-28,307
2016-02-29,307
2016-03-01,307
2016-03-02,307
2016-03-03,307
2016-03-04,307
2016-03-05,307
2016-03-06,307
2016-03-07,307
2016-03-08,307
2016-03-09,307
2016-03-10,307
2016-03-11,307
2016-03-12,307
2016-03-13,307
2016-03-14,307
2016-03-15,307
2016-03-16,307
2016-03-17,307
2016-03-18,307
2016-03-19,307
2016-03-20,307
2016-03-21,307
2016-03-22,307
2016-03-23,307
2016-03-24,307
2016-03-25,307
2016-03-26,307
2016-03-27,307
2016-03-28,307
2016-03-29,307
2016-03-30,307
2016-03-31,307
2016-04-01,307
2016-04-02,307
2016-04-03,307
2016-04-04,307
2016-04-05,307
2016-04-06,307
2016-04-07,307
2016-04-08,307
2016-04-09,307
2016-04-10,307
2016-04-11,307
2016-04-12,307
2016-04-13,307
2016-04-14,307
2016-04-15,307
2016-04-16,307
2016-04-17,307
2016-04-18,307
2016-04-19,307
2016-04-20,307
2016-04-21,307
2016-04-22,307
2016-04-23,307
2016-04-24,307
2016-04-25,307
2016-04-26,307
2016-04-27,307
2016-04-28,307
2016-04-29,307
2016-04-30,307
2016-05-01,307
2016-05-02,307
2016-05-03,307
2016-05-04,307
2016-05-05,307
2016-05-06,307
2016-05-07,307
2016-05-08,307
2016-05-09,307
2016-05-10,307
2016-05-11,307
2016-05-12,307
2016-05-13,307
2016-05-14,307
2016-05-15,307
2016-05-16,307
2016-05-17,307
2016-05-18,307
2016-05-19,307
2016-05-22,307
2016-05-23,307
2016-05-24,307
2016-05-25,307
2016-05-26,307
2016-05-27,307
2016-05-28,307
2016-05-29,307
2016-05-30,307
2016-05-31,307
2016-06-01,307
2016-06-02,307
2016-06-03,307
2016-06-04,307
2016-06-05,307
2016-06-06,307
2016-06-07,307
2016-06-08,307
2016-06-09,307
2016-06-10,307
2016-06-11,307
2016-06-12,307
2016-06-13,307
2016-06-14,307
2016-06-15,307
2016-06-16,307
2016-06-17,307
2016-06-18,307
2016-06-19,307
2016-06-20,307
2016-06-21,307
2016-06-22,307
