date_obj,Splitbark%20body price
2015-03-26,43789
2015-03-27,43789
2015-03-28,41931
2015-03-29,41931
2015-03-30,41833
2015-03-31,41833
2015-04-01,41833
2015-04-02,42581
2015-04-03,42581
2015-04-04,43351
2015-04-05,43351
2015-04-06,43351
2015-04-07,42431
2015-04-08,42431
2015-04-09,42431
2015-04-10,42083
2015-04-11,42083
2015-04-12,40187
2015-04-13,40187
2015-04-14,40187
2015-04-15,38233
2015-04-16,38233
2015-04-17,38233
2015-04-18,36321
2015-04-19,36321
2015-04-20,36321
2015-04-21,34753
2015-04-22,34753
2015-04-23,34753
2015-04-24,35730
2015-04-25,35730
2015-04-26,35730
2015-04-27,37454
2015-04-28,37454
2015-04-29,37454
2015-04-30,37753
2015-05-01,37753
2015-05-02,39638
2015-05-03,39638
2015-05-04,40875
2015-05-05,40875
2015-05-06,41670
2015-05-07,41670
2015-05-08,43754
2015-05-09,43754
2015-05-10,45732
2015-05-11,45732
2015-05-12,47179
2015-05-13,47179
2015-05-14,49314
2015-05-15,49314
2015-05-16,51568
2015-05-17,52417
2015-05-18,52417
2015-05-19,53783
2015-05-20,53783
2015-05-21,53783
2015-05-22,53467
2015-05-23,53467
2015-05-24,51237
2015-05-25,51237
2015-05-26,48762
2015-05-27,48762
2015-05-28,46329
2015-05-29,45245
2015-05-30,43037
2015-05-31,43037
2015-06-01,40945
2015-06-02,40945
2015-06-03,39211
2015-06-04,39211
2015-06-05,37892
2015-06-06,37892
2015-06-07,36674
2015-06-08,36674
2015-06-09,36063
2015-06-10,36063
2015-06-11,34260
2015-06-12,34260
2015-06-13,32996
2015-06-14,32996
2015-06-15,32148
2015-06-16,32148
2015-06-17,30699
2015-06-18,30699
2015-06-19,29765
2015-06-20,29765
2015-06-21,29850
2015-06-22,29850
2015-06-23,30296
2015-06-24,30296
2015-06-25,29678
2015-06-26,29231
2015-06-27,29231
2015-06-28,28409
2015-06-29,28409
2015-06-30,27634
2015-07-01,27634
2015-07-02,27422
2015-07-03,27422
2015-07-04,27584
2015-07-05,27584
2015-07-06,27182
2015-07-07,27182
2015-07-08,27508
2015-07-09,27508
2015-07-10,27852
2015-07-11,27852
2015-07-12,27852
2015-07-13,28184
2015-07-14,28184
2015-07-15,28019
2015-07-16,28019
2015-07-17,28339
2015-07-18,28339
2015-07-19,28604
2015-07-20,28604
2015-07-21,29622
2015-07-22,29459
2015-07-23,29459
2015-07-24,29396
2015-07-25,29396
2015-07-26,29323
2015-07-27,29323
2015-07-28,30638
2015-07-29,32059
2015-07-30,32059
2015-07-31,32670
2015-08-01,32670
2015-08-02,32726
2015-08-03,32726
2015-08-04,32390
2015-08-05,32390
2015-08-06,32199
2015-08-07,32199
2015-08-08,32161
2015-08-09,32161
2015-08-10,31622
2015-08-11,31622
2015-08-12,31731
2015-08-13,31731
2015-08-14,31478
2015-08-15,31478
2015-08-16,30552
2015-08-17,30552
2015-08-18,29578
2015-08-19,29578
2015-08-20,30606
2015-08-21,30606
2015-08-22,31776
2015-08-23,31776
2015-08-24,32212
2015-08-25,32212
2015-08-26,32212
2015-08-27,32540
2015-08-28,32540
2015-08-29,32760
2015-08-30,32760
2015-08-31,31781
2015-09-01,31781
2015-09-02,30938
2015-09-03,30938
2015-09-04,30238
2015-09-05,30238
2015-09-06,29667
2015-09-07,29667
2015-09-08,29828
2015-09-09,29828
2015-09-10,29706
2015-09-11,29706
2015-09-12,29169
2015-09-13,29169
