date_obj,Green%20d'hide%20body%20(g) price
2015-03-26,19831
2015-03-27,19831
2015-03-28,19436
2015-03-29,19202
2015-03-30,18894
2015-03-31,18700
2015-04-01,17986
2015-04-02,17412
2015-04-03,16902
2015-04-04,16464
2015-04-05,16211
2015-04-06,16005
2015-04-07,15785
2015-04-08,15808
2015-04-09,15939
2015-04-10,15945
2015-04-11,15730
2015-04-12,15340
2015-04-13,14650
2015-04-14,14146
2015-04-15,13710
2015-04-16,13873
2015-04-17,14348
2015-04-18,14353
2015-04-19,13990
2015-04-20,13990
2015-04-21,13560
2015-04-22,13309
2015-04-23,13528
2015-04-24,13605
2015-04-25,13545
2015-04-26,13463
2015-04-27,13432
2015-04-28,13426
2015-04-29,13426
2015-04-30,13150
2015-05-01,12995
2015-05-02,12881
2015-05-03,12881
2015-05-04,12695
2015-05-05,12363
2015-05-06,11813
2015-05-07,11226
2015-05-08,10664
2015-05-09,10133
2015-05-10,9769
2015-05-11,9651
2015-05-12,9611
2015-05-13,9638
2015-05-14,9474
2015-05-15,9474
2015-05-16,9553
2015-05-17,9439
2015-05-18,9468
2015-05-19,9149
2015-05-20,9149
2015-05-21,8839
2015-05-22,8717
2015-05-23,8777
2015-05-24,8617
2015-05-25,8516
2015-05-26,8550
2015-05-27,8380
2015-05-28,8288
2015-05-29,8522
2015-05-30,8888
2015-05-31,9315
2015-06-01,9779
2015-06-02,9779
2015-06-03,10265
2015-06-04,10469
2015-06-05,10427
2015-06-06,10199
2015-06-07,10186
2015-06-08,10078
2015-06-09,9936
2015-06-10,9576
2015-06-11,9457
2015-06-12,9385
2015-06-13,9419
2015-06-14,9366
2015-06-15,8977
2015-06-16,9030
2015-06-17,9100
2015-06-18,9087
2015-06-19,9203
2015-06-20,9466
2015-06-21,9549
2015-06-22,9518
2015-06-23,9587
2015-06-24,9644
2015-06-25,9644
2015-06-26,9263
2015-06-27,9263
2015-06-28,9110
2015-06-29,8866
2015-06-30,8625
2015-07-01,8749
2015-07-02,8749
2015-07-03,8998
2015-07-04,8880
2015-07-05,8920
2015-07-06,9233
2015-07-07,9605
2015-07-08,9937
2015-07-09,9937
2015-07-10,10363
2015-07-11,10732
2015-07-12,10968
2015-07-13,11102
2015-07-14,11098
2015-07-15,10995
2015-07-16,11330
2015-07-17,11463
2015-07-18,11567
2015-07-19,11695
2015-07-20,11900
2015-07-21,12250
2015-07-22,12737
2015-07-23,12737
2015-07-24,13194
2015-07-25,13194
2015-07-26,13100
2015-07-27,13469
2015-07-28,13943
2015-07-29,14167
2015-07-30,14217
2015-07-31,14275
2015-08-01,13716
2015-08-02,13601
2015-08-03,13422
2015-08-04,13769
2015-08-05,13914
2015-08-06,14011
2015-08-07,14404
2015-08-08,14559
2015-08-09,14788
2015-08-10,15057
2015-08-11,15362
2015-08-12,15362
2015-08-13,15672
2015-08-14,16015
2015-08-15,16589
2015-08-16,17347
2015-08-17,18157
2015-08-18,18508
2015-08-19,19344
2015-08-20,20147
2015-08-21,20613
2015-08-22,20984
2015-08-23,20984
2015-08-24,21671
2015-08-25,21671
2015-08-26,22334
2015-08-27,23127
2015-08-28,23559
2015-08-29,23941
2015-08-30,23941
2015-08-31,23813
2015-09-01,23753
2015-09-02,23753
2015-09-03,23224
2015-09-04,22418
2015-09-05,22418
2015-09-06,21523
2015-09-07,20602
2015-09-08,20098
2015-09-09,19697
2015-09-10,19017
2015-09-11,18738
2015-09-12,18240
2015-09-13,17991
2015-09-14,17212
2015-09-15,16718
2015-09-16,16718
2015-09-17,16509
2015-09-18,16509
2015-09-19,16257
2015-09-20,16196
2015-09-21,16404
2015-09-22,16598
2015-09-23,16573
2015-09-24,16573
2015-09-25,16622
2015-09-27,16835
2015-09-28,17199
2015-09-29,17920
2015-09-30,18041
2015-10-05,19609
2015-10-06,19618
2015-10-07,19618
2015-10-08,19897
2015-10-09,20088
2015-10-10,20088
2015-10-11,19820
2015-10-12,19630
2015-10-13,19630
2015-10-14,19300
2015-10-15,18923
2015-10-16,19340
2015-10-17,19340
2015-10-18,19459
2015-10-19,19715
2015-10-20,19968
2015-10-22,20089
2015-10-23,20597
2015-10-24,20108
2015-10-25,20597
2015-10-26,20824
2015-10-27,20824
2015-10-29,21795
2015-10-30,22442
2015-10-31,22838
2015-11-01,22838
2015-11-02,22747
2015-11-03,22975
2015-11-04,23045
2015-11-05,23446
2015-11-06,22796
2015-11-07,22783
2015-11-08,22783
2015-11-09,22906
2015-11-10,22572
2015-11-11,22438
2015-11-12,22718
2015-11-13,22718
2015-11-14,22179
2015-11-15,21299
2015-11-16,20684
2015-11-17,20210
2015-11-18,19635
2015-11-19,19545
2015-11-20,19331
2015-11-21,19331
2015-11-22,19095
2015-11-23,19095
2015-11-24,18743
2015-11-25,18313
2015-11-26,18313
2015-11-27,17667
2015-11-28,17333
2015-11-29,17132
2015-11-30,16775
2015-12-01,16312
2015-12-02,16122
2015-12-03,15721
2015-12-04,15721
2015-12-05,15637
2015-12-06,15462
2015-12-07,15462
2015-12-08,15263
2015-12-09,15044
2015-12-10,14626
2015-12-11,14179
2015-12-12,13809
2015-12-13,13862
2015-12-14,13862
2015-12-15,13886
2015-12-16,13610
2015-12-17,13203
2015-12-18,12808
2015-12-19,12762
2015-12-20,12662
2015-12-21,12596
2015-12-22,12626
2015-12-23,13025
2015-12-24,13634
2015-12-25,14188
2015-12-26,14723
2015-12-27,15280
2015-12-28,15503
2015-12-29,15468
2015-12-30,15451
2015-12-31,15522
2016-01-01,15054
2016-01-02,14790
2016-01-03,14884
2016-01-04,15182
2016-01-05,15489
2016-01-06,14755
2016-01-07,14183
2016-01-08,14400
2016-01-09,14610
2016-01-10,14630
2016-01-11,14953
2016-01-12,15465
2016-01-13,15962
2016-01-14,16385
2016-01-15,16811
2016-01-16,16599
2016-01-17,16346
2016-01-18,16516
2016-01-19,16582
2016-01-20,16632
2016-01-21,16786
2016-01-22,16621
2016-01-23,15869
2016-01-24,15171
2016-01-25,14931
2016-01-26,14431
2016-01-27,14342
2016-01-28,14342
2016-01-29,13863
2016-01-30,13863
2016-01-31,13722
2016-02-01,13633
2016-02-02,13570
2016-02-03,13322
2016-02-04,13115
2016-02-05,13065
2016-02-06,12525
2016-02-07,11898
2016-02-08,11303
2016-02-09,10738
2016-02-10,10391
2016-02-11,9875
2016-02-12,10064
2016-02-13,10342
2016-02-14,10479
2016-02-15,10347
2016-02-16,10133
2016-02-17,9986
2016-02-18,9973
2016-02-19,9702
2016-02-20,9280
2016-02-21,9048
2016-02-22,9048
2016-02-23,9033
2016-02-24,9232
