date_obj,Yew%20logs price
2015-03-26,461
2015-03-27,461
2015-03-28,461
2015-03-29,458
2015-03-30,453
2015-03-31,449
2015-04-01,454
2015-04-02,463
2015-04-03,465
2015-04-04,460
2015-04-05,455
2015-04-06,455
2015-04-07,461
2015-04-08,470
2015-04-09,483
2015-04-10,482
2015-04-11,474
2015-04-12,470
2015-04-13,470
2015-04-14,476
2015-04-15,482
2015-04-16,485
2015-04-17,485
2015-04-18,475
2015-04-19,466
2015-04-20,463
2015-04-21,467
2015-04-22,475
2015-04-23,482
2015-04-24,486
2015-04-25,479
2015-04-26,466
2015-04-27,463
2015-04-28,469
2015-04-29,471
2015-04-30,471
2015-05-01,465
2015-05-02,444
2015-05-03,433
2015-05-04,429
2015-05-05,436
2015-05-06,450
2015-05-07,456
2015-05-08,457
2015-05-09,446
2015-05-10,441
2015-05-11,443
2015-05-12,443
2015-05-13,442
2015-05-14,438
2015-05-15,431
2015-05-16,424
2015-05-17,413
2015-05-18,415
2015-05-19,425
2015-05-20,432
2015-05-21,439
2015-05-22,443
2015-05-23,440
2015-05-24,423
2015-05-25,417
2015-05-26,427
2015-05-27,434
2015-05-28,437
2015-05-29,438
2015-05-30,429
2015-05-31,417
2015-06-01,419
2015-06-02,421
2015-06-03,424
2015-06-04,422
2015-06-05,419
2015-06-06,406
2015-06-07,390
2015-06-08,388
2015-06-09,392
2015-06-10,398
2015-06-11,403
2015-06-12,397
2015-06-13,392
2015-06-14,386
2015-06-15,384
2015-06-16,394
2015-06-17,400
2015-06-18,402
2015-06-19,405
2015-06-20,400
2015-06-21,395
2015-06-22,397
2015-06-23,405
2015-06-24,410
2015-06-25,416
2015-06-26,410
2015-06-27,398
2015-06-28,395
2015-06-29,398
2015-06-30,408
2015-07-01,411
2015-07-02,415
2015-07-03,413
2015-07-04,402
2015-07-05,394
2015-07-06,394
2015-07-07,396
2015-07-08,406
2015-07-09,411
2015-07-10,406
2015-07-11,403
2015-07-12,396
2015-07-13,391
2015-07-14,390
2015-07-15,384
2015-07-16,392
2015-07-17,398
2015-07-18,396
2015-07-19,394
2015-07-20,402
2015-07-21,409
2015-07-22,411
2015-07-23,416
2015-07-24,422
2015-07-25,415
2015-07-26,414
2015-07-27,409
2015-07-28,411
2015-07-29,415
2015-07-30,412
2015-07-31,413
2015-08-01,407
2015-08-02,395
2015-08-03,398
2015-08-04,403
2015-08-05,405
2015-08-06,409
2015-08-07,413
2015-08-08,408
2015-08-09,396
2015-08-10,396
2015-08-11,398
2015-08-12,404
2015-08-13,403
2015-08-14,404
2015-08-15,400
2015-08-16,394
2015-08-17,391
2015-08-18,401
2015-08-19,405
2015-08-20,414
2015-08-21,417
2015-08-22,408
2015-08-23,399
2015-08-24,406
2015-08-25,415
2015-08-26,422
2015-08-27,429
2015-08-28,428
2015-08-29,425
2015-08-30,412
2015-08-31,410
2015-09-01,419
2015-09-02,425
2015-09-03,433
2015-09-04,430
2015-09-05,425
2015-09-06,423
2015-09-07,429
2015-09-08,431
2015-09-09,430
2015-09-10,425
2015-09-11,430
2015-09-12,435
2015-09-13,432
2015-09-14,440
2015-09-15,449
2015-09-16,466
2015-09-17,460
2015-09-18,447
2015-09-19,436
2015-09-20,432
