date_obj,Swordfish price
2015-03-26,443
2015-03-27,436
2015-03-28,437
2015-03-29,431
2015-03-30,424
2015-03-31,422
2015-04-01,421
2015-04-02,414
2015-04-03,414
2015-04-04,419
2015-04-05,420
2015-04-06,417
2015-04-07,416
2015-04-08,415
2015-04-09,413
2015-04-10,415
2015-04-11,420
2015-04-12,426
2015-04-13,427
2015-04-14,422
2015-04-15,419
2015-04-16,414
2015-04-17,412
2015-04-18,412
2015-04-19,412
2015-04-20,411
2015-04-21,413
2015-04-22,411
2015-04-23,409
2015-04-24,408
2015-04-25,408
2015-04-26,407
2015-04-27,410
2015-04-28,407
2015-04-29,405
2015-04-30,402
2015-05-01,401
2015-05-02,397
2015-05-03,392
2015-05-04,384
2015-05-05,386
2015-05-06,394
2015-05-07,396
2015-05-08,410
2015-05-09,426
2015-05-10,422
2015-05-11,424
2015-05-12,417
2015-05-13,414
2015-05-14,407
2015-05-15,402
2015-05-16,400
2015-05-17,396
2015-05-18,387
2015-05-19,377
2015-05-20,372
2015-05-21,369
2015-05-22,362
2015-05-23,366
2015-05-24,371
2015-05-25,378
2015-05-26,371
2015-05-27,364
2015-05-28,364
2015-05-29,363
2015-05-30,362
2015-05-31,367
2015-06-01,358
2015-06-02,354
2015-06-03,357
2015-06-04,362
2015-06-05,364
2015-06-06,372
2015-06-07,383
2015-06-08,377
2015-06-09,371
2015-06-10,368
2015-06-11,366
2015-06-12,360
2015-06-13,360
2015-06-14,362
2015-06-15,362
2015-06-16,364
2015-06-17,359
2015-06-18,363
2015-06-19,372
2015-06-20,388
2015-06-21,399
2015-06-22,401
2015-06-23,393
2015-06-24,382
2015-06-25,380
2015-06-26,377
2015-06-27,381
2015-06-28,385
2015-06-29,374
2015-06-30,368
2015-07-01,369
2015-07-02,379
2015-07-03,382
2015-07-04,381
2015-07-05,374
2015-07-06,367
2015-07-07,363
2015-07-08,361
2015-07-09,355
2015-07-10,348
2015-07-11,341
2015-07-12,337
2015-07-13,331
2015-07-14,324
2015-07-15,321
2015-07-16,316
2015-07-17,316
2015-07-18,315
2015-07-19,311
2015-07-20,307
2015-07-21,302
2015-07-22,300
2015-07-23,303
2015-07-24,301
2015-07-25,297
2015-07-26,292
2015-07-27,285
2015-07-28,287
2015-07-29,291
2015-07-30,295
2015-07-31,294
2015-08-01,298
2015-08-02,305
2015-08-03,316
2015-08-04,313
2015-08-05,311
2015-08-06,306
2015-08-07,297
2015-08-08,296
2015-08-09,298
2015-08-10,305
2015-08-11,311
2015-08-12,323
2015-08-13,334
2015-08-14,331
2015-08-15,332
2015-08-16,332
2015-08-17,330
2015-08-18,324
2015-08-19,314
2015-08-20,319
2015-08-21,328
2015-08-22,336
2015-08-23,350
2015-08-24,359
2015-08-25,359
2015-08-26,345
2015-08-27,337
2015-08-28,332
2015-08-29,338
2015-08-30,339
2015-08-31,347
2015-09-01,362
2015-09-02,372
2015-09-03,371
2015-09-04,373
2015-09-05,373
2015-09-06,379
2015-09-07,381
2015-09-08,382
2015-09-09,392
2015-09-10,382
2015-09-11,370
2015-09-12,368
2015-09-13,378
2015-09-14,382
2015-09-15,384
2015-09-16,388
2015-09-17,404
2015-09-18,409
2015-09-19,394
2015-09-20,396
2015-09-21,391
2015-09-22,389
2015-09-23,395
2015-09-24,397
2015-09-25,399
2015-09-27,390
2015-09-28,385
2015-09-29,381
2015-09-30,376
2015-10-05,333
2015-10-06,319
2015-10-07,305
2015-10-08,309
2015-10-09,310
2015-10-10,318
2015-10-11,310
2015-10-12,302
2015-10-13,296
2015-10-14,295
2015-10-15,289
2015-10-16,280
2015-10-17,271
2015-10-18,258
2015-10-19,245
2015-10-20,233
2015-10-22,228
2015-10-23,238
2015-10-24,248
2015-10-25,245
2015-10-26,248
2015-10-27,248
2015-10-29,239
2015-10-30,234
2015-10-31,235
2015-11-01,241
2015-11-02,239
2015-11-03,238
2015-11-04,241
2015-11-05,241
2015-11-06,239
2015-11-07,237
2015-11-08,239
2015-11-09,245
2015-11-10,250
2015-11-11,261
2015-11-12,269
2015-11-13,281
2015-11-14,295
2015-11-15,309
2015-11-16,314
2015-11-17,310
2015-11-18,303
2015-11-19,305
2015-11-20,317
2015-11-21,332
2015-11-22,349
2015-11-23,366
2015-11-24,383
2015-11-25,393
2015-11-26,406
2015-11-27,416
2015-11-28,437
2015-11-29,458
2015-11-30,474
2015-12-01,498
2015-12-02,521
2015-12-03,546
2015-12-04,572
2015-12-05,577
2015-12-06,561
2015-12-07,534
2015-12-08,512
2015-12-09,487
2015-12-10,464
2015-12-11,443
2015-12-13,402
2015-12-14,383
2015-12-15,366
2015-12-16,348
2015-12-17,330
2015-12-18,314
2015-12-19,306
2015-12-20,298
2015-12-21,287
2015-12-22,286
2015-12-23,293
2015-12-24,306
2015-12-25,318
2015-12-26,319
2015-12-27,307
2015-12-28,293
2015-12-29,286
2015-12-30,292
2015-12-31,307
2016-01-01,322
2016-01-02,329
2016-01-03,322
2016-01-04,314
2016-01-05,302
2016-01-06,296
2016-01-07,295
2016-01-08,298
2016-01-09,298
2016-01-10,293
2016-01-11,288
2016-01-12,282
2016-01-13,276
2016-01-14,279
2016-01-15,283
2016-01-16,282
2016-01-17,277
2016-01-18,274
2016-01-19,275
2016-01-20,278
2016-01-21,287
2016-01-22,296
2016-01-23,307
2016-01-24,311
2016-01-25,309
2016-01-26,320
2016-01-27,332
2016-01-28,341
2016-01-29,344
2016-01-30,345
2016-01-31,341
2016-02-01,335
2016-02-02,332
2016-02-03,325
2016-02-04,314
2016-02-05,306
2016-02-06,299
2016-02-07,297
2016-02-08,300
2016-02-09,304
2016-02-10,310
2016-02-11,315
2016-02-12,317
2016-02-13,316
2016-02-14,310
2016-02-15,308
2016-02-16,310
2016-02-17,313
2016-02-18,316
2016-02-19,324
2016-02-20,330
2016-02-21,325
2016-02-22,319
2016-02-23,315
2016-02-24,318
2016-02-25,327
2016-02-26,324
2016-02-27,319
2016-02-28,320
2016-02-29,322
2016-03-01,329
2016-03-02,340
2016-03-03,342
2016-03-04,332
2016-03-05,339
2016-03-06,348
2016-03-07,352
2016-03-08,367
2016-03-09,386
2016-03-10,406
2016-03-11,418
2016-03-12,433
2016-03-13,455
2016-03-14,478
2016-03-15,502
2016-03-16,520
2016-03-17,511
2016-03-18,487
2016-03-19,470
2016-03-20,458
2016-03-21,448
2016-03-22,439
2016-03-23,432
2016-03-24,426
2016-03-25,420
2016-03-26,412
2016-03-27,398
2016-03-28,389
2016-03-29,376
2016-03-30,359
2016-03-31,342
2016-04-01,329
2016-04-02,332
2016-04-03,334
2016-04-04,344
2016-04-05,354
2016-04-06,364
2016-04-07,380
2016-04-08,396
2016-04-09,412
2016-04-10,404
2016-04-11,391
2016-04-12,388
2016-04-13,386
2016-04-14,393
2016-04-15,403
2016-04-16,408
2016-04-17,404
2016-04-18,395
2016-04-19,387
2016-04-20,381
2016-04-21,379
2016-04-22,378
2016-04-23,375
2016-04-24,375
2016-04-25,376
2016-04-26,381
2016-04-27,375
2016-04-28,369
2016-04-29,364
2016-04-30,361
2016-05-01,354
2016-05-02,348
2016-05-03,343
2016-05-04,346
2016-05-05,351
2016-05-06,352
2016-05-07,344
2016-05-08,333
2016-05-09,319
2016-05-10,304
2016-05-11,288
2016-05-12,278
2016-05-13,276
2016-05-14,283
2016-05-15,288
2016-05-16,283
2016-05-17,283
2016-05-18,281
2016-05-19,284
2016-05-22,288
2016-05-23,281
2016-05-24,277
2016-05-25,287
2016-05-26,296
2016-05-27,309
2016-05-28,322
2016-05-29,322
2016-05-30,327
2016-05-31,320
2016-06-01,325
2016-06-02,324
2016-06-03,331
2016-06-04,332
2016-06-05,331
2016-06-06,333
