date_obj,White%20boots price
2015-03-26,41647
2015-03-27,41647
2015-03-28,41647
2015-03-29,39602
2015-03-30,39602
2015-03-31,39602
2015-04-01,39602
2015-04-02,39602
2015-04-03,39602
2015-04-04,39602
2015-04-05,39602
2015-04-06,39602
2015-04-07,39602
2015-04-08,39602
2015-04-09,37634
2015-04-10,37634
2015-04-11,37634
2015-04-12,37634
2015-04-13,37634
2015-04-14,37634
2015-04-15,37634
2015-04-16,37634
2015-04-17,37634
2015-04-18,37634
2015-04-19,35798
2015-04-20,35798
2015-04-21,35798
2015-04-22,35798
2015-04-23,35798
2015-04-24,35798
2015-04-25,35798
2015-04-26,35798
2015-04-27,35798
2015-04-28,35798
2015-04-29,35798
2015-04-30,34038
2015-05-01,34038
2015-05-02,34038
2015-05-03,34038
2015-05-04,34038
2015-05-05,34038
2015-05-06,34038
2015-05-07,34038
2015-05-08,34038
2015-05-09,34038
2015-05-10,32367
2015-05-11,32367
2015-05-12,32367
2015-05-13,32367
2015-05-14,32367
2015-05-15,32367
2015-05-16,32367
2015-05-17,32367
2015-05-18,32367
2015-05-19,32367
2015-05-20,32367
2015-05-21,30773
2015-05-22,30773
2015-05-23,30773
2015-05-24,30773
2015-05-25,30773
2015-05-26,30773
2015-05-27,30773
2015-05-28,29257
2015-05-29,29257
2015-05-30,29257
2015-05-31,29257
2015-06-01,29257
2015-06-02,29257
2015-06-03,27819
2015-06-04,27819
2015-06-05,27819
2015-06-06,27819
2015-06-07,27819
2015-06-08,27819
2015-06-09,27819
2015-06-10,26452
2015-06-11,26452
2015-06-12,26452
2015-06-13,26452
2015-06-14,26452
2015-06-15,26452
2015-06-16,26452
2015-06-17,26452
2015-06-18,25142
2015-06-19,25142
2015-06-20,25142
2015-06-21,25142
2015-06-22,25142
2015-06-23,25142
2015-06-24,25142
2015-06-25,25142
2015-06-26,23912
2015-06-27,23912
2015-06-28,23912
2015-06-29,23912
2015-06-30,23912
2015-07-01,23912
2015-07-02,23912
2015-07-03,22734
2015-07-04,22734
2015-07-05,22734
2015-07-06,22734
2015-07-07,22734
2015-07-08,22734
2015-07-09,22734
2015-07-10,21634
2015-07-11,21634
2015-07-12,21634
2015-07-13,21634
2015-07-14,21634
2015-07-15,21634
2015-07-16,21634
2015-07-17,20575
2015-07-18,20575
2015-07-19,20575
2015-07-20,20575
2015-07-21,20575
2015-07-22,20575
2015-07-23,20575
2015-07-24,19571
2015-07-25,19571
2015-07-26,19571
2015-07-27,19571
2015-07-28,19571
2015-07-29,19571
2015-07-30,18618
2015-07-31,18618
2015-08-01,18618
2015-08-02,18618
2015-08-03,18618
2015-08-04,17714
2015-08-05,17714
2015-08-06,17714
2015-08-07,17714
2015-08-08,17714
2015-08-09,16848
2015-08-10,16848
2015-08-11,16848
2015-08-12,16848
2015-08-13,16848
2015-08-14,16029
2015-08-15,16029
2015-08-16,16029
2015-08-17,16029
2015-08-18,15233
2015-08-19,15233
2015-08-20,15233
2015-08-21,14525
2015-08-22,14525
2015-08-23,14525
2015-08-24,14525
2015-08-25,14525
2015-08-26,13849
2015-08-27,13849
2015-08-28,13849
2015-08-29,13849
2015-08-30,13849
2015-08-31,13165
2015-09-01,13165
2015-09-02,13165
2015-09-03,13165
2015-09-04,13165
2015-09-05,12522
2015-09-06,12522
2015-09-07,12522
2015-09-08,12522
2015-09-09,12522
2015-09-10,11972
2015-09-11,11972
2015-09-12,11972
2015-09-13,11972
2015-09-14,11972
2015-09-15,11431
2015-09-16,11431
2015-09-17,11431
2015-09-18,11431
2015-09-19,11431
2015-09-20,10883
2015-09-21,10883
2015-09-22,10883
2015-09-23,10883
2015-09-24,10883
2015-09-25,10883
2015-09-27,10350
2015-09-28,10350
2015-09-29,10350
2015-09-30,10350
2015-10-05,9856
2015-10-06,9856
2015-10-07,9379
2015-10-08,9379
2015-10-09,9379
2015-10-10,9379
2015-10-11,9379
2015-10-12,8920
2015-10-13,8920
2015-10-14,8920
2015-10-15,8920
2015-10-16,8920
2015-10-17,8920
2015-10-18,8484
2015-10-19,8484
2015-10-20,8484
2015-10-22,8484
2015-10-23,8070
2015-10-24,8070
2015-10-25,8070
2015-10-26,8070
2015-10-27,8070
2015-10-29,7704
2015-10-30,7704
2015-10-31,7704
2015-11-01,7704
2015-11-02,7704
2015-11-03,7334
2015-11-04,7334
2015-11-05,7334
2015-11-06,7334
2015-11-07,7334
2015-11-08,7334
2015-11-09,7334
2015-11-10,6993
2015-11-11,6993
2015-11-12,6993
2015-11-13,6993
2015-11-14,6993
2015-11-15,6993
2015-11-16,6993
2015-11-17,6673
2015-11-18,6673
2015-11-19,6673
2015-11-20,6673
2015-11-21,6673
2015-11-22,6673
2015-11-23,6673
2015-11-24,6350
2015-11-25,6350
2015-11-26,6350
2015-11-27,6350
2015-11-28,6350
2015-11-29,6350
2015-11-30,6350
2015-12-01,6047
2015-12-02,6047
2015-12-03,6047
2015-12-04,6047
2015-12-05,6047
2015-12-06,6047
2015-12-07,6047
2015-12-08,5812
2015-12-09,5812
2015-12-10,5812
2015-12-11,5812
2015-12-13,5812
2015-12-14,5614
2015-12-15,5614
2015-12-16,5614
2015-12-17,5614
2015-12-18,5614
2015-12-19,5614
2015-12-20,5350
2015-12-21,5350
2015-12-22,5350
2015-12-23,5350
2015-12-24,5350
2015-12-25,5350
2015-12-26,5350
2015-12-27,5153
2015-12-28,5153
2015-12-29,5153
2015-12-30,5153
2015-12-31,5153
2016-01-01,5153
2016-01-02,5153
2016-01-03,4963
2016-01-04,4963
2016-01-05,4963
2016-01-06,4963
2016-01-07,4963
2016-01-08,4963
2016-01-09,4963
2016-01-10,4714
2016-01-11,4714
2016-01-12,4714
2016-01-13,4714
2016-01-14,4714
2016-01-15,4522
2016-01-16,4522
2016-01-17,4522
2016-01-18,4522
2016-01-19,4522
2016-01-20,4522
2016-01-21,4522
2016-01-22,4352
2016-01-23,4352
2016-01-24,4352
2016-01-25,4352
2016-01-26,4352
2016-01-27,4352
2016-01-28,4352
2016-01-29,4134
2016-01-30,4134
2016-01-31,4134
2016-02-01,4134
2016-02-02,4134
2016-02-03,3940
2016-02-04,3940
2016-02-05,3940
2016-02-06,3940
2016-02-07,3940
2016-02-08,3940
2016-02-09,3849
2016-02-10,3849
2016-02-11,3849
2016-02-12,3849
2016-02-13,3849
2016-02-14,3849
2016-02-15,3849
2016-02-16,3848
2016-02-17,3848
2016-02-18,3848
2016-02-19,3848
2016-02-20,3848
2016-02-21,3848
2016-02-22,3848
2016-02-23,3836
2016-02-24,3836
2016-02-25,3836
2016-02-26,3836
2016-02-27,3836
2016-02-28,3836
2016-02-29,3680
2016-03-01,3680
2016-03-02,3680
2016-03-03,3680
2016-03-04,3680
2016-03-05,3680
2016-03-06,3496
2016-03-07,3496
2016-03-08,3496
2016-03-09,3496
2016-03-10,3496
2016-03-11,3496
2016-03-12,3331
2016-03-13,3331
2016-03-14,3331
2016-03-15,3331
2016-03-16,3331
2016-03-17,3331
2016-03-18,3243
2016-03-19,3243
2016-03-20,3243
2016-03-21,3243
2016-03-22,3243
2016-03-23,3243
2016-03-24,3233
2016-03-25,3233
2016-03-26,3233
2016-03-27,3233
2016-03-28,3233
2016-03-29,3233
2016-03-30,3189
2016-03-31,3189
2016-04-01,3189
2016-04-02,3189
2016-04-03,3189
2016-04-04,3189
2016-04-05,3189
2016-04-06,3125
2016-04-07,3125
2016-04-08,3125
2016-04-09,3125
2016-04-10,3125
2016-04-11,3125
2016-04-12,3149
2016-04-13,3149
2016-04-14,3149
2016-04-15,3149
2016-04-16,3149
2016-04-17,3149
2016-04-18,2994
2016-04-19,2994
2016-04-20,2994
2016-04-21,2994
2016-04-22,2994
2016-04-23,2994
2016-04-24,2994
2016-04-25,2844
2016-04-26,2844
2016-04-27,2844
2016-04-28,2844
2016-04-29,2844
2016-04-30,2844
2016-05-01,2786
2016-05-02,2786
2016-05-03,2786
2016-05-04,2786
2016-05-05,2786
2016-05-06,2786
2016-05-07,2670
2016-05-08,2670
2016-05-09,2670
2016-05-10,2670
2016-05-11,2670
2016-05-12,2670
2016-05-13,2599
2016-05-14,2599
2016-05-15,2599
2016-05-16,2599
