date_obj,Maple%20blackjack price
2015-03-26,814
2015-03-27,814
2015-03-28,814
2015-03-29,849
2015-03-30,849
2015-03-31,849
2015-04-01,849
2015-04-02,889
2015-04-03,889
2015-04-04,889
2015-04-05,934
2015-04-06,934
2015-04-07,934
2015-04-08,934
2015-04-09,981
2015-04-10,981
2015-04-11,981
2015-04-12,1030
2015-04-13,1030
2015-04-14,1030
2015-04-15,1030
2015-04-16,1081
2015-04-17,1081
2015-04-18,1081
2015-04-19,1131
2015-04-20,1131
2015-04-21,1131
2015-04-22,1131
2015-04-23,1185
2015-04-24,1185
2015-04-25,1185
2015-04-26,1185
2015-04-27,1209
2015-04-28,1209
2015-04-29,1209
2015-04-30,1209
2015-05-01,1258
2015-05-02,1258
2015-05-03,1258
2015-05-04,1258
2015-05-05,1319
2015-05-06,1319
2015-05-07,1319
2015-05-08,1370
2015-05-09,1370
2015-05-10,1370
2015-05-11,1370
2015-05-12,1423
2015-05-13,1423
2015-05-14,1423
2015-05-15,1485
2015-05-16,1485
2015-05-17,1485
2015-05-18,1556
2015-05-19,1556
2015-05-20,1556
2015-05-21,1556
2015-05-22,1623
2015-05-23,1623
2015-05-24,1623
2015-05-25,1700
2015-05-26,1700
2015-05-27,1700
2015-05-28,1779
2015-05-29,1779
2015-05-30,1854
2015-05-31,1854
2015-06-01,1932
2015-06-02,1932
2015-06-03,1932
2015-06-04,2003
2015-06-05,2003
2015-06-06,2088
2015-06-07,2088
2015-06-08,2088
2015-06-09,2164
2015-06-10,2164
2015-06-11,2164
2015-06-12,2255
2015-06-13,2255
2015-06-14,2350
2015-06-15,2350
2015-06-16,2350
2015-06-17,2398
2015-06-18,2398
2015-06-19,2398
2015-06-20,2285
2015-06-21,2285
2015-06-22,2285
2015-06-23,2312
2015-06-24,2312
2015-06-25,2312
2015-06-26,2293
2015-06-27,2293
2015-06-28,2393
2015-06-29,2393
2015-06-30,2393
2015-07-01,2355
2015-07-02,2355
2015-07-03,2369
2015-07-04,2369
2015-07-05,2339
2015-07-06,2339
2015-07-07,2324
2015-07-08,2324
2015-07-09,2324
2015-07-10,2380
2015-07-11,2380
2015-07-12,2380
2015-07-13,2360
2015-07-14,2360
2015-07-15,2319
2015-07-16,2319
2015-07-17,2320
2015-07-18,2320
2015-07-19,2320
2015-07-20,2288
2015-07-21,2288
2015-07-22,2339
2015-07-23,2339
2015-07-24,2349
2015-07-25,2349
2015-07-26,2349
2015-07-27,2315
2015-07-28,2315
2015-07-29,2408
2015-07-30,2408
2015-07-31,2408
2015-08-01,2459
2015-08-02,2459
2015-08-03,2530
2015-08-04,2530
2015-08-05,2623
2015-08-06,2623
2015-08-07,2623
2015-08-08,2714
2015-08-09,2714
2015-08-10,2827
2015-08-11,2827
2015-08-12,2827
2015-08-13,2946
2015-08-14,2946
2015-08-15,3070
2015-08-16,3070
2015-08-17,3208
2015-08-18,3208
2015-08-19,3223
2015-08-20,3223
2015-08-21,3155
2015-08-22,3155
2015-08-23,3155
2015-08-24,2999
2015-08-25,2999
2015-08-26,2999
2015-08-27,2967
2015-08-28,2967
2015-08-29,2967
2015-08-30,3006
2015-08-31,3006
2015-09-01,3007
2015-09-02,3007
2015-09-03,3007
2015-09-04,3111
2015-09-05,3111
2015-09-06,3111
2015-09-07,3171
2015-09-08,3171
2015-09-09,3171
2015-09-10,3279
2015-09-11,3279
2015-09-12,3279
2015-09-13,3405
2015-09-14,3405
2015-09-15,3558
2015-09-16,3558
2015-09-17,3558
2015-09-18,3669
2015-09-19,3669
2015-09-20,3669
2015-09-21,3575
2015-09-22,3575
2015-09-23,3396
2015-09-24,3396
2015-09-25,3396
2015-09-27,3226
2015-09-28,3226
2015-09-29,3064
2015-09-30,3064
2015-10-05,2885
2015-10-06,2885
2015-10-07,2885
2015-10-08,2877
2015-10-09,2877
2015-10-10,2877
2015-10-11,2861
2015-10-12,2861
2015-10-13,2861
2015-10-14,2850
2015-10-15,2850
2015-10-16,2827
2015-10-17,2827
2015-10-18,2827
2015-10-19,2811
2015-10-20,2811
2015-10-22,2815
2015-10-23,2815
2015-10-24,2776
2015-10-25,2776
2015-10-26,2778
2015-10-27,2778
2015-10-29,2735
2015-10-30,2735
2015-10-31,2735
2015-11-01,2736
2015-11-02,2736
2015-11-03,2730
2015-11-04,2730
2015-11-05,2730
2015-11-06,2711
2015-11-07,2711
2015-11-08,2711
2015-11-09,2694
2015-11-10,2694
2015-11-11,2694
2015-11-12,2695
2015-11-13,2695
2015-11-14,2695
2015-11-15,2673
2015-11-16,2673
2015-11-17,2673
2015-11-18,2636
2015-11-19,2636
2015-11-20,2731
2015-11-21,2731
2015-11-22,2731
2015-11-23,2804
2015-11-24,2804
2015-11-25,2902
2015-11-26,2902
2015-11-27,2902
2015-11-28,2915
2015-11-29,2915
2015-11-30,3022
2015-12-01,3022
2015-12-02,3022
2015-12-03,3108
2015-12-04,3108
2015-12-05,3108
2015-12-06,3215
2015-12-07,3215
2015-12-08,3215
2015-12-09,3210
2015-12-10,3210
2015-12-11,3210
2015-12-12,3090
2015-12-13,3090
2015-12-14,3090
2015-12-15,2935
2015-12-16,2935
2015-12-17,2842
2015-12-18,2842
2015-12-19,2946
2015-12-20,2946
2015-12-21,3040
2015-12-22,3040
2015-12-23,3073
2015-12-24,3073
2015-12-25,3073
2015-12-26,3056
2015-12-27,3056
2015-12-28,2987
2015-12-29,2987
2015-12-30,2877
2015-12-31,2877
2016-01-01,2877
2016-01-02,2984
2016-01-03,2984
2016-01-04,3110
2016-01-05,3110
2016-01-06,3243
2016-01-07,3243
2016-01-08,3080
2016-01-09,3080
2016-01-10,3083
2016-01-11,3083
2016-01-12,3174
2016-01-13,3174
2016-01-14,3060
2016-01-15,3060
2016-01-16,2909
2016-01-17,2909
2016-01-18,2763
2016-01-19,2763
2016-01-20,2624
2016-01-21,2624
2016-01-22,2577
2016-01-23,2577
2016-01-24,2589
2016-01-25,2589
2016-01-26,2595
2016-01-27,2595
2016-01-28,2595
2016-01-29,2514
2016-01-30,2514
2016-01-31,2388
2016-02-01,2388
2016-02-02,2291
2016-02-03,2291
2016-02-04,2266
2016-02-05,2266
2016-02-06,2297
2016-02-07,2297
2016-02-08,2297
2016-02-09,2372
2016-02-10,2372
2016-02-11,2411
2016-02-12,2411
2016-02-13,2492
2016-02-14,2492
2016-02-15,2492
2016-02-16,2517
2016-02-17,2517
2016-02-18,2517
2016-02-19,2414
2016-02-20,2414
2016-02-21,2377
2016-02-22,2377
2016-02-23,2365
2016-02-24,2365
2016-02-25,2361
2016-02-26,2361
2016-02-27,2334
2016-02-28,2334
2016-02-29,2314
2016-03-01,2314
2016-03-02,2277
2016-03-03,2277
2016-03-04,2272
2016-03-05,2272
2016-03-06,2256
2016-03-07,2256
2016-03-08,2256
2016-03-09,2164
2016-03-10,2164
2016-03-11,2149
2016-03-12,2149
2016-03-13,2179
2016-03-14,2179
2016-03-15,2137
2016-03-16,2137
2016-03-17,2169
2016-03-18,2169
2016-03-19,2245
2016-03-20,2245
2016-03-21,2314
2016-03-22,2314
2016-03-23,2334
2016-03-24,2334
2016-03-25,2383
2016-03-26,2383
2016-03-27,2461
2016-03-28,2461
2016-03-29,2540
2016-03-30,2540
2016-03-31,2540
2016-04-01,2529
2016-04-02,2529
2016-04-03,2554
2016-04-04,2554
2016-04-05,2426
2016-04-06,2426
2016-04-07,2477
2016-04-08,2477
2016-04-09,2559
2016-04-10,2559
2016-04-11,2519
2016-04-12,2519
2016-04-13,2450
2016-04-14,2450
2016-04-15,2472
2016-04-16,2472
2016-04-17,2531
2016-04-18,2531
2016-04-19,2601
2016-04-20,2601
2016-04-21,2470
2016-04-22,2470
2016-04-23,2503
2016-04-24,2503
2016-04-25,2553
2016-04-26,2553
2016-04-27,2646
2016-04-28,2646
2016-04-29,2711
2016-04-30,2711
2016-05-01,2817
2016-05-02,2817
2016-05-03,2891
2016-05-04,2891
2016-05-05,2990
2016-05-06,2990
2016-05-07,3090
2016-05-08,3090
2016-05-09,3186
2016-05-10,3186
2016-05-11,3237
2016-05-12,3237
2016-05-13,3222
2016-05-14,3222
2016-05-15,3132
2016-05-16,3132
2016-05-17,3002
2016-05-18,3002
2016-05-19,3027
2016-05-22,2900
2016-05-23,2854
2016-05-24,2854
2016-05-25,2954
2016-05-26,2954
2016-05-27,2842
2016-05-28,2842
2016-05-29,2725
2016-05-30,2725
2016-05-31,2588
2016-06-01,2478
2016-06-02,2478
2016-06-03,2422
2016-06-04,2422
