date_obj,Black%20dragon%20leather price
2015-03-26,2966
2015-03-27,2966
2015-03-28,2966
2015-03-29,2966
2015-03-30,3047
2015-03-31,3047
2015-04-01,3047
2015-04-02,3047
2015-04-03,3047
2015-04-04,3054
2015-04-05,3054
2015-04-06,3054
2015-04-07,3054
2015-04-08,3054
2015-04-09,3028
2015-04-10,3028
2015-04-11,3028
2015-04-12,3028
2015-04-13,3028
2015-04-14,3028
2015-04-15,3020
2015-04-16,3020
2015-04-17,3020
2015-04-18,3020
2015-04-19,3020
2015-04-20,3020
2015-04-21,3031
2015-04-22,3031
2015-04-23,3031
2015-04-24,3031
2015-04-25,3031
2015-04-26,2961
2015-04-27,2961
2015-04-28,2961
2015-04-29,2961
2015-04-30,2961
2015-05-01,2953
2015-05-02,2953
2015-05-03,2953
2015-05-04,2953
2015-05-05,2953
2015-05-06,2953
2015-05-07,2931
2015-05-08,2931
2015-05-09,2931
2015-05-10,2931
2015-05-11,2931
2015-05-12,2931
2015-05-13,2910
2015-05-14,2910
2015-05-15,2910
2015-05-16,2910
2015-05-17,2910
2015-05-18,2910
2015-05-19,2910
2015-05-20,2910
2015-05-21,2992
2015-05-22,2992
2015-05-23,2992
2015-05-24,2992
2015-05-25,2992
2015-05-26,2992
2015-05-27,2992
2015-05-28,2997
2015-05-29,2997
2015-05-30,2997
2015-05-31,2997
2015-06-01,2963
2015-06-02,2963
2015-06-03,2963
2015-06-04,2963
2015-06-05,2963
2015-06-06,2936
2015-06-07,2936
2015-06-08,2936
2015-06-09,2936
2015-06-10,2936
2015-06-11,2936
2015-06-12,2954
2015-06-13,2954
2015-06-14,2954
2015-06-15,2954
2015-06-16,2954
2015-06-17,2954
2015-06-18,3044
2015-06-19,3044
2015-06-20,3044
2015-06-21,3044
2015-06-22,3044
2015-06-23,3001
2015-06-24,3001
2015-06-25,3001
2015-06-26,3001
2015-06-27,2959
2015-06-28,2959
2015-06-29,2959
2015-06-30,2959
2015-07-01,2959
2015-07-02,2959
2015-07-03,2955
2015-07-04,2955
