date_obj,Blue%20d'hide%20body%20(g) price
2015-03-26,7358
2015-03-27,7358
2015-03-28,7062
2015-03-29,6861
2015-03-30,6649
2015-03-31,6546
2015-04-01,6468
2015-04-02,6280
2015-04-03,6173
2015-04-04,6046
2015-04-05,6046
2015-04-06,5881
2015-04-07,5740
2015-04-08,5686
2015-04-09,5661
2015-04-10,5647
2015-04-11,5639
2015-04-12,5535
2015-04-13,5452
2015-04-14,5330
2015-04-15,5280
2015-04-16,5224
2015-04-17,5313
2015-04-18,5333
2015-04-19,5306
2015-04-20,5291
2015-04-21,5297
2015-04-22,5227
2015-04-23,5213
2015-04-24,5333
2015-04-25,5336
2015-04-26,5344
2015-04-27,5384
2015-04-28,5325
2015-04-29,5325
2015-04-30,5234
2015-05-01,5335
2015-05-02,5326
2015-05-03,5326
2015-05-04,5321
2015-05-05,5397
2015-05-06,5264
2015-05-07,5275
2015-05-08,5389
2015-05-09,5408
2015-05-10,5373
2015-05-11,5373
2015-05-12,5482
2015-05-13,5493
2015-05-14,5423
2015-05-15,5463
2015-05-16,5463
2015-05-17,5386
2015-05-18,5200
2015-05-19,5200
2015-05-20,5329
2015-05-21,5329
2015-05-22,5477
2015-05-23,5703
2015-05-24,5850
2015-05-25,5743
2015-05-26,5697
2015-05-27,5572
2015-05-28,5690
2015-05-29,5690
2015-05-30,5654
2015-05-31,5654
2015-06-01,5560
2015-06-02,5560
2015-06-03,5506
2015-06-04,5545
2015-06-05,5569
2015-06-06,5657
2015-06-07,5636
2015-06-08,5636
2015-06-09,5548
2015-06-10,5441
2015-06-11,5441
2015-06-12,5360
2015-06-13,5331
2015-06-14,5331
2015-06-15,5346
2015-06-16,5437
2015-06-17,5437
2015-06-18,5483
2015-06-19,5489
2015-06-20,5448
2015-06-21,5448
2015-06-22,5482
2015-06-23,5584
2015-06-24,5620
2015-06-25,5620
2015-06-26,5668
2015-06-27,5668
2015-06-28,5583
2015-06-29,5583
2015-06-30,5525
2015-07-01,5553
2015-07-02,5553
2015-07-03,5534
2015-07-04,5513
2015-07-05,5513
2015-07-06,5561
2015-07-07,5551
2015-07-08,5534
2015-07-09,5534
2015-07-10,5638
2015-07-11,5638
2015-07-12,5572
2015-07-13,5800
2015-07-14,5914
2015-07-15,5765
2015-07-16,5735
2015-07-17,5832
2015-07-18,5832
2015-07-19,5908
2015-07-20,5922
2015-07-21,5922
2015-07-22,5933
2015-07-23,5933
2015-07-24,5957
2015-07-25,5957
2015-07-26,5968
2015-07-27,5895
2015-07-28,5941
2015-07-29,5890
2015-07-30,5890
2015-07-31,5864
2015-08-01,5864
2015-08-02,5856
2015-08-03,5773
2015-08-04,5773
2015-08-05,5584
2015-08-06,5584
2015-08-07,5473
2015-08-08,5337
2015-08-09,5367
2015-08-10,5409
2015-08-11,5414
2015-08-12,5414
2015-08-13,5401
2015-08-14,5448
2015-08-15,5448
2015-08-16,5469
2015-08-17,5402
2015-08-18,5329
2015-08-19,5381
2015-08-20,5395
2015-08-21,5424
2015-08-22,5409
2015-08-23,5409
2015-08-24,5315
2015-08-25,5315
2015-08-26,5349
2015-08-27,5244
2015-08-28,5244
2015-08-29,5313
2015-08-30,5313
2015-08-31,5380
2015-09-01,5473
2015-09-02,5473
2015-09-03,5535
2015-09-04,5773
2015-09-05,5773
2015-09-06,5640
2015-09-07,5627
2015-09-08,5573
2015-09-09,5548
2015-09-10,5548
2015-09-11,5572
2015-09-12,5572
2015-09-13,5466
2015-09-14,5466
2015-09-15,5412
2015-09-16,5412
2015-09-17,5412
2015-09-18,5412
2015-09-19,5394
2015-09-20,5394
2015-09-21,5419
2015-09-22,5470
2015-09-23,5439
2015-09-24,5439
2015-09-25,5389
