date_obj,Drake's%20claw price
2019-01-10,1000000
2019-01-10,1050000
2019-01-11,1102168
2019-01-12,1156702
2019-01-13,1214538
2019-01-14,1275265
2019-01-15,1339029
2019-01-16,1404236
2019-01-17,1474448
2019-01-18,1548171
2019-01-19,1625580
2019-01-20,1706859
2019-01-21,1786883
2019-01-22,1876074
2019-01-23,1856909
2019-01-24,1767899
2019-01-25,1679504
2019-01-26,1595528
2019-01-27,1537120
2019-01-28,1542667
2019-01-29,1535650
2019-01-30,1559887
2019-01-31,1559887
2019-02-01,1555697
2019-02-02,1555697
2019-02-03,1587835
2019-02-04,1587835
2019-02-05,1544924
2019-02-06,1544924
2019-02-07,1470300
2019-02-08,1470300
2019-02-09,1407832
2019-02-10,1407832
2019-02-11,1358210
2019-02-12,1358210
2019-02-13,1352891
2019-02-14,1352891
2019-02-15,1386681
2019-02-16,1386681
2019-02-17,1384938
2019-02-18,1384938
2019-02-19,1379806
2019-02-20,1379806
2019-02-21,1386561
2019-02-22,1386561
2019-02-23,1449493
2019-02-24,1516966
2019-02-25,1516966
2019-02-26,1511616
2019-02-27,1511616
2019-02-28,1511616
2019-03-01,1438715
2019-03-02,1438715
2019-03-03,1370167
2019-03-04,1370167
2019-03-05,1315380
2019-03-06,1315380
2019-03-07,1259212
2019-03-08,1259212
2019-03-09,1259212
2019-03-10,1273469
2019-03-11,1273469
2019-03-12,1333978
2019-03-13,1333978
2019-03-14,1377131
2019-03-15,1377131
2019-03-16,1377131
2019-03-17,1337004
2019-03-18,1337004
2019-03-19,1337004
2019-03-20,1270153
2019-03-21,1270153
2019-03-22,1270153
2019-03-23,1207196
2019-03-24,1207196
2019-03-25,1153685
2019-03-26,1153685
2019-03-27,1129645
2019-03-28,1129645
2019-03-29,1106207
2019-03-30,1106207
2019-03-31,1106207
2019-04-01,1081914
2019-04-02,1081914
2019-04-03,1123773
2019-04-04,1123773
2019-04-05,1123773
2019-04-06,1136654
2019-04-07,1136654
2019-04-08,1139221
2019-04-09,1139221
2019-04-10,1139221
2019-04-11,1121423
2019-04-12,1121423
2019-04-13,1076379
2019-04-14,1076379
2019-04-15,1043726
2019-04-16,1043726
2019-04-17,1043726
2019-04-18,993622
2019-04-19,993622
2019-04-20,948828
2019-04-21,948828
2019-04-22,948828
2019-04-23,910168
2019-04-24,910168
2019-04-25,910168
2019-04-26,904466
2019-04-27,904466
2019-04-28,904466
2019-04-29,909513
2019-04-30,909513
2019-05-01,909513
2019-05-02,941342
2019-05-03,941342
2019-05-04,964118
2019-05-05,964118
2019-05-06,964118
2019-05-07,982992
2019-05-08,982992
2019-05-09,982992
2019-05-10,1017360
2019-05-11,1017360
2019-05-12,1025784
2019-05-13,1025784
2019-05-14,1071894
2019-05-15,1071894
2019-05-16,1071894
2019-05-17,1119705
2019-05-18,1119705
2019-05-19,1166296
2019-05-20,1166296
2019-05-21,1221555
2019-05-22,1221555
2019-05-23,1221555
2019-05-24,1279960
2019-05-25,1279960
2019-05-26,1329175
2019-05-27,1329175
2019-05-28,1298240
2019-05-29,1298240
2019-05-30,1298240
2019-05-31,1246811
2019-06-01,1246811
2019-06-02,1246811
2019-06-03,1195536
2019-06-04,1195536
2019-06-05,1140936
2019-06-06,1140936
2019-06-07,1140936
2019-06-08,1084402
2019-06-09,1084402
2019-06-10,1084402
2019-06-11,1030714
2019-06-12,1030714
2019-06-13,1030714
2019-06-14,1002468
2019-06-15,1002468
2019-06-16,1002468
2019-06-17,1005429
2019-06-18,1005429
2019-06-19,1005429
2019-06-20,1038533
2019-06-21,1038533
2019-06-22,1038533
2019-06-23,1051768
2019-06-24,1051768
2019-06-25,1051768
2019-06-26,1021528
2019-06-27,1021528
2019-06-28,1021528
2019-06-29,1008065
2019-06-30,1008065
2019-07-01,1050008
2019-07-02,1050008
2019-07-03,1050008
2019-07-04,1097308
2019-07-05,1097308
2019-07-06,1097308
2019-07-07,1148457
2019-07-08,1148457
2019-07-09,1148457
2019-07-10,1202991
2019-07-11,1202991
2019-07-12,1202991
2019-07-13,1171043
2019-07-14,1171043
2019-07-15,1171043
2019-07-16,1171589
2019-07-17,1171589
2019-07-18,1171589
2019-07-19,1133193
2019-07-20,1133193
2019-07-21,1081701
2019-07-22,1081701
2019-07-23,1081701
2019-07-24,1037890
2019-07-25,1037890
2019-07-26,1037890
2019-07-27,1021084
2019-07-28,1021084
2019-07-29,1021084
2019-07-30,994176
2019-07-31,994176
2019-08-01,994176
2019-08-02,973700
2019-08-03,973700
2019-08-04,973700
2019-08-05,986926
2019-08-06,986926
2019-08-07,986926
2019-08-08,997820
2019-08-09,997820
2019-08-10,997820
2019-08-11,960595
2019-08-12,960595
2019-08-13,960595
2019-08-14,990917
2019-08-15,990917
2019-08-16,965177
2019-08-17,965177
2019-08-18,965177
2019-08-19,925421
2019-08-20,925421
2019-08-21,925421
2019-08-22,923788
2019-08-23,923788
2019-08-24,923788
2019-08-24,923788
2019-08-25,904624
2019-08-25,904624
2019-08-26,904624
2019-08-27,904624
2019-08-27,904624
2019-08-28,899271
2019-08-29,899271
2019-08-30,899271
2019-08-31,899271
2019-09-01,873261
2019-09-02,873261
2019-09-03,873261
2019-09-04,873261
2019-09-05,859918
2019-09-06,859918
2019-09-07,859918
2019-09-08,870490
2019-09-09,870490
2019-09-10,870490
2019-09-11,870490
2019-09-12,900822
2019-09-13,900822
2019-09-14,900822
2019-09-15,900822
2019-09-16,906517
2019-09-17,906517
2019-09-18,906517
2019-09-19,906517
2019-09-20,919450
2019-09-21,919450
2019-09-22,919450
2019-09-23,924505
2019-09-24,924505
2019-09-25,924505
2019-09-26,924505
2019-09-27,913650
2019-09-28,913650
2019-09-29,913650
2019-09-30,913650
2019-10-01,919913
2019-10-02,919913
2019-10-03,919913
2019-10-04,919913
2019-10-05,925132
2019-10-06,925132
2019-10-07,925132
2019-10-08,929692
2019-10-09,929692
2019-10-10,929692
2019-10-11,929692
2019-10-12,910633
2019-10-13,910633
2019-10-14,910633
2019-10-15,902795
2019-10-16,902795
2019-10-17,902795
2019-10-18,896025
2019-10-19,896025
2019-10-20,896025
2019-10-21,896025
2019-10-22,908582
2019-10-23,908582
