date_obj,Long%20kebbit%20bolts price
2015-03-26,946
2015-03-27,946
2015-03-28,946
2015-03-29,946
2015-03-30,946
2015-03-31,958
2015-04-01,958
2015-04-02,958
2015-04-03,958
2015-04-04,958
2015-04-05,958
2015-04-06,958
2015-04-07,958
2015-04-08,958
2015-04-09,958
2015-04-10,958
2015-04-11,958
2015-04-12,958
2015-04-13,958
2015-04-14,970
2015-04-15,970
2015-04-16,970
2015-04-17,970
2015-04-18,970
2015-04-19,970
2015-04-20,970
2015-04-21,970
2015-04-22,970
2015-04-23,970
2015-04-24,970
2015-04-25,970
2015-04-26,970
2015-04-27,970
2015-04-28,980
2015-04-29,980
2015-04-30,980
2015-05-01,980
2015-05-02,980
2015-05-03,980
2015-05-04,980
2015-05-05,980
2015-05-06,980
2015-05-07,980
2015-05-08,980
2015-05-09,980
2015-05-10,980
2015-05-11,980
2015-05-12,980
2015-05-13,980
2015-05-14,980
2015-05-15,980
2015-05-16,980
2015-05-17,988
2015-05-18,988
2015-05-19,988
2015-05-20,988
2015-05-21,988
2015-05-22,988
2015-05-23,988
2015-05-24,988
2015-05-25,988
2015-05-26,988
2015-05-27,988
2015-05-28,988
2015-05-29,988
2015-05-30,986
2015-05-31,986
2015-06-01,986
2015-06-02,986
2015-06-03,986
2015-06-04,986
2015-06-05,986
2015-06-06,986
2015-06-07,986
2015-06-08,986
2015-06-09,986
2015-06-10,986
2015-06-11,986
2015-06-12,986
2015-06-13,986
2015-06-14,989
2015-06-15,989
2015-06-16,989
2015-06-17,989
2015-06-18,989
2015-06-19,989
2015-06-20,989
2015-06-21,989
2015-06-22,989
2015-06-23,989
2015-06-24,989
2015-06-25,989
2015-06-26,989
2015-06-27,989
2015-06-28,1000
2015-06-29,1000
2015-06-30,1000
2015-07-01,1000
2015-07-02,1000
2015-07-03,1000
2015-07-04,1000
2015-07-05,1000
2015-07-06,1000
2015-07-07,1000
2015-07-08,1000
2015-07-09,1000
2015-07-10,1000
2015-07-11,1031
2015-07-12,1031
2015-07-13,1031
2015-07-14,1031
2015-07-15,1031
2015-07-16,1031
2015-07-17,1031
2015-07-18,1031
2015-07-19,1031
2015-07-20,1031
2015-07-21,1031
2015-07-22,1031
2015-07-23,1031
2015-07-24,1031
2015-07-25,1058
2015-07-26,1058
2015-07-27,1058
2015-07-28,1058
2015-07-29,1058
2015-07-30,1058
2015-07-31,1058
2015-08-01,1058
2015-08-02,1058
2015-08-03,1058
2015-08-04,1058
2015-08-05,1070
2015-08-06,1070
2015-08-07,1070
2015-08-08,1070
2015-08-09,1070
2015-08-10,1070
2015-08-11,1070
2015-08-12,1070
2015-08-13,1070
2015-08-14,1070
2015-08-15,1070
2015-08-16,1064
2015-08-17,1064
2015-08-18,1064
2015-08-19,1064
2015-08-20,1064
2015-08-21,1064
2015-08-22,1064
2015-08-23,1064
2015-08-24,1064
2015-08-25,1064
2015-08-26,1064
2015-08-27,1064
2015-08-28,1064
2015-08-29,1064
2015-08-30,1064
2015-08-31,1064
2015-09-01,1064
2015-09-02,1064
2015-09-03,1064
2015-09-04,1064
2015-09-05,1064
2015-09-06,1064
2015-09-07,1064
2015-09-08,1064
2015-09-09,1080
2015-09-10,1080
2015-09-11,1080
2015-09-12,1080
2015-09-13,1080
2015-09-14,1080
2015-09-15,1080
2015-09-16,1080
2015-09-17,1080
2015-09-18,1080
2015-09-19,1080
2015-09-20,1080
2015-09-21,1080
2015-09-22,1080
2015-09-23,1121
2015-09-24,1121
2015-09-25,1121
2015-09-27,1121
2015-09-28,1121
2015-09-29,1121
2015-09-30,1121
2015-10-05,1121
2015-10-06,1121
2015-10-07,1121
2015-10-08,1121
2015-10-09,1121
2015-10-10,1146
2015-10-11,1146
2015-10-12,1146
2015-10-13,1146
2015-10-14,1146
2015-10-15,1146
2015-10-16,1146
2015-10-17,1146
2015-10-18,1146
2015-10-19,1146
2015-10-20,1146
2015-10-22,1146
2015-10-23,1146
2015-10-24,1142
2015-10-25,1142
2015-10-26,1142
2015-10-27,1142
2015-10-29,1142
2015-10-30,1142
2015-10-31,1142
2015-11-01,1142
2015-11-02,1142
2015-11-03,1142
2015-11-04,1142
2015-11-05,1142
2015-11-06,1177
2015-11-07,1177
2015-11-08,1177
2015-11-09,1177
2015-11-10,1177
2015-11-11,1177
2015-11-12,1177
2015-11-13,1177
2015-11-14,1177
2015-11-15,1177
