date_obj,Ring%20of%20coins price
2016-07-06,51703360
2016-07-07,51703360
2016-07-08,53873806
2016-07-09,53873806
2016-07-10,56242010
2016-07-11,56242010
2016-07-12,58833630
2016-07-13,58833630
2016-07-14,61109893
2016-07-15,61109893
2016-07-16,61109893
2016-07-17,63962802
2016-07-18,63962802
2016-07-23,69186192
2016-07-24,69186192
2016-07-25,69186192
2016-07-26,69186192
2016-07-27,67877139
2016-07-28,67877139
2016-07-29,67877139
2016-07-30,67512898
2016-07-31,67512898
2016-08-01,67512898
2016-08-02,67512898
2016-08-03,64217812
2016-08-04,64217812
2016-08-05,64217812
2016-08-06,64217812
2016-08-07,61027145
2016-08-08,61027145
2016-08-09,61027145
2016-08-10,61027145
2016-08-11,57975787
2016-08-12,57975787
2016-08-13,57975787
2016-08-14,57975787
2016-08-15,55076997
2016-08-16,55076997
2016-08-17,55076997
2016-08-18,52342271
2016-08-19,52342271
2016-08-20,49729663
2016-08-21,49729663
2016-08-22,49729663
2016-08-23,49729663
2016-08-24,47243179
2016-08-25,47243179
2016-08-26,47243179
2016-08-28,44881020
2016-08-31,44881020
2016-09-01,42636969
2016-09-02,42636969
2016-09-03,42636969
2016-09-04,42636969
2016-09-05,42636969
2016-09-06,42636969
2016-09-07,40505120
2016-09-08,40505120
2016-09-09,40505120
2016-09-10,40505120
2016-09-11,40505120
2016-09-12,40505120
2016-09-13,40505120
2016-09-14,38479864
2016-09-15,38479864
2016-09-16,38479864
2016-09-17,38479864
2016-09-18,38479864
2016-09-19,36555870
2016-09-20,36555870
2016-09-21,36555870
2016-09-22,36555870
2016-09-23,34739945
2016-09-24,34739945
2016-09-25,34739945
2016-09-26,34739945
2016-09-27,34739945
2016-09-28,33002947
2016-09-29,33002947
2016-09-30,33002947
2016-10-01,31376125
2016-10-02,31376125
2016-10-03,31376125
2016-10-04,31376125
2016-10-05,29807318
2016-10-06,29807318
2016-10-07,29807318
2016-10-08,28328687
2016-10-09,28328687
2016-10-10,28328687
2016-10-11,28328687
2016-10-12,28328687
2016-10-13,26912252
2016-10-14,26912252
2016-10-15,26912252
2016-10-16,26912252
2016-10-17,25566639
2016-10-18,25566639
2016-10-19,25566639
2016-10-20,25566639
2016-10-21,24288307
2016-10-22,24288307
2016-10-23,24288307
2016-10-24,23083845
2016-10-25,23083845
2016-10-26,23083845
2016-10-27,23083845
2016-10-28,21929652
2016-10-29,21929652
2016-10-30,21929652
2016-10-31,21929652
2016-11-01,20833169
2016-11-02,20833169
2016-11-03,20833169
2016-11-04,20106002
2016-11-05,20106002
2016-11-06,20106002
2016-11-07,20106002
2016-11-08,20673669
2016-11-09,20673669
2016-11-10,20673669
2016-11-11,20882394
2016-11-12,20882394
2016-11-13,20882394
2016-11-14,21803750
2016-12-08,28801049
2016-12-09,27360996
2016-12-10,27360996
2016-12-11,27360996
2016-12-12,25992946
2016-12-13,25992946
2016-12-14,24693298
2016-12-15,24693298
2016-12-16,23458633
2016-12-17,23458633
2016-12-18,22285701
2016-12-19,22285701
2016-12-20,21693898
