date_obj,Dragon%20javelin price
2016-05-05,24152
2016-05-06,22944
2016-05-07,21796
2016-05-08,20706
2016-05-09,19670
2016-05-10,18686
2016-05-11,17751
2016-05-12,16863
2016-05-13,16019
2016-05-14,15218
2016-05-15,14457
2016-05-16,13734
2016-05-17,13047
2016-05-18,1433
2016-05-19,1381
2016-05-22,1243
2016-05-23,1180
2016-05-24,1121
2016-05-25,1065
2016-05-26,1018
2016-05-27,1017
2016-05-28,1058
2016-05-29,1101
2016-05-30,1073
2016-05-31,1085
2016-06-01,1112
2016-06-02,1113
2016-06-03,1154
2016-06-04,1212
2016-06-05,1273
2016-06-06,1301
2016-06-07,1297
2016-06-08,1342
2016-06-09,1405
2016-06-10,1362
2016-06-11,1298
2016-06-12,1257
2016-06-13,1214
2016-06-14,1186
2016-06-15,1159
2016-06-16,1178
2016-06-17,1130
2016-06-18,1110
2016-06-19,1095
2016-06-20,1093
2016-06-21,1078
2016-06-22,1051
2016-06-23,1034
2016-06-24,1023
2016-06-25,1001
2016-06-26,991
2016-06-27,998
2016-06-28,992
2016-06-29,1002
2016-06-30,1010
2016-07-01,1010
2016-07-02,1019
2016-07-03,1025
2016-07-04,1042
2016-07-05,1016
2016-07-06,1008
2016-07-07,996
2016-07-08,1021
2016-07-09,1022
2016-07-10,1046
2016-07-11,1085
2016-07-12,1120
2016-07-13,1121
2016-07-14,1164
2016-07-15,1209
2016-07-16,1248
2016-07-17,1279
2016-07-18,1219
2016-07-23,1177
2016-07-24,1210
2016-07-25,1256
2016-07-26,1279
2016-07-27,1298
2016-07-28,1359
2016-07-29,1421
2016-07-30,1493
2016-07-31,1568
2016-08-01,1636
2016-08-02,1629
2016-08-03,1626
2016-08-04,1636
2016-08-05,1621
2016-08-06,1614
2016-08-07,1601
2016-08-08,1574
2016-08-09,1530
2016-08-10,1472
2016-08-11,1464
2016-08-12,1476
2016-08-13,1471
2016-08-14,1453
2016-08-15,1416
2016-08-16,1393
2016-08-17,1381
2016-08-18,1348
2016-08-19,1310
2016-08-20,1280
2016-08-21,1276
2016-08-22,1240
2016-08-23,1276
2016-08-24,1281
2016-08-25,1281
2016-08-26,1328
2016-08-28,1303
2016-08-31,1197
2016-09-01,1222
2016-09-02,1264
2016-09-03,1273
2016-09-04,1325
2016-09-05,1392
2016-09-06,1458
2016-09-07,1522
2016-09-08,1580
2016-09-09,1573
2016-09-10,1614
2016-09-11,1650
2016-09-12,1657
2016-09-13,1681
2016-09-14,1686
2016-09-15,1665
2016-09-16,1685
2016-09-17,1678
2016-09-18,1665
2016-09-19,1680
2016-09-20,1689
2016-09-21,1635
2016-09-22,1589
2016-09-23,1637
2016-09-24,1638
2016-09-25,1697
2016-09-26,1781
2016-09-27,1866
2016-09-28,1953
2016-09-29,2030
2016-09-30,2073
2016-10-01,2134
2016-10-02,2063
2016-10-03,2000
2016-10-04,1947
2016-10-05,1981
2016-10-06,2012
2016-10-07,2008
2016-10-08,1990
2016-10-09,1965
2016-10-10,1927
2016-10-11,1950
2016-10-12,1946
2016-10-13,1983
2016-10-14,2074
2016-10-15,2148
2016-10-16,2233
2016-10-17,2343
2016-10-18,2461
2016-10-19,2583
2016-10-20,2699
2016-10-21,2691
2016-10-22,2655
2016-10-23,2610
2016-10-24,2517
2016-10-25,2391
2016-10-26,2277
2016-10-27,2305
2016-10-28,2421
2016-10-29,2543
2016-10-30,2630
2016-10-31,2498
2016-11-01,2373
2016-11-02,2254
2016-11-03,2141
2016-11-04,2033
2016-11-05,1933
2016-11-06,1840
2016-11-07,1781
2016-11-08,1695
2016-11-09,1620
2016-11-10,1627
2016-11-11,1545
2016-11-12,1467
2016-11-13,1393
2016-11-14,1329
2016-11-15,1314
2016-12-07,1167
2016-12-08,1113
2016-12-09,1058
2016-12-10,1008
2016-12-11,957
2016-12-12,909
2016-12-13,863
2016-12-14,872
2016-12-15,916
2016-12-16,954
2016-12-17,958
2016-12-18,942
2016-12-19,931
2016-12-20,939
2016-12-21,934
2016-12-22,942
2016-12-23,932
2016-12-24,934
2016-12-25,925
2016-12-26,945
2016-12-27,930
2016-12-28,894
2016-12-29,853
2016-12-30,831
2016-12-31,850
2017-01-01,889
2017-01-02,917
2017-01-03,923
2017-01-04,900
2017-01-05,867
2017-01-06,872
2017-01-07,855
2017-01-08,816
2017-01-09,784
2017-01-10,772
2017-01-11,791
2017-01-12,803
2017-01-13,798
2017-01-14,812
2017-01-15,782
2017-01-16,751
2017-01-17,772
2017-01-18,764
2017-01-19,786
2017-01-20,822
2017-01-21,864
2017-01-22,908
2017-01-23,949
2017-01-27,977
2017-01-28,971
2017-01-29,940
2017-01-30,925
2017-01-31,920
