date_obj,Tribal%20top%20(yellow) price
2016-01-08,12676
2016-01-09,12676
2016-01-10,12676
2016-01-11,12676
2016-01-12,12676
2016-01-13,12676
2016-01-14,12048
2016-01-15,12048
2016-01-16,12048
2016-01-17,12048
2016-01-18,12048
2016-01-19,12048
2016-01-20,12048
2016-01-21,12048
2016-01-22,12048
2016-01-23,12048
2016-01-24,12048
2016-01-25,12048
2016-01-26,11486
2016-01-27,11486
2016-01-28,11486
2016-01-29,11486
2016-01-30,11486
2016-01-31,11486
2016-02-01,11486
2016-02-02,11486
2016-02-03,11486
2016-02-04,11486
2016-02-05,11486
2016-02-06,10924
2016-02-07,10924
2016-02-08,10924
2016-02-09,10924
2016-02-10,10924
2016-02-11,10924
2016-02-12,10924
2016-02-13,10924
2016-02-14,10924
2016-02-15,10399
2016-02-16,10399
2016-02-17,10399
2016-02-18,10399
2016-02-19,10399
2016-02-20,10399
2016-02-21,10399
2016-02-22,10399
2016-02-23,9922
2016-02-24,9922
2016-02-25,9922
2016-02-26,9922
2016-02-27,9922
2016-02-28,9922
2016-02-29,9922
2016-03-01,9922
2016-03-02,9922
2016-03-03,9439
2016-03-04,9439
2016-03-05,9439
2016-03-06,9439
2016-03-07,9439
2016-03-08,9439
2016-03-09,9439
2016-03-10,9439
2016-03-11,9439
2016-03-12,8971
2016-03-13,8971
2016-03-14,8971
2016-03-15,8971
2016-03-16,8971
2016-03-17,8971
2016-03-18,8971
2016-03-19,8971
2016-03-20,8971
2016-03-21,8535
2016-03-22,8535
2016-03-23,8535
2016-03-24,8535
2016-03-25,8535
2016-03-26,8535
2016-03-27,8535
2016-03-28,8535
2016-03-29,8535
2016-03-30,8132
2016-03-31,8132
2016-04-01,8132
2016-04-02,8132
2016-04-03,8132
2016-04-04,8132
2016-04-05,8132
2016-04-06,8132
2016-04-07,8132
2016-04-08,7752
2016-04-09,7752
2016-04-10,7752
2016-04-11,7752
2016-04-12,7752
2016-04-13,7752
2016-04-14,7752
2016-04-15,7752
2016-04-16,7392
2016-04-17,7392
2016-04-18,7392
2016-04-19,7392
2016-04-20,7392
2016-04-21,7392
2016-04-22,7392
2016-04-23,7392
2016-04-24,7049
2016-04-25,7049
2016-04-26,7049
2016-04-27,7049
2016-04-28,7049
2016-04-29,7049
2016-04-30,7049
2016-05-01,7049
2016-05-02,6708
2016-05-03,6708
2016-05-04,6708
2016-05-05,6708
2016-05-06,6708
2016-05-07,6708
2016-05-08,6708
2016-05-09,6708
2016-05-10,6708
2016-05-11,6708
2016-05-12,6381
2016-05-13,6381
2016-05-14,6381
2016-05-15,6381
2016-05-16,6381
2016-05-17,6381
2016-05-18,6381
2016-05-19,6381
2016-05-20,6381
2016-05-21,6067
2016-05-22,6067
2016-05-23,6067
2016-05-24,6067
2016-05-25,6067
2016-05-26,6067
2016-05-27,6067
2016-05-28,6067
2016-05-29,6067
2016-05-30,6067
2016-05-31,5774
2016-06-01,5774
2016-06-02,5774
2016-06-03,5774
2016-06-04,5774
2016-06-05,5774
2016-06-06,5774
2016-06-07,5774
2016-06-08,5774
2016-06-09,5507
2016-06-10,5507
2016-06-11,5507
2016-06-12,5507
2016-06-13,5507
2016-06-14,5507
2016-06-15,5507
2016-06-16,5507
2016-06-17,5507
2016-06-18,5507
2016-06-19,5507
2016-06-20,5507
2016-06-21,5507
2016-06-22,5507
2016-06-23,5314
2016-06-24,5314
2016-06-25,5314
2016-06-26,5314
2016-06-27,5314
2016-06-28,5314
2016-06-29,5314
2016-06-30,5314
2016-07-01,5314
2016-07-02,5314
2016-07-03,5314
2016-07-04,5314
2016-07-05,5314
2016-07-06,5314
2016-07-07,5056
2016-07-08,5056
2016-07-09,5056
2016-07-10,5056
2016-07-11,5056
2016-07-12,5056
2016-07-13,5056
2016-07-14,5056
2016-07-15,5056
2016-07-16,5056
2016-07-17,5056
2016-07-18,4917
2016-07-19,4917
2016-07-20,4917
2016-07-21,4917
2016-07-22,4917
2016-07-23,4917
2016-07-24,4917
2016-07-25,4917
2016-07-26,4917
2016-07-27,4917
2016-07-28,4917
2016-07-29,4917
2016-07-30,4917
2016-07-31,4917
2016-08-01,4816
2016-08-02,4816
2016-08-03,4816
2016-08-04,4816
2016-08-05,4816
2016-08-06,4816
2016-08-07,4816
2016-08-08,4816
2016-08-09,4816
2016-08-10,4816
2016-08-11,4816
2016-08-12,4816
2016-08-13,4816
2016-08-14,4816
2016-08-15,4816
2016-08-16,4816
2016-08-17,4578
2016-08-18,4578
2016-08-19,4578
2016-08-20,4578
2016-08-21,4578
2016-08-22,4578
2016-08-23,4578
2016-08-24,4578
2016-08-25,4578
2016-08-26,4578
2016-08-27,4578
2016-08-28,4578
2016-08-29,4436
2016-08-30,4436
2016-08-31,4436
2016-09-01,4436
2016-09-02,4436
2016-09-03,4436
2016-09-04,4436
2016-09-05,4436
2016-09-06,4436
2016-09-07,4436
2016-09-08,4436
2016-09-09,4436
2016-09-10,4436
2016-09-11,4436
2016-09-12,4436
2016-09-13,4290
2016-09-14,4290
2016-09-15,4290
2016-09-16,4290
2016-09-17,4290
2016-09-18,4290
2016-09-19,4290
2016-09-20,4290
2016-09-21,4290
2016-09-22,4290
2016-09-23,4290
2016-09-24,4290
2016-09-25,4290
2016-09-26,4290
2016-09-27,4290
2016-09-28,4290
2016-09-29,4284
2016-09-30,4284
2016-10-01,4284
2016-10-02,4284
2016-10-03,4284
2016-10-04,4284
2016-10-05,4284
2016-10-06,4284
2016-10-07,4284
2016-10-08,4284
2016-10-09,4284
2016-10-10,4284
2016-10-11,4284
2016-10-12,4284
2016-10-13,4284
2016-10-14,4284
2016-10-15,4284
2016-10-16,4284
2016-10-17,4284
2016-10-18,4116
2016-10-19,4116
2016-10-20,4116
2016-10-21,4116
2016-10-22,4116
2016-10-23,4116
2016-10-24,4116
2016-10-25,4116
2016-10-26,4116
2016-10-27,4116
2016-10-28,4116
2016-10-29,4116
2016-10-30,4116
2016-10-31,4116
2016-11-01,4116
2016-11-02,4116
2016-11-03,4042
2016-11-04,4042
2016-11-05,4042
2016-11-06,4042
2016-11-07,4042
2016-11-08,4042
2016-11-09,4042
2016-11-10,4042
2016-11-11,4042
2016-11-12,4042
2016-11-13,4042
2016-11-14,4042
2016-11-15,4042
2016-11-16,4042
2016-11-17,4042
2016-11-18,4042
2016-11-19,4077
2016-11-20,4077
2016-11-21,4077
2016-11-22,4077
2016-11-23,4077
2016-11-24,4077
2016-11-25,4077
2016-11-26,4077
2016-11-27,4077
2016-11-28,4077
2016-11-29,4077
2016-11-30,4077
2016-12-01,4077
2016-12-02,4077
2016-12-03,4077
2016-12-04,4077
2016-12-05,4028
2016-12-06,4028
2016-12-07,4028
2016-12-08,4028
2016-12-09,4028
2016-12-10,4028
2016-12-11,4028
2016-12-12,4028
2016-12-13,4028
2016-12-14,4028
2016-12-15,4028
2016-12-16,4028
2016-12-17,4028
2016-12-18,4028
2016-12-19,4028
2016-12-20,4028
2016-12-21,4028
2016-12-22,4028
2016-12-23,4077
2016-12-24,4077
2016-12-25,4077
2016-12-26,4077
2016-12-27,4077
2016-12-28,4077
2016-12-29,4077
2016-12-30,4077
2016-12-31,4077
2017-01-01,4077
2017-01-02,4077
2017-01-03,4077
2017-01-04,4077
2017-01-05,4077
2017-01-06,4077
2017-01-07,4077
2017-01-08,4077
2017-01-09,4077
2017-01-10,3874
2017-01-11,3874
2017-01-12,3874
2017-01-13,3874
2017-01-14,3874
2017-01-15,3874
2017-01-16,3874
2017-01-17,3874
2017-01-18,3874
2017-01-19,3874
2017-01-20,3874
2017-01-21,3874
2017-01-22,3787
2017-01-23,3787
2017-01-24,3787
2017-01-25,3787
2017-01-26,3787
2017-01-27,3787
2017-01-28,3787
2017-01-29,3787
2017-01-30,3787
2017-01-31,3787
2017-02-01,3787
2017-02-02,3787
2017-02-03,3787
2017-02-04,3787
2017-02-05,3875
2017-02-06,3875
2017-02-07,3875
2017-02-08,3875
2017-02-09,3875
2017-02-10,3875
2017-02-11,3875
2017-02-12,3875
2017-02-13,3875
2017-02-14,3875
2017-02-15,3875
2017-02-16,3875
2017-02-17,3875
2017-02-18,3875
2017-02-19,3875
2017-02-20,3875
2017-02-21,3875
2017-02-22,3875
2017-02-23,3875
2017-02-24,3875
2017-02-25,3804
2017-02-26,3804
2017-02-27,3804
2017-02-28,3804
2017-03-01,3804
2017-03-02,3804
2017-03-03,3804
2017-03-04,3804
2017-03-05,3804
2017-03-06,3804
2017-03-07,3804
2017-03-08,3804
2017-03-09,3804
2017-03-10,3804
2017-03-11,3804
2017-03-12,3804
2017-03-13,3715
2017-03-14,3715
2017-03-15,3715
2017-03-16,3715
2017-03-17,3715
2017-03-18,3715
2017-03-19,3715
2017-03-20,3715
2017-03-21,3715
2017-03-22,3715
2017-03-23,3715
2017-03-24,3715
2017-03-25,3715
2017-03-26,3715
2017-03-27,3715
2017-03-28,3715
2017-03-29,3638
2017-03-30,3638
2017-03-31,3638
2017-04-01,3638
2017-04-02,3638
2017-04-03,3638
2017-04-04,3638
2017-04-05,3638
2017-04-06,3638
2017-04-07,3638
2017-04-08,3638
2017-04-09,3638
2017-04-10,3638
2017-04-11,3638
2017-04-12,3638
2017-04-13,3638
2017-04-14,3716
2017-04-15,3716
2017-04-16,3716
2017-04-17,3716
2017-04-18,3716
2017-04-19,3716
2017-04-20,3716
2017-04-21,3716
2017-04-22,3716
2017-04-23,3716
2017-04-24,3716
2017-04-25,3716
2017-04-26,3716
2017-04-27,3716
2017-04-28,3716
2017-04-29,3716
2017-04-30,3716
2017-05-01,3726
