date_obj,Cake%20tin price
2015-03-26,45
2015-03-27,46
2015-03-28,46
2015-03-29,49
2015-03-30,49
2015-03-31,49
2015-04-01,49
2015-04-02,49
2015-04-03,52
2015-04-04,52
2015-04-05,53
2015-04-06,53
2015-04-07,51
2015-04-08,51
2015-04-09,51
2015-04-10,52
2015-04-11,52
2015-04-12,52
2015-04-13,55
2015-04-14,55
2015-04-15,55
2015-04-16,58
2015-04-17,58
2015-04-18,58
2015-04-19,59
2015-04-20,59
2015-04-21,59
2015-04-22,61
2015-04-23,61
2015-04-24,61
2015-04-25,65
2015-04-26,65
2015-04-27,65
2015-04-28,65
2015-04-29,65
2015-04-30,65
2015-05-01,67
2015-05-02,67
2015-05-03,67
2015-05-04,69
2015-05-05,69
2015-05-06,71
2015-05-07,71
2015-05-08,73
2015-05-09,73
2015-05-10,71
2015-05-11,71
2015-05-12,68
2015-05-13,68
2015-05-14,70
2015-05-15,70
2015-05-16,70
2015-05-17,72
2015-05-18,72
2015-05-19,72
2015-05-20,73
2015-05-21,73
2015-05-22,73
2015-05-23,73
2015-05-24,73
2015-05-25,72
2015-05-26,72
2015-05-27,72
2015-05-28,74
2015-05-29,74
2015-05-30,77
2015-05-31,77
2015-06-01,78
2015-06-02,78
2015-06-03,78
2015-06-04,77
2015-06-05,77
2015-06-06,75
2015-06-07,75
2015-06-08,73
2015-06-09,73
2015-06-10,73
2015-06-11,73
2015-06-12,73
2015-06-13,72
2015-06-14,72
2015-06-15,71
2015-06-16,71
2015-06-17,70
2015-06-18,70
2015-06-19,69
2015-06-20,69
2015-06-21,69
2015-06-22,69
2015-06-23,67
2015-06-24,67
2015-06-25,67
2015-06-26,68
2015-06-27,68
2015-06-28,68
2015-06-29,68
2015-06-30,68
2015-07-01,68
2015-07-02,68
2015-07-03,67
2015-07-04,67
2015-07-05,67
2015-07-06,67
2015-07-07,67
2015-07-08,66
2015-07-09,66
2015-07-10,66
2015-07-11,67
2015-07-12,67
2015-07-13,68
2015-07-14,68
