date_obj,Light%20tuxedo%20jacket price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,5000000
2016-07-10,5155611
2016-07-11,5155611
2016-07-12,5155611
2016-07-13,5155611
2016-07-14,5155611
2016-07-15,5155611
2016-07-16,5155611
2016-07-17,5155611
2016-07-18,5155611
2016-07-23,5155611
2016-07-24,5155611
2016-07-25,5155611
2016-07-26,5155611
2016-07-27,5155611
2016-07-28,5354762
2016-07-29,5354762
2016-07-30,5354762
2016-07-31,5354762
2016-08-01,5354762
2016-08-02,5354762
2016-08-03,5354762
2016-08-04,5354762
2016-08-05,5354762
2016-08-06,5354762
2016-08-07,5354762
2016-08-08,5354762
2016-08-09,5354762
2016-08-10,5354762
2016-08-11,5354762
2016-08-12,5354762
2016-08-13,5354762
2016-08-14,5354762
2016-08-15,5354762
2016-08-16,5354762
2016-08-17,5354762
2016-08-18,5354762
2016-08-19,5354762
2016-08-20,5354762
2016-08-21,5354762
2016-08-22,5354762
2016-08-23,5569456
2016-08-24,5569456
2016-08-25,5569456
2016-08-26,5569456
2016-08-28,5569456
2016-08-31,5569456
2016-09-01,5569456
2016-09-02,5569456
2016-09-03,5569456
2016-09-04,5569456
2016-09-05,5569456
2016-09-06,5569456
2016-09-07,5569456
2016-09-08,5569456
2016-09-09,5569456
2016-09-10,5569456
2016-09-11,5569456
2016-09-12,5569456
2016-09-13,5569456
2016-09-14,5569456
2016-09-15,5569456
2016-09-16,5569456
2016-09-17,5569456
2016-09-18,5569456
2016-09-19,5569456
2016-09-20,5569456
2016-09-21,5569456
2016-09-22,5569456
2016-09-23,5569456
2016-09-24,5777182
2016-09-25,5777182
2016-09-26,5777182
2016-09-27,5777182
2016-09-28,5777182
2016-09-29,5777182
2016-09-30,5777182
2016-10-01,5777182
2016-10-02,5777182
2016-10-03,5777182
2016-10-04,5777182
2016-10-05,5777182
2016-10-06,5777182
2016-10-07,5777182
2016-10-08,5777182
2016-10-09,5777182
2016-10-10,5777182
2016-10-11,5777182
2016-10-12,5777182
2016-10-13,5777182
2016-10-14,5777182
2016-10-15,5777182
2016-10-16,5777182
2016-10-17,5777182
2016-10-18,5777182
2016-10-19,5777182
2016-10-20,5777182
2016-10-21,5777182
2016-10-22,5777182
2016-10-23,5777182
2016-10-24,5777182
2016-10-25,5777182
2016-10-26,5777182
2016-10-27,5777182
2016-10-28,5777182
2016-10-29,6009718
2016-10-30,6009718
2016-10-31,6009718
2016-11-01,6009718
2016-11-02,6009718
2016-11-03,6009718
2016-11-04,6009718
2016-11-05,6009718
2016-11-06,6009718
2016-11-07,6009718
2016-11-08,6009718
2016-11-09,6009718
2016-11-10,6009718
2016-11-11,6009718
2016-11-12,6009718
2016-11-13,6009718
2016-11-14,6009718
2016-12-07,6135689
2016-12-08,6135689
2016-12-09,6135689
2016-12-10,6135689
2016-12-11,6135689
2016-12-12,6135689
2016-12-13,6135689
2016-12-14,6135689
2016-12-15,6135689
2016-12-16,6135689
2016-12-17,6135689
2016-12-18,6135689
2016-12-19,6135689
2016-12-20,6135689
2016-12-21,6135689
2016-12-22,6135689
2016-12-23,6135689
2016-12-24,6135689
2016-12-25,6135689
2016-12-26,6135689
2016-12-27,6135689
2016-12-28,6135689
2016-12-29,6135689
2016-12-30,6135689
2016-12-31,6135689
2017-01-01,6135689
2017-01-02,6135689
2017-01-03,6135689
2017-01-04,6135689
2017-01-05,6135689
2017-01-06,6135689
2017-01-07,6135689
2017-01-08,6135689
2017-01-09,6135689
2017-01-10,6135689
2017-01-11,6135689
2017-01-12,6135689
2017-01-13,6135689
2017-01-14,6135689
2017-01-15,6135689
2017-01-16,6135689
2017-01-17,6135689
2017-01-18,6135689
2017-01-19,6135689
2017-01-20,6001440
2017-01-21,6001440
2017-01-22,6001440
2017-01-27,6001440
2017-01-28,6001440
2017-01-29,6001440
2017-01-30,6001440
2017-01-31,6001440
2017-02-01,6001440
2017-02-02,6001440
2017-02-03,6001440
2017-02-04,6001440
2017-02-05,6001440
2017-02-06,6001440
2017-02-07,6001440
2017-02-08,6001440
2017-02-09,6001440
2017-02-10,6001440
2017-02-11,6001440
2017-02-12,6001440
2017-02-13,6001440
2017-02-14,6001440
2017-02-15,6001440
2017-02-16,6001440
2017-02-18,6001440
2017-02-19,6001440
2017-02-20,6001440
2017-02-21,6001440
2017-02-22,6001440
2017-02-23,6001440
2017-02-24,6001440
2017-02-25,6001440
2017-02-26,6001440
2017-02-27,6001440
2017-02-28,5703602
2017-03-01,5703602
2017-03-02,5703602
2017-03-03,5703602
2017-03-04,5703602
2017-03-05,5703602
2017-03-06,5703602
2017-03-07,5703602
2017-03-08,5703602
2017-03-09,5703602
2017-03-10,5703602
2017-03-11,5703602
2017-03-12,5703602
2017-03-13,5703602
2017-03-14,5703602
2017-03-15,5703602
2017-03-16,5703602
2017-03-17,5703602
2017-03-18,5703602
2017-03-19,5703602
2017-03-20,5703602
2017-03-21,5703602
2017-03-22,5703602
2017-03-23,5703602
2017-03-24,5703602
2017-03-25,5703602
2017-03-26,5703602
2017-03-27,5703602
2017-03-28,5703602
2017-03-29,5703602
2017-03-30,5703602
2017-03-31,5418421
2017-04-01,5418421
2017-04-02,5418421
2017-04-03,5418421
2017-04-04,5418421
2017-04-12,5418421
2017-04-13,5418421
2017-04-14,5418421
2017-04-15,5418421
2017-04-16,5418421
2017-04-17,5418421
2017-04-18,5418421
2017-04-19,5418421
2017-04-20,5418421
2017-04-21,5418421
2017-04-22,5418421
2017-04-23,5418421
2017-04-24,5418421
2017-04-25,5418421
2017-04-26,5418421
2017-04-27,5418421
2017-04-28,5418421
2017-04-29,5418421
2017-04-30,5418421
2017-05-01,5418421
2017-05-02,5149465
2017-05-03,5149465
2017-05-04,5149465
2017-05-05,5149465
2017-05-06,5149465
2017-05-07,5149465
2017-05-08,5149465
2017-05-09,5149465
2017-05-10,5149465
2017-05-11,5149465
2017-05-12,5149465
2017-05-13,5149465
2017-05-14,5149465
2017-05-15,5149465
2017-05-16,5149465
2017-05-17,5149465
2017-05-18,5149465
2017-05-19,5149465
2017-05-20,5149465
2017-05-21,5149465
2017-05-22,5149465
2017-05-23,5149465
2017-05-24,5149465
2017-05-25,5149465
2017-05-26,5149465
2017-05-27,5149465
2017-05-28,4892847
2017-05-29,4892847
2017-05-30,4892847
2017-05-31,4892847
2017-06-01,4892847
2017-06-02,4892847
2017-06-03,4892847
2017-06-06,4892847
2017-06-07,4892847
2017-06-08,4892847
2017-06-09,4892847
2017-06-10,4892847
2017-06-11,4892847
2017-06-12,4892847
2017-06-13,4892847
2017-06-14,4892847
2017-06-15,4892847
2017-06-16,4892847
