date_obj,Bolt%20mould price
2015-03-26,2383
2015-03-27,2383
2015-03-28,2383
2015-03-29,2383
2015-03-30,2383
2015-03-31,2383
2015-04-01,2383
2015-04-02,2383
2015-04-03,2383
2015-04-04,2383
2015-04-05,2383
2015-04-06,2383
2015-04-07,2383
2015-04-08,2383
2015-04-09,2383
2015-04-10,2383
2015-04-11,2383
2015-04-12,2383
2015-04-13,2383
2015-04-14,2383
2015-04-15,2383
2015-04-16,2383
2015-04-17,2383
2015-04-18,2383
2015-04-19,2383
2015-04-20,2383
2015-04-21,2383
2015-04-22,2383
2015-04-23,2383
2015-04-24,2268
2015-04-25,2268
2015-04-26,2268
2015-04-27,2268
2015-04-28,2268
2015-04-29,2268
2015-04-30,2268
2015-05-01,2268
2015-05-02,2268
2015-05-03,2268
2015-05-04,2268
2015-05-05,2268
2015-05-06,2268
2015-05-07,2268
2015-05-08,2268
2015-05-09,2268
2015-05-10,2268
2015-05-11,2268
2015-05-12,2268
2015-05-13,2268
2015-05-14,2268
2015-05-15,2268
2015-05-16,2268
2015-05-17,2268
2015-05-18,2268
2015-05-19,2268
2015-05-20,2268
2015-05-21,2268
2015-05-22,2268
2015-05-23,2159
2015-05-24,2159
2015-05-25,2159
2015-05-26,2159
2015-05-27,2159
2015-05-28,2159
2015-05-29,2159
2015-05-30,2159
2015-05-31,2159
2015-06-01,2159
2015-06-02,2159
2015-06-03,2159
2015-06-04,2159
2015-06-05,2159
2015-06-06,2159
2015-06-07,2159
2015-06-08,2159
2015-06-09,2159
2015-06-10,2159
2015-06-11,2159
2015-06-12,2054
2015-06-13,2054
2015-06-14,2054
2015-06-15,2054
2015-06-16,2054
2015-06-17,2054
2015-06-18,2054
2015-06-19,2054
2015-06-20,2054
2015-06-21,2054
2015-06-22,2054
2015-06-23,2054
2015-06-24,2054
2015-06-25,2054
2015-06-26,2054
2015-06-27,2054
2015-06-28,2054
2015-06-29,2054
2015-06-30,1956
2015-07-01,1956
2015-07-02,1956
2015-07-03,1956
2015-07-04,1956
2015-07-05,1956
2015-07-06,1956
2015-07-07,1956
2015-07-08,1956
2015-07-09,1956
2015-07-10,1956
2015-07-11,1956
2015-07-12,1956
2015-07-13,1956
2015-07-14,1956
2015-07-15,1956
2015-07-16,1956
2015-07-17,1868
2015-07-18,1868
2015-07-19,1868
2015-07-20,1868
2015-07-21,1868
2015-07-22,1868
2015-07-23,1868
2015-07-24,1868
2015-07-25,1868
2015-07-26,1868
2015-07-27,1868
2015-07-28,1868
2015-07-29,1868
2015-07-30,1868
2015-07-31,1868
2015-08-01,1868
2015-08-02,1868
2015-08-03,1780
2015-08-04,1780
2015-08-05,1780
2015-08-06,1780
2015-08-07,1780
2015-08-08,1780
2015-08-09,1780
2015-08-10,1780
2015-08-11,1780
2015-08-12,1780
2015-08-13,1780
2015-08-14,1780
2015-08-15,1780
2015-08-16,1780
2015-08-17,1780
2015-08-18,1780
2015-08-19,1780
2015-08-20,1780
2015-08-21,1693
2015-08-22,1693
2015-08-23,1693
2015-08-24,1693
2015-08-25,1693
2015-08-26,1693
2015-08-27,1693
2015-08-28,1693
2015-08-29,1693
2015-08-30,1693
2015-08-31,1693
2015-09-01,1693
2015-09-02,1693
2015-09-03,1693
2015-09-04,1693
2015-09-05,1693
2015-09-06,1693
2015-09-07,1693
2015-09-08,1693
2015-09-09,1693
2015-09-10,1693
2015-09-11,1611
2015-09-12,1611
2015-09-13,1611
2015-09-14,1611
2015-09-15,1611
2015-09-16,1611
2015-09-17,1611
2015-09-18,1611
2015-09-19,1611
2015-09-20,1611
2015-09-21,1611
2015-09-22,1611
2015-09-23,1611
2015-09-24,1611
2015-09-25,1611
2015-09-27,1611
2015-09-28,1611
2015-09-29,1611
2015-09-30,1611
2015-10-05,1611
2015-10-06,1535
2015-10-07,1535
2015-10-08,1535
2015-10-09,1535
2015-10-10,1535
2015-10-11,1535
2015-10-12,1535
2015-10-13,1535
2015-10-14,1535
2015-10-15,1535
2015-10-16,1535
2015-10-17,1535
2015-10-18,1535
2015-10-19,1535
2015-10-20,1535
2015-10-22,1535
2015-10-23,1535
2015-10-24,1535
2015-10-25,1535
2015-10-26,1535
2015-10-27,1535
2015-10-29,1462
2015-10-30,1462
2015-10-31,1462
2015-11-01,1462
2015-11-02,1462
2015-11-03,1462
2015-11-04,1462
2015-11-05,1462
2015-11-06,1462
2015-11-07,1462
2015-11-08,1462
2015-11-09,1462
2015-11-10,1462
2015-11-11,1462
2015-11-12,1462
2015-11-13,1462
2015-11-14,1462
2015-11-15,1462
2015-11-16,1462
2015-11-17,1462
2015-11-18,1462
2015-11-19,1462
2015-11-20,1462
2015-11-21,1462
2015-11-22,1462
2015-11-23,1462
2015-11-24,1396
2015-11-25,1396
2015-11-26,1396
2015-11-27,1396
2015-11-28,1396
2015-11-29,1396
2015-11-30,1396
2015-12-01,1396
2015-12-02,1396
2015-12-03,1396
2015-12-04,1396
2015-12-05,1396
2015-12-06,1396
2015-12-07,1396
2015-12-08,1396
2015-12-09,1396
2015-12-10,1396
2015-12-11,1396
2015-12-12,1396
2015-12-13,1396
2015-12-14,1396
2015-12-15,1396
2015-12-16,1327
2015-12-17,1327
2015-12-18,1327
2015-12-19,1327
2015-12-20,1327
2015-12-21,1327
2015-12-22,1327
2015-12-23,1327
2015-12-24,1327
2015-12-25,1327
2015-12-26,1327
2015-12-27,1327
2015-12-28,1327
2015-12-29,1327
2015-12-30,1327
2015-12-31,1327
2016-01-01,1327
2016-01-02,1327
2016-01-03,1327
2016-01-04,1327
2016-01-05,1264
2016-01-06,1264
2016-01-07,1264
2016-01-08,1264
2016-01-09,1264
2016-01-10,1264
2016-01-11,1264
2016-01-12,1264
2016-01-13,1264
