date_obj,Ochre%20snelm%20(pointed) price
2015-03-26,9000
2015-03-27,9000
2015-03-28,9000
2015-03-29,9000
2015-03-30,9000
2015-03-31,9000
2015-04-01,9000
2015-04-02,9000
2015-04-03,9000
2015-04-04,9000
2015-04-05,9000
2015-04-06,9000
2015-04-07,9000
2015-04-08,9000
2015-04-09,9000
2015-04-10,9000
2015-04-11,9000
2015-04-12,9000
2015-04-13,9000
2015-04-14,9000
2015-04-15,9000
2015-04-16,9000
2015-04-17,9000
2015-04-18,9000
2015-04-19,9000
2015-04-20,9000
2015-04-21,9000
2015-04-22,9000
2015-04-23,9000
2015-04-24,9000
2015-04-25,9000
2015-04-26,9000
2015-04-27,9000
2015-04-28,9000
2015-04-29,9000
2015-04-30,8589
2015-05-01,8589
2015-05-02,8589
2015-05-03,8589
2015-05-04,8589
2015-05-05,8589
2015-05-06,8589
2015-05-07,8589
2015-05-08,8589
2015-05-09,8589
2015-05-10,8589
2015-05-11,8589
2015-05-12,8589
2015-05-13,8589
2015-05-14,8589
2015-05-15,8589
2015-05-16,8589
2015-05-17,8589
2015-05-18,8589
2015-05-19,8589
2015-05-20,8589
2015-05-21,8589
2015-05-22,8589
2015-05-23,8589
2015-05-24,8589
2015-05-25,8589
2015-05-26,8589
2015-05-27,8589
2015-05-28,8589
2015-05-29,8589
2015-05-30,8589
2015-05-31,8589
2015-06-01,8589
2015-06-02,8589
2015-06-03,8589
2015-06-04,8589
2015-06-05,8589
2015-06-06,8589
2015-06-07,8589
2015-06-08,8589
2015-06-09,8589
2015-06-10,8183
2015-06-11,8183
2015-06-12,8183
2015-06-13,8183
2015-06-14,8183
2015-06-15,8183
2015-06-16,8183
2015-06-17,8183
2015-06-18,8183
2015-06-19,8183
2015-06-20,8183
2015-06-21,8183
2015-06-22,8183
2015-06-23,8183
2015-06-24,8183
2015-06-25,8183
2015-06-26,8183
2015-06-27,8183
2015-06-28,8183
2015-06-29,8183
2015-06-30,8183
2015-07-01,8183
2015-07-02,8183
2015-07-03,8183
2015-07-04,8183
2015-07-05,8183
2015-07-06,8183
2015-07-07,8183
2015-07-08,8183
2015-07-09,8183
2015-07-10,8183
2015-07-11,8183
2015-07-12,8183
2015-07-13,8183
2015-07-14,8183
2015-07-15,8183
2015-07-16,8183
2015-07-17,8183
2015-07-18,8183
2015-07-19,8183
2015-07-20,8183
2015-07-21,8183
2015-07-22,8183
2015-07-23,8183
2015-07-24,8183
2015-07-25,8183
2015-07-26,8183
2015-07-27,8183
2015-07-28,8183
2015-07-29,8183
2015-07-30,8183
2015-07-31,8183
2015-08-01,8183
2015-08-02,7806
2015-08-03,7806
2015-08-04,7806
2015-08-05,7806
2015-08-06,7806
2015-08-07,7806
2015-08-08,7806
2015-08-09,7806
2015-08-10,7806
2015-08-11,7806
2015-08-12,7806
2015-08-13,7806
2015-08-14,7806
2015-08-15,7806
2015-08-16,7806
2015-08-17,7806
2015-08-18,7806
2015-08-19,7806
2015-08-20,7806
2015-08-21,7806
2015-08-22,7806
2015-08-23,7806
2015-08-24,7806
2015-08-25,7806
2015-08-26,7806
2015-08-27,7806
2015-08-28,7806
2015-08-29,7806
2015-08-30,7806
2015-08-31,7806
2015-09-01,7806
2015-09-02,7806
2015-09-03,7806
2015-09-04,7806
2015-09-05,7806
2015-09-06,7806
2015-09-07,7806
2015-09-08,7806
2015-09-09,7806
2015-09-10,7806
2015-09-11,7806
2015-09-12,7806
2015-09-13,7806
2015-09-14,7806
2015-09-15,7806
2015-09-16,7806
2015-09-17,7806
2015-09-18,7806
2015-09-19,7806
2015-09-20,7431
2015-09-21,7431
2015-09-22,7431
2015-09-23,7431
2015-09-24,7431
2015-09-25,7431
2015-09-27,7431
2015-09-28,7431
2015-09-29,7431
