date_obj,Ensouled%20tzhaar%20head price
2016-01-08,5798
2016-01-09,5854
2016-01-10,5748
2016-01-11,5580
2016-01-12,5403
2016-01-13,5132
2016-01-14,5354
2016-01-15,5622
2016-01-16,5904
2016-01-17,6139
2016-01-18,6207
2016-01-19,5940
2016-01-20,5643
2016-01-21,5435
2016-01-22,5163
2016-01-23,4904
2016-01-24,4700
2016-01-25,4488
2016-01-26,4490
2016-01-27,4405
2016-01-28,4563
2016-01-29,4411
2016-01-30,4203
2016-01-31,4057
2016-02-01,4230
2016-02-02,4371
2016-02-03,4590
2016-02-04,4820
2016-02-05,5061
2016-02-06,5315
2016-02-07,5581
2016-02-08,5861
2016-02-09,6140
2016-02-10,6123
2016-02-11,5822
2016-02-12,5530
2016-02-13,5253
2016-02-14,4990
2016-02-15,4854
2016-02-16,4941
2016-02-17,5111
2016-02-18,5161
2016-02-19,5230
2016-02-20,5216
2016-02-21,5247
2016-02-22,5333
2016-02-23,5409
2016-02-24,5665
2016-02-25,5634
2016-02-26,5678
2016-02-27,5675
2016-02-28,5826
2016-02-29,6109
2016-03-01,6415
2016-03-02,6736
2016-03-03,6432
2016-03-04,6395
2016-03-05,6391
2016-03-06,6395
2016-03-07,6523
2016-03-08,6665
2016-03-09,6635
2016-03-10,6965
2016-03-11,7314
2016-03-12,7573
2016-03-13,7605
2016-03-14,7657
2016-03-15,7610
2016-03-16,7370
2016-03-17,7066
2016-03-18,7079
2016-03-19,6732
2016-03-20,6535
2016-03-21,6862
2016-03-22,6605
2016-03-23,6289
2016-03-24,6018
2016-03-25,5843
2016-03-26,5817
2016-03-27,5629
2016-03-28,5792
2016-03-29,6005
2016-03-30,6206
2016-03-31,6200
2016-04-01,6158
2016-04-02,6011
2016-04-03,5796
2016-04-04,5786
2016-04-05,5745
2016-04-06,5463
2016-04-07,5285
2016-04-08,5326
2016-04-09,5449
2016-04-10,5393
2016-04-11,5609
2016-04-12,5748
2016-04-13,5592
2016-04-14,5569
2016-04-15,5689
2016-04-16,5667
2016-04-17,5480
2016-04-18,5286
2016-04-19,5534
2016-04-20,5767
2016-04-21,5905
2016-04-22,6034
2016-04-23,6100
2016-04-24,6192
2016-04-25,6361
2016-04-26,6541
2016-04-27,6663
2016-04-28,6397
