date_obj,Ensouled%20bear%20head price
2016-01-07,2726
2016-01-08,2726
2016-01-09,2729
2016-01-10,2729
2016-01-11,2611
2016-01-12,2496
2016-01-13,2390
2016-01-14,2288
2016-01-15,2288
2016-01-16,2173
2016-01-17,2173
2016-01-18,2072
2016-01-19,1987
2016-01-20,1887
2016-01-21,1887
2016-01-22,1808
2016-01-23,1728
2016-01-24,1648
2016-01-25,1572
2016-01-26,1507
2016-01-27,1438
2016-01-28,1438
2016-01-29,1376
2016-01-30,1376
2016-01-31,1350
2016-02-01,1285
2016-02-02,1231
2016-02-03,1192
2016-02-04,1192
2016-02-05,1198
2016-02-06,1198
2016-02-07,1156
2016-02-08,1156
2016-02-09,1102
2016-02-10,1074
2016-02-11,1074
2016-02-12,1074
2016-02-13,1030
2016-02-14,1030
2016-02-15,986
2016-02-16,986
2016-02-17,946
2016-02-18,946
2016-02-19,912
2016-02-20,912
2016-02-21,876
2016-02-22,876
2016-02-23,844
2016-02-24,844
2016-02-25,808
2016-02-26,808
2016-02-27,803
2016-02-28,803
2016-02-29,814
2016-03-01,814
2016-03-02,839
2016-03-03,839
2016-03-04,868
2016-03-05,868
2016-03-06,903
2016-03-07,903
2016-03-08,903
2016-03-09,949
2016-03-10,949
2016-03-11,983
2016-03-12,983
2016-03-13,965
2016-03-14,965
2016-03-15,984
2016-03-16,984
2016-03-17,987
2016-03-18,987
2016-03-19,1000
2016-03-20,1000
2016-03-21,1039
2016-03-22,1039
2016-03-23,997
2016-03-24,997
2016-03-25,968
2016-03-26,968
2016-03-27,954
2016-03-28,958
2016-03-29,958
2016-03-30,1001
2016-03-31,1001
2016-04-01,984
2016-04-02,984
2016-04-03,986
2016-04-04,986
2016-04-05,942
2016-04-06,942
2016-04-07,990
2016-04-08,990
2016-04-09,1038
2016-04-10,1038
2016-04-11,1071
2016-04-12,1071
2016-04-13,1095
2016-04-14,1095
2016-04-15,1099
2016-04-16,1099
2016-04-17,1092
2016-04-18,1092
2016-04-19,1047
2016-04-20,1047
2016-04-21,1010
2016-04-22,1010
2016-04-23,963
2016-04-24,963
2016-04-25,927
2016-04-26,927
2016-04-27,909
2016-04-28,909
2016-04-29,869
2016-04-30,869
2016-05-01,825
2016-05-02,825
2016-05-03,788
2016-05-04,788
2016-05-05,755
2016-05-06,755
2016-05-07,724
2016-05-08,724
2016-05-09,709
2016-05-10,704
2016-05-11,704
2016-05-12,682
2016-05-13,682
2016-05-14,652
2016-05-15,652
2016-05-16,624
2016-05-17,624
2016-05-18,603
2016-05-19,603
2016-05-22,557
2016-05-23,534
2016-05-24,513
2016-05-25,513
2016-05-26,490
2016-05-27,471
2016-05-28,471
2016-05-29,457
2016-05-30,457
2016-05-31,457
2016-06-01,453
2016-06-02,453
2016-06-03,459
2016-06-04,459
2016-06-05,482
2016-06-06,482
2016-06-07,499
2016-06-08,499
2016-06-09,500
2016-06-10,500
2016-06-11,499
2016-06-12,499
2016-06-13,500
2016-06-14,500
2016-06-15,511
2016-06-16,511
2016-06-17,525
2016-06-18,525
2016-06-19,508
2016-06-20,508
2016-06-21,534
2016-06-22,534
2016-06-23,558
2016-06-24,558
2016-06-25,544
2016-06-26,544
2016-06-27,544
2016-06-28,544
2016-06-29,544
2016-06-30,537
2016-07-01,548
2016-07-02,548
2016-07-03,575
2016-07-04,575
2016-07-05,600
2016-07-06,600
2016-07-07,630
2016-07-08,630
2016-07-09,634
2016-07-10,634
2016-07-11,659
2016-07-12,659
2016-07-13,688
2016-07-14,688
2016-07-15,697
2016-07-16,697
2016-07-17,732
2016-07-18,732
2016-07-23,795
2016-07-24,801
2016-07-25,801
2016-07-26,801
2016-07-27,832
2016-07-28,832
2016-07-29,814
2016-07-30,814
2016-07-31,786
2016-08-01,786
2016-08-02,763
2016-08-03,763
2016-08-04,797
2016-08-05,797
2016-08-06,797
2016-08-07,821
2016-08-08,821
2016-08-09,858
2016-08-10,858
2016-08-11,858
2016-08-12,900
2016-08-13,900
2016-08-14,900
2016-08-15,916
2016-08-16,916
2016-08-17,962
2016-08-18,962
2016-08-19,962
2016-08-20,950
2016-08-21,950
2016-08-22,950
2016-08-23,937
2016-08-24,937
2016-08-25,937
2016-08-26,964
2016-08-28,993
2016-08-31,971
2016-09-01,930
2016-09-02,930
2016-09-03,907
2016-09-04,907
2016-09-05,907
2016-09-06,873
2016-09-07,873
2016-09-08,873
2016-09-09,882
2016-09-10,882
2016-09-11,882
2016-09-12,899
2016-09-13,899
2016-09-14,867
2016-09-15,867
2016-09-16,826
2016-09-17,804
2016-09-18,804
2016-09-19,804
2016-09-20,837
2016-09-21,837
2016-09-22,858
2016-09-23,858
2016-09-24,858
2016-09-25,816
2016-09-26,816
2016-09-27,816
2016-09-28,792
2016-09-29,792
2016-09-30,792
2016-10-01,820
2016-10-02,820
2016-10-03,820
2016-10-04,820
2016-10-05,824
2016-10-06,824
2016-10-07,824
2016-10-08,821
2016-10-09,821
2016-10-10,821
2016-10-11,821
2016-10-12,821
2016-10-13,794
2016-10-14,794
2016-10-15,769
2016-10-16,769
2016-10-17,736
2016-10-18,736
2016-10-19,722
2016-10-20,722
2016-10-21,699
2016-10-22,699
2016-10-23,699
2016-10-24,675
2016-10-25,675
2016-10-26,675
2016-10-27,665
2016-10-28,665
2016-10-29,665
2016-10-30,683
2016-10-31,683
2016-11-01,683
2016-11-02,673
2016-11-03,673
2016-11-04,688
2016-11-05,688
2016-11-06,688
2016-11-07,683
2016-11-08,683
2016-11-09,660
2016-11-10,660
2016-11-11,660
2016-11-12,670
2016-11-13,670
2016-11-14,670
2016-11-15,704
2016-12-07,744
2016-12-08,782
2016-12-09,782
2016-12-10,782
2016-12-11,781
2016-12-12,781
2016-12-13,754
2016-12-14,754
2016-12-15,724
2016-12-16,724
2016-12-17,713
2016-12-18,713
2016-12-19,748
2016-12-20,748
2016-12-21,742
2016-12-22,742
2016-12-23,731
2016-12-24,731
2016-12-25,730
2016-12-26,730
2016-12-27,744
2016-12-28,744
2016-12-29,714
2016-12-30,714
2016-12-31,707
2017-01-01,707
2017-01-02,675
2017-01-03,675
2017-01-04,683
2017-01-05,683
2017-01-06,718
2017-01-07,718
2017-01-08,720
2017-01-09,720
2017-01-10,706
2017-01-11,706
2017-01-12,720
2017-01-13,720
2017-01-14,720
2017-01-15,720
2017-01-16,720
2017-01-17,720
2017-01-18,744
2017-01-19,744
2017-01-20,751
2017-01-21,751
2017-01-22,750
2017-01-23,750
2017-01-27,750
2017-01-28,766
2017-01-29,766
2017-01-30,805
2017-01-31,805
2017-02-01,834
2017-02-02,834
2017-02-03,803
2017-02-04,803
2017-02-05,805
2017-02-06,805
2017-02-07,846
2017-02-08,886
2017-02-09,886
2017-02-10,931
2017-02-11,931
2017-02-12,949
2017-02-13,949
2017-02-14,953
2017-02-15,953
2017-02-16,1001
2017-02-18,1042
2017-02-19,1038
2017-02-20,1038
2017-02-21,1090
2017-02-22,1090
2017-02-23,1145
2017-02-24,1145
2017-02-25,1203
2017-02-26,1203
2017-02-27,1264
2017-02-28,1264
2017-03-01,1328
2017-03-02,1328
2017-03-03,1394
2017-03-04,1394
2017-03-05,1374
2017-03-06,1308
2017-03-07,1273
2017-03-08,1273
2017-03-09,1250
2017-03-10,1250
2017-03-11,1313
2017-03-12,1313
2017-03-13,1379
2017-03-14,1395
2017-03-15,1395
2017-03-16,1465
2017-03-17,1465
2017-03-18,1503
2017-03-19,1503
2017-03-20,1501
2017-03-21,1501
2017-03-22,1500
2017-03-23,1500
2017-03-24,1456
2017-03-25,1456
2017-03-26,1399
2017-03-27,1335
2017-03-28,1278
2017-03-29,1239
2017-03-30,1239
2017-03-31,1177
2017-04-01,1177
2017-04-02,1123
2017-04-03,1136
2017-04-04,1136
2017-04-12,1186
2017-04-13,1224
2017-04-14,1250
2017-04-15,1216
2017-04-16,1188
2017-04-17,1195
2017-04-18,1187
