date_obj,Guthix%20robe%20legs price
2015-03-26,36661
2015-03-27,36661
2015-03-28,34843
2015-03-29,34450
2015-03-30,34347
2015-03-31,33534
2015-04-01,33534
2015-04-02,32888
2015-04-03,31966
2015-04-04,31610
2015-04-05,31392
2015-04-06,31445
2015-04-07,31125
2015-04-08,31125
2015-04-09,30840
2015-04-10,31238
2015-04-11,31553
2015-04-12,32096
2015-04-13,31398
2015-04-14,31398
2015-04-15,31284
2015-04-16,30812
2015-04-17,31030
2015-04-18,30263
2015-04-19,30795
2015-04-20,30795
2015-04-21,31854
2015-04-22,31854
2015-04-23,31985
2015-04-24,31556
2015-04-25,31307
2015-04-26,31756
2015-04-27,31429
2015-04-28,31468
2015-04-29,31468
2015-04-30,32193
2015-05-01,31508
2015-05-02,30790
2015-05-03,30790
2015-05-04,31631
2015-05-05,32706
2015-05-06,32488
2015-05-07,31663
2015-05-08,30386
2015-05-09,29674
2015-05-10,29252
2015-05-11,29252
2015-05-12,29065
2015-05-13,29809
2015-05-14,30477
2015-05-15,30477
2015-05-16,31149
2015-05-17,31022
2015-05-18,31309
2015-05-19,31309
2015-05-20,31300
2015-05-21,31300
2015-05-22,30876
2015-05-23,30876
2015-05-24,30352
2015-05-25,31711
2015-05-26,32023
2015-05-27,33013
2015-05-28,34013
2015-05-29,35103
2015-05-30,36708
2015-05-31,36708
2015-06-01,38276
2015-06-02,38276
2015-06-03,39024
2015-06-04,40514
2015-06-05,41298
2015-06-06,41013
2015-06-07,40351
2015-06-08,40351
2015-06-09,40049
2015-06-10,40375
2015-06-11,40375
2015-06-12,40836
2015-06-13,41188
2015-06-14,41294
2015-06-15,41294
2015-06-16,41886
2015-06-17,42423
2015-06-18,43105
2015-06-19,43105
2015-06-20,43340
2015-06-21,43340
2015-06-22,43425
2015-06-23,43895
2015-06-24,44883
2015-06-25,44883
2015-06-26,45557
2015-06-27,45557
2015-06-28,45438
2015-06-29,45438
2015-06-30,45808
2015-07-01,45826
2015-07-02,45826
2015-07-03,45509
2015-07-04,45509
2015-07-05,44970
2015-07-06,44970
2015-07-07,45226
2015-07-08,45712
2015-07-09,45712
2015-07-10,46082
2015-07-11,46082
2015-07-12,45102
2015-07-13,44297
2015-07-14,44305
2015-07-15,43283
2015-07-16,43283
2015-07-17,42373
2015-07-18,42373
2015-07-19,41683
2015-07-20,43644
2015-07-21,43644
2015-07-22,45493
2015-07-23,45493
2015-07-24,46508
2015-07-25,46508
2015-07-26,48462
2015-07-27,49963
2015-07-28,49793
2015-07-29,50673
2015-07-30,52292
2015-07-31,52292
2015-08-01,53308
2015-08-02,53127
2015-08-03,53989
2015-08-04,53989
2015-08-05,55328
2015-08-06,55328
2015-08-07,56804
2015-08-08,57885
2015-08-09,57395
2015-08-10,57395
2015-08-11,57916
2015-08-12,57916
2015-08-13,58916
2015-08-14,59093
2015-08-15,59093
2015-08-16,58930
2015-08-17,59337
2015-08-18,59337
2015-08-19,60750
2015-08-20,60750
2015-08-21,62320
2015-08-22,64150
2015-08-23,64150
2015-08-24,65077
2015-08-25,65077
2015-08-26,65524
2015-08-27,67077
2015-08-28,67077
2015-08-29,67806
2015-08-30,67806
2015-08-31,67519
2015-09-01,67340
2015-09-02,67340
2015-09-03,67740
2015-09-04,69055
2015-09-05,69055
2015-09-06,69236
2015-09-07,69236
2015-09-08,69829
2015-09-09,69829
2015-09-10,69773
2015-09-11,69732
2015-09-12,69732
2015-09-13,68343
2015-09-14,68343
2015-09-15,66659
2015-09-16,66659
2015-09-17,66313
2015-09-18,66313
2015-09-19,64724
2015-09-20,64724
2015-09-21,66147
2015-09-22,68683
2015-09-23,70027
2015-09-24,70027
2015-09-25,70087
2015-09-27,69884
2015-09-28,69521
2015-09-29,69521
2015-09-30,70048
2015-10-05,70070
2015-10-06,70050
2015-10-07,70050
2015-10-08,67914
2015-10-09,67185
2015-10-10,67185
2015-10-11,67337
2015-10-12,67337
2015-10-13,66204
2015-10-14,66204
2015-10-15,63834
2015-10-16,63834
2015-10-17,61414
2015-10-18,59244
2015-10-19,56579
2015-10-20,54093
2015-10-22,51707
2015-10-23,51707
2015-10-24,49233
2015-10-25,47083
2015-10-26,47083
2015-10-27,46082
2015-10-29,45372
2015-10-30,45372
2015-10-31,45120
2015-11-01,45120
2015-11-02,43863
2015-11-03,43863
2015-11-04,45238
2015-11-05,46235
2015-11-06,46235
2015-11-07,47631
2015-11-08,47631
2015-11-09,49116
2015-11-10,49116
2015-11-11,50414
2015-11-12,50414
2015-11-13,52051
2015-11-14,52051
2015-11-15,53548
