date_obj,Steel%20hasta price
2015-03-26,9500
2015-03-27,9500
2015-03-28,9500
2015-03-29,9500
2015-03-30,9500
2015-03-31,9500
2015-04-01,9500
2015-04-02,9500
2015-04-03,9500
2015-04-04,9062
2015-04-05,9062
2015-04-06,9062
2015-04-07,9062
2015-04-08,9062
2015-04-09,9062
2015-04-10,9062
2015-04-11,9062
2015-04-12,9062
2015-04-13,9062
2015-04-14,9062
2015-04-15,9062
2015-04-16,9062
2015-04-17,9062
2015-04-18,9062
2015-04-19,9062
2015-04-20,9062
2015-04-21,9062
2015-04-22,9062
2015-04-23,9062
2015-04-24,9062
2015-04-25,9062
2015-04-26,9062
2015-04-27,9062
2015-04-28,9062
2015-04-29,9062
2015-04-30,9062
2015-05-01,9062
2015-05-02,9062
2015-05-03,9062
2015-05-04,9062
2015-05-05,9062
2015-05-06,9062
2015-05-07,9062
2015-05-08,9062
2015-05-09,8639
2015-05-10,8639
2015-05-11,8639
2015-05-12,8639
2015-05-13,8639
2015-05-14,8639
2015-05-15,8639
2015-05-16,8639
2015-05-17,8639
2015-05-18,8639
2015-05-19,8639
2015-05-20,8639
2015-05-21,8639
2015-05-22,8639
2015-05-23,8639
2015-05-24,8639
2015-05-25,8639
2015-05-26,8639
2015-05-27,8639
2015-05-28,8639
2015-05-29,8234
2015-05-30,8234
2015-05-31,8234
2015-06-01,8234
2015-06-02,8234
2015-06-03,8234
2015-06-04,8234
2015-06-05,8234
2015-06-06,8234
2015-06-07,8234
2015-06-08,8234
2015-06-09,8234
2015-06-10,8234
2015-06-11,8234
2015-06-12,8234
2015-06-13,8234
2015-06-14,8234
2015-06-15,8234
2015-06-16,8234
2015-06-17,7847
2015-06-18,7847
2015-06-19,7847
2015-06-20,7847
2015-06-21,7847
2015-06-22,7847
2015-06-23,7847
2015-06-24,7847
2015-06-25,7847
2015-06-26,7847
2015-06-27,7847
2015-06-28,7847
2015-06-29,7847
2015-06-30,7847
2015-07-01,7847
2015-07-02,7847
2015-07-03,7847
2015-07-04,7847
2015-07-05,7847
2015-07-06,7847
2015-07-07,7847
2015-07-08,7847
2015-07-09,7847
2015-07-10,7847
2015-07-11,7489
2015-07-12,7489
2015-07-13,7489
2015-07-14,7489
2015-07-15,7489
2015-07-16,7489
2015-07-17,7489
2015-07-18,7489
2015-07-19,7489
2015-07-20,7489
2015-07-21,7489
2015-07-22,7489
2015-07-23,7489
2015-07-24,7489
2015-07-25,7489
2015-07-26,7489
2015-07-27,7489
2015-07-28,7489
2015-07-29,7489
2015-07-30,7489
2015-07-31,7489
2015-08-01,7489
2015-08-02,7489
2015-08-03,7130
2015-08-04,7130
2015-08-05,7130
