date_obj,Steel%20gold-trimmed%20set%20(lg) price
2016-07-06,3000000
2016-07-07,3000000
2016-07-08,3000000
2016-07-09,3000000
2016-07-10,3000000
2016-07-11,2856980
2016-07-12,2856980
2016-07-13,2856980
2016-07-14,2856980
2016-07-15,2856980
2016-07-16,2856980
2016-07-17,2856980
2016-07-18,2715977
2016-07-24,2715977
2016-07-25,2715977
2016-07-26,2582918
2016-07-27,2582918
2016-07-28,2582918
2016-07-29,2582918
2016-07-30,2582918
2016-07-31,2582918
2016-08-01,2455632
2016-08-02,2455632
2016-08-03,2455632
2016-08-04,2455632
2016-08-05,2455632
2016-08-06,2333762
2016-08-07,2333762
2016-08-08,2333762
2016-08-09,2333762
2016-08-10,2333762
2016-08-11,2333762
2016-08-12,2333762
2016-08-13,2333762
2016-08-14,2218022
2016-08-15,2218022
2016-08-16,2218022
2016-08-17,2218022
2016-08-18,2218022
2016-08-19,2218022
2016-08-20,2218022
2016-08-21,2218022
2016-08-22,2108418
2016-08-23,2108418
2016-08-24,2108418
2016-08-25,2108418
2016-08-26,2108418
2016-08-28,2108418
2016-08-31,2003832
2016-09-01,2003832
2016-09-02,2003832
2016-09-03,2003832
2016-09-04,2003832
2016-09-05,2003832
2016-09-06,2003832
2016-09-07,2003832
2016-09-08,2003832
2016-09-09,2003832
2016-09-10,1906580
2016-09-11,1906580
2016-09-12,1906580
2016-09-13,1906580
2016-09-14,1906580
2016-09-15,1906580
2016-09-16,1906580
2016-09-17,1906580
2016-09-18,1906580
2016-09-19,1813025
2016-09-20,1813025
2016-09-21,1813025
2016-09-22,1813025
2016-09-23,1813025
2016-09-24,1813025
2016-09-25,1813025
2016-09-26,1813025
2016-09-27,1813025
2016-09-28,1723762
2016-09-29,1723762
2016-09-30,1723762
2016-10-01,1723762
2016-10-02,1723762
2016-10-03,1723762
2016-10-04,1723762
2016-10-05,1723762
2016-10-06,1639626
2016-10-07,1639626
2016-10-08,1639626
2016-10-09,1639626
2016-10-10,1639626
2016-10-11,1639626
2016-10-12,1639626
2016-10-13,1639626
2016-10-14,1560335
2016-10-15,1560335
2016-10-16,1560335
2016-10-17,1560335
2016-10-18,1560335
2016-10-19,1560335
2016-10-20,1560335
2016-10-21,1560335
2016-10-22,1560335
2016-10-23,1485542
2016-10-24,1485542
2016-10-25,1485542
2016-10-26,1485542
2016-10-27,1485542
2016-10-28,1485542
2016-10-29,1485542
2016-10-30,1413511
2016-10-31,290000
2016-11-01,290000
2016-11-02,290000
2016-11-03,290000
2016-11-04,290000
2016-11-05,290000
2016-11-06,290000
2016-11-07,290000
2016-11-08,290000
2016-11-09,290000
2016-11-10,290000
2016-11-11,290000
2016-11-12,275980
2016-11-13,275980
2016-11-14,275980
2016-12-08,250112
2016-12-09,250112
2016-12-10,250112
2016-12-11,250112
2016-12-12,250112
2016-12-13,250112
2016-12-14,250112
2016-12-15,250112
2016-12-16,250112
2016-12-17,238105
2016-12-18,238105
2016-12-19,238105
2016-12-20,238105
2016-12-21,238105
2016-12-22,238105
2016-12-23,238105
2016-12-24,238105
2016-12-25,238105
2016-12-26,238105
2016-12-27,226732
2016-12-28,226732
2016-12-29,226732
2016-12-30,226732
2016-12-31,226732
2017-01-01,226732
2017-01-02,226732
2017-01-03,226732
2017-01-04,226732
2017-01-05,215859
2017-01-06,215859
2017-01-07,215859
2017-01-08,215859
2017-01-09,215859
2017-01-10,215859
2017-01-11,215859
2017-01-12,215859
2017-01-13,205420
2017-01-14,205420
2017-01-15,205420
2017-01-16,205420
2017-01-17,205420
2017-01-18,205420
2017-01-19,205420
2017-01-20,205420
2017-01-21,195570
2017-01-22,195570
2017-01-27,195570
2017-01-28,195570
2017-01-29,195570
2017-01-30,195570
2017-01-31,186042
2017-02-01,186042
2017-02-02,186042
2017-02-03,186042
2017-02-04,186042
2017-02-05,186042
2017-02-06,186042
2017-02-07,186042
2017-02-08,177149
2017-02-09,177149
2017-02-10,177149
2017-02-11,177149
2017-02-12,177149
2017-02-13,177149
2017-02-14,177149
2017-02-15,177149
2017-02-16,177149
2017-02-18,168526
2017-02-19,168526
2017-02-20,168526
2017-02-21,168526
2017-02-22,168526
2017-02-23,168526
2017-02-24,168526
2017-02-25,160345
2017-02-26,160345
2017-02-27,160345
2017-02-28,160345
2017-03-01,160345
2017-03-02,160345
2017-03-03,160345
2017-03-04,160345
2017-03-05,152599
2017-03-06,152599
2017-03-07,152599
2017-03-08,152599
2017-03-09,152599
2017-03-10,152599
2017-03-11,152599
2017-03-12,152599
2017-03-13,145258
2017-03-14,145258
2017-03-15,145258
2017-03-16,145258
2017-03-17,145258
2017-03-18,145258
2017-03-19,145258
2017-03-20,138298
2017-03-21,138298
2017-03-22,138298
2017-03-23,138298
2017-03-24,138298
2017-03-25,138298
2017-03-26,138298
2017-03-27,131928
2017-03-28,131928
2017-03-29,131928
2017-03-30,131928
2017-03-31,131928
2017-04-01,131928
2017-04-02,131928
2017-04-03,131928
2017-04-04,125543
2017-04-12,125543
2017-04-13,119586
2017-04-14,119586
2017-04-15,119586
2017-04-16,119586
2017-04-17,119586
2017-04-18,119586
2017-04-19,119586
2017-04-20,119586
2017-04-21,116245
2017-04-22,116245
