date_obj,Adamant%20javelin%20heads price
2016-05-05,700
2016-05-06,700
2016-05-07,700
2016-05-08,700
2016-05-09,700
2016-05-10,700
2016-05-11,700
2016-05-12,700
2016-05-13,669
2016-05-14,669
2016-05-15,669
2016-05-16,669
2016-05-17,669
2016-05-18,669
2016-05-19,669
2016-05-21,669
2016-05-22,669
2016-05-23,669
2016-05-24,669
2016-05-25,669
2016-05-26,669
2016-05-27,669
2016-05-28,669
2016-05-29,669
2016-05-30,669
2016-05-31,669
2016-06-01,669
2016-06-02,669
2016-06-03,669
2016-06-04,669
2016-06-05,669
2016-06-06,669
2016-06-07,669
2016-06-08,669
2016-06-09,638
2016-06-10,638
2016-06-11,638
2016-06-12,638
2016-06-13,638
2016-06-14,638
2016-06-15,638
2016-06-16,638
2016-06-17,638
2016-06-18,638
2016-06-19,638
2016-06-20,638
2016-06-21,638
2016-06-22,638
2016-06-23,638
2016-06-24,638
2016-06-25,638
2016-06-26,638
2016-06-27,638
2016-06-28,638
2016-06-29,638
2016-06-30,638
2016-07-01,638
2016-07-02,638
2016-07-03,638
2016-07-04,638
2016-07-05,638
2016-07-06,638
2016-07-07,638
2016-07-08,638
2016-07-09,638
2016-07-10,638
2016-07-11,638
2016-07-12,638
2016-07-13,638
2016-07-14,638
2016-07-15,638
2016-07-16,638
2016-07-17,638
2016-07-18,628
2016-07-23,628
2016-07-24,628
2016-07-25,628
2016-07-26,628
2016-07-27,628
2016-07-28,628
2016-07-29,628
2016-07-30,628
2016-07-31,628
2016-08-01,628
2016-08-02,628
2016-08-03,628
2016-08-04,628
2016-08-05,628
2016-08-06,628
2016-08-07,628
2016-08-08,628
2016-08-09,628
2016-08-10,628
2016-08-11,628
2016-08-12,628
2016-08-13,628
2016-08-14,628
2016-08-15,628
2016-08-16,628
2016-08-17,628
2016-08-18,628
2016-08-19,628
2016-08-20,628
2016-08-21,628
2016-08-22,628
2016-08-23,628
2016-08-24,628
2016-08-25,628
2016-08-26,628
2016-08-28,628
2016-08-31,628
2016-09-01,628
2016-09-02,628
2016-09-03,628
2016-09-04,628
2016-09-05,628
2016-09-06,628
2016-09-07,628
2016-09-08,628
2016-09-09,628
2016-09-10,628
2016-09-11,628
2016-09-12,628
2016-09-13,628
2016-09-14,628
2016-09-15,628
2016-09-16,628
2016-09-17,628
2016-09-18,628
2016-09-19,628
2016-09-20,628
2016-09-21,628
2016-09-22,628
2016-09-23,628
2016-09-24,628
2016-09-25,627
2016-09-26,627
2016-09-27,627
2016-09-28,627
2016-09-29,627
2016-09-30,627
2016-10-01,627
2016-10-02,627
2016-10-03,627
2016-10-04,627
2016-10-05,627
2016-10-06,627
2016-10-07,627
2016-10-08,627
2016-10-09,627
2016-10-10,627
2016-10-11,627
2016-10-12,627
2016-10-13,627
2016-10-14,627
2016-10-15,627
2016-10-16,627
2016-10-17,627
2016-10-18,627
2016-10-19,627
2016-10-20,627
2016-10-21,627
2016-10-22,627
2016-10-23,627
2016-10-24,627
2016-10-25,627
2016-10-26,627
2016-10-27,627
2016-10-28,627
2016-10-29,627
2016-10-30,627
2016-10-31,627
2016-11-01,627
2016-11-02,627
2016-11-03,627
2016-11-04,627
2016-11-05,627
2016-11-06,627
2016-11-07,627
2016-11-08,627
2016-11-09,627
2016-11-10,627
2016-11-11,627
2016-11-12,627
2016-11-13,627
2016-11-14,627
2016-11-15,627
2016-12-07,627
2016-12-08,627
2016-12-09,622
2016-12-10,622
2016-12-11,622
2016-12-12,622
2016-12-13,622
2016-12-14,622
2016-12-15,622
2016-12-16,622
2016-12-17,622
2016-12-18,622
2016-12-19,622
2016-12-20,622
2016-12-21,622
2016-12-22,622
2016-12-23,622
2016-12-24,622
