date_obj,Musketeer%20tabard price
2015-03-26,246764
2015-03-27,246764
2015-03-28,236307
2015-03-29,225908
2015-03-30,225908
2015-03-31,216328
2015-04-01,216328
2015-04-02,208186
2015-04-03,208186
2015-04-04,201241
2015-04-05,201241
2015-04-06,198591
2015-04-07,198591
2015-04-08,189692
2015-04-09,189692
2015-04-10,182830
2015-04-11,182830
2015-04-12,180903
2015-04-13,180903
2015-04-14,181005
2015-04-15,181005
2015-04-16,184297
2015-04-17,184297
2015-04-18,193184
2015-04-19,193184
2015-04-20,201334
2015-04-21,201334
2015-04-22,209702
2015-04-23,217082
2015-04-24,217082
2015-04-25,227641
2015-04-26,227641
2015-04-27,237875
2015-04-28,246738
2015-04-29,246738
2015-04-30,253709
2015-05-01,253709
2015-05-02,252586
2015-05-03,252586
2015-05-04,245684
2015-05-05,245684
2015-05-06,237538
2015-05-07,230790
2015-05-08,230790
2015-05-09,219526
2015-05-10,209388
2015-05-11,209388
2015-05-12,199136
2015-05-13,199136
2015-05-14,190931
2015-05-15,190931
2015-05-16,187203
2015-05-17,183369
2015-05-18,183369
2015-05-19,178841
2015-05-20,178841
2015-05-21,178841
2015-05-22,176056
2015-05-23,176056
2015-05-24,169087
2015-05-25,162053
2015-05-26,162053
2015-05-27,153950
2015-05-28,153950
2015-05-29,146480
2015-05-30,139329
2015-05-31,139329
2015-06-01,134939
2015-06-02,134939
2015-06-03,132819
2015-06-04,128154
2015-06-05,125401
2015-06-06,125401
2015-06-07,122821
2015-06-08,122821
2015-06-09,121809
2015-06-10,121161
2015-06-11,121161
2015-06-12,121161
2015-06-13,116583
2015-06-14,116583
2015-06-15,113087
2015-06-16,113087
2015-06-17,112495
2015-06-18,112495
2015-06-19,113045
2015-06-20,113045
2015-06-21,113142
2015-06-22,113142
2015-06-23,112190
2015-06-24,112190
2015-06-25,108959
2015-06-26,105694
2015-06-27,105694
2015-06-28,104939
2015-06-29,104939
2015-06-30,105008
2015-07-01,108103
2015-07-02,108103
2015-07-03,112674
2015-07-04,112674
2015-07-05,116434
2015-07-06,116434
2015-07-07,120531
2015-07-08,125670
2015-07-09,125670
2015-07-10,131584
2015-07-11,131584
2015-07-12,136913
2015-07-13,136913
2015-07-14,143668
2015-07-15,143668
2015-07-16,150074
2015-07-17,157378
2015-07-18,157378
2015-07-19,164657
2015-07-20,164657
2015-07-21,172502
2015-07-22,180806
2015-07-23,180806
2015-07-24,189718
2015-07-25,189718
2015-07-26,199204
2015-07-27,208450
2015-07-28,208450
2015-07-29,218873
2015-07-30,218873
2015-07-31,229817
2015-08-01,229817
2015-08-02,241308
2015-08-03,241308
2015-08-04,252535
2015-08-05,265162
2015-08-06,265162
2015-08-07,275841
2015-08-08,275841
2015-08-09,289634
2015-08-10,303142
2015-08-11,303142
2015-08-12,318098
2015-08-13,318098
2015-08-14,333902
2015-08-15,333902
2015-08-16,349969
2015-08-17,349969
2015-08-18,358827
2015-08-19,358827
2015-08-20,361632
2015-08-21,361632
2015-08-22,364727
2015-08-23,364727
2015-08-24,354731
2015-08-25,354731
2015-08-26,337755
2015-08-27,323487
2015-08-28,323487
2015-08-29,311701
2015-08-30,311701
2015-08-31,303738
2015-09-01,293634
2015-09-02,293634
2015-09-03,291906
2015-09-04,291750
2015-09-05,291750
2015-09-06,279684
2015-09-07,279684
2015-09-08,271150
2015-09-09,271150
2015-09-10,258532
2015-09-11,258532
2015-09-12,250793
2015-09-13,244748
2015-09-14,244748
2015-09-15,232911
2015-09-16,232911
2015-09-17,223984
2015-09-18,223984
2015-09-19,214055
2015-09-20,214055
2015-09-21,203352
2015-09-22,193184
2015-09-23,187305
2015-09-24,187305
2015-09-25,184739
2015-09-27,184307
2015-09-28,188546
2015-09-29,188546
2015-09-30,191723
2015-10-05,197382
2015-10-06,196822
2015-10-07,196822
2015-10-08,196844
2015-10-09,196844
2015-10-10,199256
2015-10-11,199655
2015-10-12,199655
2015-10-13,198948
2015-10-14,198948
2015-10-15,197052
2015-10-16,197052
2015-10-17,196048
2015-10-18,196048
2015-10-19,198810
2015-10-20,198810
2015-10-22,199796
2015-10-23,201058
2015-10-24,201058
2015-10-25,202842
2015-10-26,202842
2015-10-27,202455
2015-10-29,203657
2015-10-30,203657
2015-10-31,203086
2015-11-01,203086
2015-11-02,203789
2015-11-03,203789
2015-11-04,201618
2015-11-05,201618
2015-11-06,200355
2015-11-07,200999
2015-11-08,200999
2015-11-09,200999
2015-11-10,197104
2015-11-11,198002
2015-11-12,198002
2015-11-13,194850
2015-11-14,194850
2015-11-15,189613
2015-11-16,189613
2015-11-17,182520
2015-11-18,182520
2015-11-19,173664
2015-11-20,173664
2015-11-21,167191
2015-11-22,161567
2015-11-23,161567
2015-11-24,153488
2015-11-25,145906
2015-11-26,145906
2015-11-27,140004
2015-11-28,140004
2015-11-29,134019
2015-11-30,130539
2015-12-02,130964
2015-12-03,130964
2015-12-04,131808
2015-12-05,131808
2015-12-06,136311
2015-12-07,136311
2015-12-08,139807
2015-12-09,142726
2015-12-10,142726
2015-12-11,144790
2015-12-12,144790
2015-12-13,151706
2015-12-14,151706
2015-12-15,159292
2015-12-16,159292
2015-12-17,166103
2015-12-18,173781
2015-12-19,173781
2015-12-20,173645
2015-12-21,173645
2015-12-22,176827
2015-12-23,182584
2015-12-24,182584
2015-12-25,186635
2015-12-26,186635
2015-12-27,188565
2015-12-28,188565
2015-12-29,185000
2015-12-30,185000
2015-12-31,178339
2016-01-01,178339
2016-01-02,171270
2016-01-03,165742
2016-01-04,165742
2016-01-05,157709
2016-01-06,157709
2016-01-07,149827
2016-01-08,142755
2016-01-09,136529
2016-01-10,130967
2016-01-11,130967
2016-01-12,125993
2016-01-13,125993
2016-01-14,121623
2016-01-15,121623
2016-01-16,118407
2016-01-17,118407
2016-01-18,114922
2016-01-19,114922
2016-01-20,109985
2016-01-21,109985
2016-01-22,104720
2016-01-23,104720
2016-01-24,100750
2016-01-25,100755
2016-01-26,100755
2016-01-27,101656
2016-01-28,101656
2016-01-29,104202
2016-01-30,104202
2016-01-31,105424
2016-02-01,103930
2016-02-02,103930
2016-02-03,99935
2016-02-04,99935
2016-02-05,97821
2016-02-06,97827
2016-02-07,97827
2016-02-08,96892
2016-02-09,96892
2016-02-10,93903
2016-02-11,93903
2016-02-12,91698
2016-02-13,91984
2016-02-14,91984
2016-02-15,91951
2016-02-16,91951
2016-02-17,93401
2016-02-18,93401
2016-02-19,95545
2016-02-20,97100
2016-02-21,98520
2016-02-22,98520
2016-02-23,98021
2016-02-24,98021
2016-02-25,97516
2016-02-26,97516
2016-02-27,99704
2016-02-28,99704
2016-02-29,103046
2016-03-01,106755
2016-03-02,106755
2016-03-03,110878
2016-03-04,110878
2016-03-05,114539
2016-03-06,117265
2016-03-07,117265
2016-03-08,122621
2016-03-09,122621
2016-03-10,122270
2016-03-11,122270
2016-03-12,119496
2016-03-13,119496
2016-03-14,116685
2016-03-15,111566
2016-03-16,107025
2016-03-17,103851
2016-03-18,102741
2016-03-19,102741
2016-03-20,103244
2016-03-21,103244
2016-03-22,106648
2016-03-23,110806
2016-03-24,110806
2016-03-25,114984
2016-03-26,114984
2016-03-27,120435
2016-03-28,122870
2016-03-29,122870
2016-03-30,124853
2016-03-31,124853
2016-04-01,123696
2016-04-02,123696
2016-04-03,122711
2016-04-04,122711
2016-04-05,119689
2016-04-06,116764
2016-04-07,116764
2016-04-08,113888
2016-04-09,113888
2016-04-10,108587
2016-04-11,108587
2016-04-12,107469
2016-04-13,107469
2016-04-14,107513
2016-04-15,107513
2016-04-16,106938
2016-04-17,106938
2016-04-18,103353
2016-04-19,103353
2016-04-20,101688
2016-04-21,101688
2016-04-22,101688
2016-04-23,100716
2016-04-24,100716
2016-04-25,99825
2016-04-26,99825
2016-04-27,98682
2016-04-28,98682
2016-04-29,95736
2016-04-30,96480
2016-05-01,96480
2016-05-02,95404
2016-05-03,95779
2016-05-04,95779
2016-05-05,98936
2016-05-06,98936
2016-05-07,96938
2016-05-08,96938
2016-05-09,100606
2016-05-10,105378
2016-05-11,105378
2016-05-12,109658
2016-05-13,111915
2016-05-14,111915
2016-05-15,113508
2016-05-16,116541
2016-05-17,119557
2016-05-18,120600
2016-05-19,120600
2016-05-22,118821
2016-05-23,121564
2016-05-24,121564
2016-05-25,123351
2016-05-26,126330
2016-05-27,124267
2016-05-28,124267
2016-05-29,123216
2016-05-30,123216
2016-05-31,122599
2016-06-01,120027
2016-06-02,118803
2016-06-03,118803
2016-06-04,118774
2016-06-05,118774
2016-06-06,117875
2016-06-07,117875
2016-06-08,118242
2016-06-09,117392
2016-06-10,117392
2016-06-11,115428
2016-06-12,112860
2016-06-13,112860
2016-06-14,110732
2016-06-15,110732
2016-06-16,108274
2016-06-17,105293
2016-06-18,105293
2016-06-19,104358
2016-06-20,104017
2016-06-21,107468
2016-06-22,111556
2016-06-23,111556
2016-06-24,116259
2016-06-25,112005
2016-06-26,112005
2016-06-27,110921
2016-06-28,110921
2016-06-29,108351
2016-06-30,108351
2016-07-01,107804
2016-07-02,107804
2016-07-03,108281
2016-07-04,105015
2016-07-05,105015
2016-07-06,102163
2016-07-07,102163
2016-07-08,100267
2016-07-09,100267
2016-07-10,99562
2016-07-11,99055
2016-07-12,98125
2016-07-13,98125
2016-07-14,97140
2016-07-15,97140
2016-07-16,95979
2016-07-17,95979
2016-07-18,96459
2016-07-23,94988
2016-07-24,93877
2016-07-25,93877
2016-07-26,93062
2016-07-27,93062
2016-07-28,92439
2016-07-29,92439
2016-07-30,91444
2016-07-31,91444
2016-08-01,91444
2016-08-02,91315
2016-08-03,91315
2016-08-04,90487
2016-08-05,90487
2016-08-06,90487
2016-08-07,90784
2016-08-08,90784
2016-08-09,90092
2016-08-10,90092
2016-08-11,90092
2016-08-12,88703
2016-08-13,88703
2016-08-14,88703
2016-08-15,86625
2016-08-16,86625
2016-08-17,86611
2016-08-18,86611
2016-08-19,85992
2016-08-20,85992
2016-08-21,86960
2016-08-22,86960
2016-08-23,85541
2016-08-24,85541
2016-08-25,82401
2016-08-26,82401
2016-08-28,81295
2016-08-31,75809
2016-09-01,75809
2016-09-02,74333
2016-09-03,74333
2016-09-04,72714
2016-09-05,72714
2016-09-06,72714
2016-09-07,72714
2016-09-08,73747
2016-09-09,73747
2016-09-10,72475
2016-09-11,72475
2016-09-12,70115
2016-09-13,70115
2016-09-14,69704
2016-09-15,69704
2016-09-16,69489
2016-09-17,69489
2016-09-18,69464
2016-09-19,69464
2016-09-20,69827
2016-09-21,69827
2016-09-22,69657
2016-09-23,69657
2016-09-24,69657
2016-09-25,68721
2016-09-26,68721
2016-09-27,68721
2016-09-28,70406
2016-09-29,70406
2016-09-30,70680
2016-10-01,70680
2016-10-02,70727
2016-10-03,70727
2016-10-04,71091
2016-10-05,71091
2016-10-06,72287
2016-10-07,72287
2016-10-08,72910
2016-10-09,72910
2016-10-10,72910
2016-10-11,74314
2016-10-12,74314
2016-10-13,74314
2016-10-14,75880
2016-10-15,75880
2016-10-16,76483
2016-10-17,78762
2016-10-18,78762
2016-10-19,78762
2016-10-20,81345
2016-10-21,81345
2016-10-22,81345
2016-10-23,84925
