date_obj,Cyclops%20head price
2016-07-25,750601
2016-07-26,750601
2016-07-27,750601
2016-07-28,750601
2016-07-29,715068
2016-07-30,715068
2016-07-31,715068
2016-08-01,715068
2016-08-02,681748
2016-08-03,681748
2016-08-04,681748
2016-08-05,681748
2016-08-06,649392
2016-08-07,649392
2016-08-08,649392
2016-08-09,649392
2016-08-10,618101
2016-08-11,618101
2016-08-12,618101
2016-08-13,618101
2016-08-14,588082
2016-08-15,588082
2016-08-16,588082
2016-08-17,559975
2016-08-18,559975
2016-08-19,559975
2016-08-20,533231
2016-08-21,533231
2016-08-22,533231
2016-08-23,507131
2016-08-24,507131
2016-08-25,507131
2016-08-26,507131
2016-08-28,483600
2016-08-31,460232
2016-09-01,460232
2016-09-02,460232
2016-09-03,437832
2016-09-04,437832
2016-09-05,416697
2016-09-06,416697
2016-09-07,416697
2016-09-08,396745
2016-09-09,396745
2016-09-10,396745
2016-09-11,377749
2016-09-12,377749
2016-09-13,359205
2016-09-14,359205
2016-09-15,359205
2016-09-16,359205
2016-09-17,341788
2016-09-18,341788
2016-09-19,341788
2016-09-20,325195
2016-09-21,325195
2016-09-22,325195
2016-09-23,309568
2016-09-24,309568
2016-09-25,309568
2016-09-26,309568
2016-09-27,294926
2016-09-28,294926
2016-09-29,294926
2016-09-30,280775
2016-10-01,280775
2016-10-02,280775
2016-10-03,280775
2016-10-04,267107
2016-10-05,267107
2016-10-06,267107
2016-10-07,254241
2016-10-08,242066
2016-10-09,242066
2016-10-10,230124
2016-10-11,219190
2016-10-12,219190
2016-10-13,208521
2016-10-14,208521
2016-10-15,198388
2016-10-16,198388
2016-10-17,188787
2016-10-18,188787
2016-10-19,188787
2016-10-20,179616
2016-10-21,179616
2016-10-22,179616
2016-10-23,170726
2016-10-24,170726
2016-10-25,170726
2016-10-26,162282
2016-10-27,162282
2016-10-28,162282
2016-10-29,154392
2016-10-30,154392
2016-10-31,154392
2016-11-01,146987
2016-11-02,146987
2016-11-03,146987
2016-11-04,139866
2016-11-05,139866
2016-11-06,139866
2016-11-07,133022
2016-11-08,133022
2016-11-09,126586
2016-11-10,126586
2016-11-11,126586
2016-11-12,120431
2016-11-13,120431
2016-11-14,120431
2016-11-15,114683
2016-12-07,85517
2016-12-08,85517
2016-12-09,81619
2016-12-10,81619
2016-12-11,81619
2016-12-12,81619
2016-12-13,77802
2016-12-14,77802
2016-12-15,77802
2016-12-16,77802
2016-12-17,74123
2016-12-18,74123
2016-12-19,74123
2016-12-20,74123
2016-12-21,70621
2016-12-22,70621
2016-12-23,70621
2016-12-24,70621
2016-12-25,67328
2016-12-26,67328
2016-12-27,67328
2016-12-28,67328
2016-12-29,64141
2016-12-30,64141
2016-12-31,64141
2017-01-01,61133
2017-01-02,61133
2017-01-03,61133
2017-01-04,58252
2017-01-05,58252
2017-01-06,58252
2017-01-07,55445
2017-01-08,55445
2017-01-09,55445
2017-01-10,52824
2017-01-11,52824
2017-01-12,52824
2017-01-13,50349
2017-01-14,50349
2017-01-15,50349
2017-01-16,48006
2017-01-17,48006
2017-01-18,48006
2017-01-19,48006
2017-01-20,45687
2017-01-21,45687
2017-01-22,45687
2017-01-23,43560
2017-01-27,41458
2017-01-28,41458
2017-01-29,39511
2017-01-30,39511
2017-01-31,39511
2017-02-01,39511
2017-02-02,37661
2017-02-03,37661
2017-02-04,37661
2017-02-05,37661
2017-02-06,35866
2017-02-07,35866
2017-02-08,35866
2017-02-09,34184
2017-02-10,34184
2017-02-11,32561
2017-02-12,32561
2017-02-13,32561
2017-02-14,30999
2017-02-15,30999
2017-02-16,30999
2017-02-18,29511
2017-02-19,29511
2017-02-20,29511
2017-02-21,28123
2017-02-22,28123
2017-02-23,28123
2017-02-24,28123
2017-02-25,28123
2017-02-26,28123
2017-02-27,26816
2017-02-28,26816
2017-03-01,26816
2017-03-02,26816
2017-03-03,26816
2017-03-04,25548
2017-03-05,25548
2017-03-06,25548
2017-03-07,25548
2017-03-08,24364
2017-03-09,24364
2017-03-10,24364
2017-03-11,24364
2017-03-12,23208
2017-03-13,23208
2017-03-14,23208
2017-03-15,23208
2017-03-16,22168
2017-03-17,22168
2017-03-18,22168
2017-03-19,22168
2017-03-20,21121
2017-03-21,21121
2017-03-22,21121
2017-03-23,21121
2017-03-24,21121
2017-03-25,21121
2017-03-26,20129
2017-03-27,20129
2017-03-28,20129
2017-03-29,20129
2017-03-30,19226
2017-03-31,19226
2017-04-01,19226
2017-04-02,19226
2017-04-03,18374
2017-04-04,18374
2017-04-12,5500
2017-04-13,5500
2017-04-14,5500
2017-04-15,5500
2017-04-16,5500
2017-04-17,5552
2017-04-18,5552
2017-04-19,5552
2017-04-20,5552
2017-04-21,5552
2017-04-22,5552
2017-04-23,5468
2017-04-24,5468
2017-04-25,5468
2017-04-26,5468
2017-04-27,5468
2017-04-28,5468
2017-04-29,5445
2017-04-30,5445
2017-05-01,5445
2017-05-02,5445
2017-05-03,5445
2017-05-04,5445
2017-05-05,5390
2017-05-06,5390
2017-05-07,5390
2017-05-08,5390
2017-05-09,5390
2017-05-10,5340
2017-05-11,5340
2017-05-12,5340
2017-05-13,5340
2017-05-14,5340
2017-05-15,5340
2017-05-16,5406
2017-05-17,5406
2017-05-18,5406
2017-05-19,5406
2017-05-20,5406
2017-05-21,5406
2017-05-22,5406
2017-05-23,5211
2017-05-24,5211
2017-05-25,5211
2017-05-26,5211
2017-05-27,5211
2017-05-28,5211
2017-05-29,4966
2017-05-30,4966
2017-05-31,4966
2017-06-01,4966
2017-06-02,4966
2017-06-03,4745
2017-06-04,4745
2017-06-05,4745
2017-06-06,4745
2017-06-07,4745
2017-06-08,4520
2017-06-09,4520
2017-06-10,4520
2017-06-11,4520
2017-06-12,4520
2017-06-13,4315
2017-06-14,4315
2017-06-15,4315
2017-06-16,4315
2017-06-17,4315
2017-06-18,4315
2017-06-19,4218
2017-06-20,4218
2017-06-21,4218
2017-06-22,4218
2017-06-23,4218
2017-06-24,4218
2017-06-25,4040
2017-06-26,4040
2017-06-27,4040
2017-06-28,4040
2017-06-29,4040
2017-06-30,4040
2017-07-01,4040
2017-07-02,3929
2017-07-03,3929
2017-07-04,3929
2017-07-05,3929
2017-07-06,3929
2017-07-07,3929
2017-07-08,3929
2017-07-13,3779
2017-07-14,3779
2017-07-15,3779
2017-07-16,3612
2017-07-17,3612
2017-07-18,3612
2017-07-19,3612
2017-07-20,3612
2017-07-21,3612
2017-07-22,3465
2017-07-23,3465
2017-07-24,3465
2017-07-25,3465
2017-07-26,3465
2017-07-27,3465
2017-07-28,3324
2017-07-29,3324
2017-07-30,3324
2017-07-31,3324
2017-08-01,3324
2017-08-02,3324
2017-08-03,3438
2017-08-04,3438
2017-08-05,3438
2017-08-06,3438
2017-08-09,3440
2017-08-10,3440
2017-08-11,3440
2017-08-12,3440
2017-08-13,3440
2017-08-14,3440
2017-08-15,3328
2017-08-16,3328
2017-08-17,3328
2017-08-18,3328
2017-08-19,3328
2017-08-20,3328
2017-08-21,3327
2017-08-22,3327
2017-08-23,3327
2017-08-24,3327
2017-08-25,3327
2017-08-26,3327
2017-08-27,3493
2017-08-28,3493
2017-08-29,3493
2017-08-30,3493
2017-08-31,3493
2017-09-01,3493
2017-09-03,3659
2017-09-04,3659
2017-09-05,3659
2017-09-06,3659
2017-09-07,3659
2017-09-08,3659
2017-09-09,3842
2017-09-10,3842
2017-09-11,3842
2017-09-12,3842
2017-09-13,3842
2017-09-14,3842
2017-09-15,3842
2017-09-16,3952
2017-09-17,3952
2017-09-18,3952
2017-09-19,3952
2017-09-20,3952
2017-09-21,3952
2017-09-22,3952
2017-09-23,3963
2017-09-24,3963
2017-09-25,3963
2017-09-26,3963
2017-09-27,3963
2017-09-28,3963
2017-09-29,3963
2017-09-30,4116
2017-10-01,4116
2017-10-02,4116
