date_obj,Guthan's%20chainskirt price
2015-03-26,309662
2015-03-27,309662
2015-03-28,307186
2015-03-29,303787
2015-03-30,293820
2015-03-31,293820
2015-04-01,286475
2015-04-02,294177
2015-04-03,296758
2015-04-04,293097
2015-04-05,293097
2015-04-06,292039
2015-04-07,286378
2015-04-08,286378
2015-04-09,288510
2015-04-10,289840
2015-04-11,299609
2015-04-12,304885
2015-04-13,312511
2015-04-14,312511
2015-04-15,316607
2015-04-16,316607
2015-04-17,305842
2015-04-18,307191
2015-04-19,314693
2015-04-20,314693
2015-04-21,330428
2015-04-22,330428
2015-04-23,346950
2015-04-24,346950
2015-04-25,364150
2015-04-26,364150
2015-04-27,380325
2015-04-28,383174
2015-04-29,383174
2015-04-30,390445
2015-05-01,397103
2015-05-02,394898
2015-05-03,394898
2015-05-04,403477
2015-05-05,403477
2015-05-06,409705
2015-05-07,409705
2015-05-08,400948
2015-05-09,400948
2015-05-10,394942
2015-05-11,394942
2015-05-12,383291
2015-05-13,383291
2015-05-14,366241
2015-05-15,366241
2015-05-16,348247
2015-05-17,331757
2015-05-18,331757
2015-05-19,315304
2015-05-20,315304
2015-05-21,301302
2015-05-22,286236
2015-05-23,286236
2015-05-24,280981
2015-05-25,274940
2015-05-26,275286
2015-05-27,275286
2015-05-28,280360
2015-05-29,281114
2015-05-30,277334
2015-05-31,280458
2015-06-01,286093
2015-06-02,286093
2015-06-03,275238
2015-06-04,267557
2015-06-05,264189
2015-06-06,273436
2015-06-07,276473
2015-06-08,273584
2015-06-09,268146
2015-06-10,260726
2015-06-11,257690
2015-06-12,259401
2015-06-13,267282
2015-06-14,278075
2015-06-15,290017
2015-06-16,301836
2015-06-17,314389
2015-06-18,314328
2015-06-19,309196
2015-06-20,297416
2015-06-21,292893
2015-06-22,302457
2015-06-23,310612
2015-06-24,306274
2015-06-25,306274
2015-06-26,305231
2015-06-27,305231
2015-06-28,305813
2015-06-29,305813
2015-06-30,298303
2015-07-01,292066
2015-07-02,292066
2015-07-03,291699
2015-07-04,288643
2015-07-05,293777
2015-07-06,289404
2015-07-07,290388
2015-07-08,301784
2015-07-09,301784
2015-07-10,303084
2015-07-11,303084
2015-07-12,311523
2015-07-13,303290
2015-07-14,293844
2015-07-15,291447
2015-07-16,290233
2015-07-17,289167
2015-07-18,289167
2015-07-19,284848
2015-07-20,279722
2015-07-21,274241
2015-07-22,266305
2015-07-23,266305
2015-07-24,272329
2015-07-25,280952
2015-07-26,284084
2015-07-27,295792
2015-07-28,303563
2015-07-29,299200
2015-07-30,299200
2015-07-31,294564
2015-08-01,289416
2015-08-02,285340
2015-08-03,282448
2015-08-04,290508
2015-08-05,303172
2015-08-06,317512
2015-08-07,332516
2015-08-08,349142
2015-08-09,366593
2015-08-10,384923
2015-08-11,404170
2015-08-12,404170
2015-08-13,424379
2015-08-14,445598
2015-08-15,445598
2015-08-16,467878
2015-08-17,491272
2015-08-18,515836
2015-08-19,541572
2015-08-20,541572
2015-08-21,566897
2015-08-22,578877
2015-08-23,578877
2015-08-24,586339
2015-08-25,586339
2015-08-26,611467
2015-08-27,620048
2015-08-28,620048
2015-08-29,602527
2015-08-30,602527
2015-08-31,572400
2015-09-01,543780
2015-09-02,543780
2015-09-03,516591
2015-09-04,490761
2015-09-05,490761
2015-09-06,469715
2015-09-07,456840
2015-09-08,442593
2015-09-09,424452
2015-09-10,403384
2015-09-11,383214
2015-09-12,364053
2015-09-13,345850
2015-09-14,330645
2015-09-15,314112
2015-09-16,314112
2015-09-17,298406
2015-09-18,298406
2015-09-19,283485
2015-09-20,283485
2015-09-21,269320
2015-09-22,256389
2015-09-23,243569
2015-09-24,243569
2015-09-25,237713
2015-09-27,233566
2015-09-28,227911
2015-09-29,229628
2015-09-30,238299
2015-10-05,250939
2015-10-06,246374
2015-10-07,246374
2015-10-08,251535
2015-10-09,263981
2015-10-10,263981
2015-10-11,274822
2015-10-12,286771
2015-10-13,286771
2015-10-14,298438
2015-10-15,304510
2015-10-16,318217
2015-10-17,318217
2015-10-18,329362
2015-10-19,324306
2015-10-20,324306
2015-10-22,315047
2015-10-23,313887
2015-10-24,313887
2015-10-25,311739
2015-10-26,310730
2015-10-27,310730
2015-10-29,318956
2015-10-30,324567
2015-10-31,324567
2015-11-01,319481
2015-11-02,319481
2015-11-03,317131
2015-11-04,317131
2015-11-05,314658
2015-11-06,314658
2015-11-07,320254
2015-11-08,320254
2015-11-09,326262
2015-11-10,326262
2015-11-11,332738
2015-11-12,332738
2015-11-13,328964
2015-11-14,328964
2015-11-15,338354
2015-11-16,338354
2015-11-17,334797
2015-11-18,334797
2015-11-19,332631
2015-11-20,332631
2015-11-21,331779
2015-11-22,329808
2015-11-23,329808
2015-11-24,332886
2015-11-25,338963
2015-11-26,338963
2015-11-27,341596
2015-11-28,341596
2015-11-29,346505
2015-11-30,351883
2015-12-01,351883
2015-12-02,361856
2015-12-03,374650
2015-12-04,374650
2015-12-05,387057
2015-12-06,400912
2015-12-07,400912
2015-12-08,410805
2015-12-09,421500
2015-12-10,421500
2015-12-11,428535
2015-12-12,428535
2015-12-13,448172
2015-12-14,448172
2015-12-15,458952
2015-12-16,458952
2015-12-17,475522
2015-12-18,498100
2015-12-19,520276
2015-12-20,541669
2015-12-21,541669
2015-12-22,559220
2015-12-23,577141
2015-12-24,577141
2015-12-25,579254
2015-12-26,579254
2015-12-27,569227
2015-12-28,569227
2015-12-29,548574
2015-12-31,523323
2016-01-01,520016
2016-01-02,520016
2016-01-03,520623
2016-01-04,546469
2016-01-05,562756
2016-01-06,564985
2016-01-07,564985
2016-01-08,552443
2016-01-09,552443
2016-01-10,538763
2016-01-11,538763
2016-01-12,528137
2016-01-13,528137
2016-01-14,521673
2016-01-15,506940
2016-01-16,511772
2016-01-17,515415
2016-01-18,528267
2016-01-19,528267
2016-01-20,526672
2016-01-21,526672
2016-01-22,510961
2016-01-23,507585
2016-01-24,510858
2016-01-25,509927
2016-01-26,509927
2016-01-27,515477
2016-01-28,515477
2016-01-29,514782
2016-01-30,514782
2016-01-31,523458
2016-02-01,513124
2016-02-02,513124
2016-02-03,507517
2016-02-04,507517
2016-02-05,500627
2016-02-06,482062
2016-02-07,482062
2016-02-08,465990
2016-02-09,465990
2016-02-10,456821
2016-02-11,456821
2016-02-12,456056
2016-02-13,470669
2016-02-14,470669
2016-02-15,476904
2016-02-16,476904
2016-02-17,470914
2016-02-18,470914
2016-02-19,461347
2016-02-20,460981
2016-02-21,454228
2016-02-22,454228
2016-02-23,450072
2016-02-24,450072
2016-02-25,437023
2016-02-26,437023
2016-02-27,430760
2016-02-28,430760
2016-02-29,428787
2016-03-01,443273
2016-03-02,443273
2016-03-03,433688
2016-03-04,433688
2016-03-05,428327
2016-03-06,428699
2016-03-07,428699
2016-03-08,439720
2016-03-09,431219
2016-03-10,430702
2016-03-11,430702
2016-03-12,429100
2016-03-13,429100
2016-03-14,450521
2016-03-15,472670
2016-03-16,493196
2016-03-17,493196
2016-03-18,517856
2016-03-19,542653
2016-03-20,569786
2016-03-21,569786
2016-03-22,598276
2016-03-23,626933
2016-03-24,626933
2016-03-25,657776
2016-03-26,657776
2016-03-27,654744
2016-03-28,622621
2016-03-29,593946
2016-03-30,593946
2016-03-31,564248
2016-04-01,537502
2016-04-02,512653
2016-04-03,487020
2016-04-04,462690
2016-04-05,462690
2016-04-06,440404
2016-04-07,440404
2016-04-08,431691
2016-04-09,428177
2016-04-10,427797
2016-04-11,427797
2016-04-12,436841
2016-04-13,437184
2016-04-14,437184
2016-04-15,441060
2016-04-16,450749
2016-04-17,448851
2016-04-18,446425
2016-04-19,446425
2016-04-20,433783
2016-04-21,433783
2016-04-22,426880
2016-04-23,420865
2016-04-24,412073
2016-04-25,410822
2016-04-26,408986
2016-04-27,404582
2016-04-28,404582
2016-04-29,413568
2016-04-30,427631
2016-05-01,440263
2016-05-02,445588
2016-05-03,438469
2016-05-04,437833
2016-05-05,439909
2016-05-06,439909
2016-05-07,449537
2016-05-08,459150
2016-05-09,463209
2016-05-10,467952
2016-05-11,467952
2016-05-12,470290
2016-05-13,465180
2016-05-14,458669
2016-05-15,445229
2016-05-16,433565
2016-05-17,423557
2016-05-18,410670
2016-05-19,408763
2016-05-22,416924
2016-05-23,407530
2016-05-24,407088
2016-05-25,417327
2016-05-26,414731
2016-05-27,420640
2016-05-28,420640
2016-05-29,422352
2016-05-30,422352
2016-05-31,413253
2016-06-01,407587
2016-06-02,401949
2016-06-03,401949
2016-06-04,390986
2016-06-05,390986
2016-06-06,382344
2016-06-07,382344
2016-06-08,376706
2016-06-09,380754
2016-06-10,386238
2016-06-11,386238
2016-06-12,385550
2016-06-13,385550
2016-06-14,377910
2016-06-15,377910
2016-06-16,382337
2016-06-17,375063
2016-06-18,375063
2016-06-19,379828
2016-06-20,393028
2016-06-21,398534
2016-06-22,411283
2016-06-23,428473
2016-06-24,428473
2016-06-25,448694
2016-06-26,448694
2016-06-27,462856
2016-06-28,452285
2016-06-29,441450
2016-06-30,449549
2016-07-01,445919
2016-07-02,445919
2016-07-03,457829
2016-07-04,461412
2016-07-05,461412
2016-07-06,456974
2016-07-07,448668
2016-07-08,434105
2016-07-09,431557
2016-07-10,434529
2016-07-11,429398
2016-07-12,417359
2016-07-13,411811
2016-07-14,395117
2016-07-15,412229
2016-07-16,428394
2016-07-17,418103
2016-07-18,415312
2016-07-23,383583
2016-07-24,387326
2016-07-25,395506
2016-07-26,395506
2016-07-27,415099
2016-07-28,415099
2016-07-29,434944
2016-07-30,454320
2016-07-31,454320
2016-08-01,462097
2016-08-02,450624
2016-08-03,431587
2016-08-04,431587
2016-08-05,419635
2016-08-06,406010
2016-08-07,418141
2016-08-08,418141
2016-08-09,402401
2016-08-10,386918
2016-08-11,386918
2016-08-12,376830
2016-08-13,376830
2016-08-14,374017
2016-08-15,390790
2016-08-16,409401
2016-08-17,409401
2016-08-18,420913
2016-08-19,419619
2016-08-20,403926
2016-08-21,399399
2016-08-22,386634
2016-08-23,373302
2016-08-24,373302
2016-08-25,365806
2016-08-26,365806
2016-08-28,380483
2016-08-31,368426
2016-09-01,357673
2016-09-02,357673
2016-09-03,345691
2016-09-04,358303
2016-09-05,363255
2016-09-06,360338
2016-09-07,360338
2016-09-08,361867
2016-09-09,361867
2016-09-10,370228
2016-09-11,370228
2016-09-12,374989
2016-09-13,357083
2016-09-14,357083
2016-09-15,344522
2016-09-16,344522
2016-09-17,358752
2016-09-18,375151
2016-09-19,392773
2016-09-20,392773
2016-09-21,411112
2016-09-22,430076
2016-09-23,444347
2016-09-24,444347
2016-09-25,425549
2016-09-26,425549
2016-09-27,408131
2016-09-28,398363
2016-09-29,398363
2016-09-30,390731
2016-10-01,394893
2016-10-02,394893
2016-10-03,399739
2016-10-04,399739
2016-10-05,413301
2016-10-06,413301
2016-10-07,429630
2016-10-08,425789
2016-10-09,425789
2016-10-10,433452
2016-10-11,415311
2016-10-12,415311
2016-10-13,424071
2016-10-14,440717
2016-10-15,460459
2016-10-16,477770
2016-10-17,484087
2016-10-18,484087
2016-10-19,489995
2016-10-20,489995
2016-10-21,502349
2016-10-22,502349
2016-10-23,511972
2016-10-24,535654
2016-10-25,535654
2016-10-26,531248
2016-10-27,531248
2016-10-28,527016
2016-10-29,543272
2016-10-30,536272
2016-10-31,543482
2016-11-01,543482
2016-11-02,542473
2016-11-03,542473
2016-11-04,521520
2016-11-05,521520
2016-11-06,508577
2016-11-07,508577
2016-11-08,494277
2016-11-09,477196
2016-11-10,465789
2016-11-11,465789
2016-11-12,460578
2016-11-13,460578
2016-11-14,466278
2016-11-15,466278
2016-12-07,512754
2016-12-08,503404
2016-12-09,490368
2016-12-10,490368
2016-12-11,488496
2016-12-12,505438
2016-12-13,504713
2016-12-14,511628
2016-12-15,511628
2016-12-16,536263
2016-12-17,560921
2016-12-18,560921
2016-12-19,588968
2016-12-20,617054
2016-12-21,647889
2016-12-22,647889
2016-12-23,667584
2016-12-24,667584
2016-12-25,690081
2016-12-26,721300
2016-12-27,749532
2016-12-28,776566
2016-12-29,807768
2016-12-30,831240
2016-12-31,846417
2017-01-01,853895
2017-01-02,856870
2017-01-03,856870
2017-01-04,824082
2017-01-05,782877
2017-01-06,743733
2017-01-07,706546
2017-01-08,671218
2017-01-09,637657
2017-01-10,605774
2017-01-11,575485
2017-01-12,549143
2017-01-13,549143
2017-01-14,531788
2017-01-15,530791
2017-01-16,517837
2017-01-17,503662
2017-01-18,487312
