date_obj,Rune%20scimitar%20ornament%20kit%20(zamorak) price
2019-04-11,50000
2019-04-11,52500
2019-04-12,55125
2019-04-13,57882
2019-04-14,60777
2019-04-15,580000
2019-04-16,551000
2019-04-17,554235
2019-04-18,580499
2019-04-19,580960
2019-04-20,575655
2019-04-21,567551
2019-04-22,555722
2019-04-23,537740
2019-04-24,524204
2019-04-25,509027
2019-04-26,494024
2019-04-27,480540
2019-04-28,466559
2019-04-29,451732
2019-04-30,436413
2019-05-01,427861
2019-05-02,420538
2019-05-03,409435
2019-05-04,398610
2019-05-05,388582
2019-05-06,377608
2019-05-07,369238
2019-05-08,372520
2019-05-09,367670
2019-05-10,363594
2019-05-11,365141
2019-05-12,366893
2019-05-13,372275
2019-05-14,378962
2019-05-15,386286
2019-05-16,390934
2019-05-17,388590
2019-05-18,390874
2019-05-19,391792
2019-05-20,393725
2019-05-21,395458
2019-05-22,391879
2019-05-23,389462
2019-05-24,388555
2019-05-25,386691
2019-05-26,392910
2019-05-27,400016
2019-05-28,399835
2019-05-29,397795
2019-05-30,396568
2019-05-31,393729
2019-06-01,393695
2019-06-02,395064
2019-06-03,395188
2019-06-04,398925
2019-06-05,411563
2019-06-06,419651
2019-06-07,419812
2019-06-08,419775
2019-06-09,416087
2019-06-10,412985
2019-06-11,410214
2019-06-12,408877
2019-06-13,410578
2019-06-14,410716
2019-06-15,412141
2019-06-16,414747
2019-06-17,408783
2019-06-18,405457
2019-06-19,402483
2019-06-20,398757
2019-06-21,403480
2019-06-22,403902
2019-06-23,402155
2019-06-24,400413
2019-06-25,404763
2019-06-26,400857
2019-06-27,398383
2019-06-28,395794
2019-06-29,390130
2019-06-30,386240
2019-07-01,383268
2019-07-02,382333
2019-07-03,379169
2019-07-04,379233
2019-07-05,377037
2019-07-06,378228
2019-07-07,379232
2019-07-08,378154
2019-07-09,380578
2019-07-10,391058
2019-07-11,407317
2019-07-12,420712
2019-07-13,427976
2019-07-14,427118
2019-07-15,426881
2019-07-16,433653
2019-07-17,440722
2019-07-18,448521
2019-07-19,459342
2019-07-20,454649
2019-07-21,458426
2019-07-22,451334
2019-07-23,444867
2019-07-24,440612
2019-07-25,439989
2019-07-26,439771
2019-07-27,440909
2019-07-28,447754
2019-07-29,447863
2019-07-30,439578
2019-07-31,434659
2019-08-01,430186
2019-08-02,418601
2019-08-03,406665
2019-08-04,396953
2019-08-05,391955
2019-08-06,392541
2019-08-07,393703
2019-08-08,396516
2019-08-09,385703
2019-08-10,388496
2019-08-11,386385
2019-08-12,387192
2019-08-13,386425
2019-08-14,383179
2019-08-15,388066
2019-08-16,394597
2019-08-17,394597
2019-08-18,395184
2019-08-19,402653
2019-08-20,411169
2019-08-21,410258
2019-08-22,413353
2019-08-23,419276
2019-08-24,422384
2019-08-24,422384
2019-08-25,423964
2019-08-25,423964
2019-08-26,415890
2019-08-26,415890
2019-08-27,410095
2019-08-27,410095
2019-08-28,416010
2019-08-29,415398
2019-08-30,412574
2019-08-31,410316
2019-09-01,416759
2019-09-02,414389
2019-09-03,414164
2019-09-04,416825
2019-09-05,418325
2019-09-06,419026
2019-09-07,419401
2019-09-08,416301
2019-09-09,415950
2019-09-10,418085
2019-09-11,417248
2019-09-12,419106
2019-09-13,417408
2019-09-14,414685
2019-09-15,413149
2019-09-16,414027
2019-09-17,417072
2019-09-18,412420
2019-09-19,409840
2019-09-20,408324
2019-09-21,408191
2019-09-22,410151
2019-09-23,408203
2019-09-24,408203
2019-09-25,404690
2019-09-26,397621
2019-09-27,393290
2019-09-28,391466
2019-09-29,390319
2019-09-30,389416
2019-10-01,384800
2019-10-02,385942
2019-10-03,381992
2019-10-04,376202
2019-10-05,374528
2019-10-06,376989
2019-10-07,380554
2019-10-08,380930
2019-10-09,380231
2019-10-10,380608
2019-10-11,385015
2019-10-12,391984
2019-10-13,390386
2019-10-14,388900
2019-10-15,388279
2019-10-16,389358
2019-10-17,393158
2019-10-18,392966
2019-10-19,392082
2019-10-20,391083
2019-10-21,392558
2019-10-22,395022
2019-10-23,390228
2019-10-24,387326
2019-10-25,385561
2019-10-26,384589
2019-10-27,381537
2019-10-28,374830
2019-10-29,368688
2019-10-30,365111
2019-10-31,363983
2019-11-01,358112
2019-11-02,358657
2019-11-03,360402
2019-11-04,363902
2019-11-05,364149
2019-11-06,364530
2019-11-07,364247
2019-11-08,361754
2019-11-09,353963
2019-11-10,351897
2019-11-11,351359
2019-11-12,347777
2019-11-13,347749
2019-11-14,345419
2019-11-15,343383
2019-11-16,346225
2019-11-17,346420
2019-11-18,345540
2019-11-19,348845
2019-11-20,348109
2019-11-21,342660
2019-11-22,345888
2019-11-23,348419
2019-11-24,351693
2019-11-25,349171
2019-11-26,352202
2019-11-27,354927
2019-11-28,357125
2019-11-29,359005
2019-11-30,354203
2019-12-01,357269
2019-12-02,354694
2019-12-03,354392
2019-12-04,352663
2019-12-05,356454
2019-12-06,361875
2019-12-07,369117
2019-12-08,373257
2019-12-09,374777
2019-12-10,375343
2019-12-11,376011
2019-12-12,375032
2019-12-13,378973
2019-12-14,381477
2019-12-15,386450
2019-12-16,389794
2019-12-17,394460
2019-12-18,400392
2019-12-19,401228
2019-12-20,404263
2019-12-21,404547
2019-12-22,406705
2019-12-23,404638
2019-12-24,404674
2019-12-25,408136
2019-12-26,409820
2019-12-27,412642
2019-12-28,412609
2019-12-29,414493
2019-12-30,414664
2019-12-31,413265
2020-01-01,410873
2020-01-02,410300
2020-01-03,403522
2020-01-04,401157
2020-01-05,395034
2020-01-06,390202
2020-01-07,384327
2020-01-08,376150
2020-01-09,371964
2020-01-10,370282
2020-01-11,368619
2020-01-12,363763
2020-01-13,357466
2020-01-14,349619
2020-01-15,343022
2020-01-16,340223
2020-01-17,337866
2020-01-18,338939
2020-01-19,336691
2020-01-20,333733
2020-01-21,334383
2020-01-22,332899
2020-01-23,331109
2020-01-24,330759
2020-01-25,331909
2020-01-26,327875
2020-01-27,324461
2020-01-28,318327
2020-01-29,316965
2020-01-30,316137
2020-01-31,313399
2020-02-01,308505
2020-02-02,304263
2020-02-03,296607
2020-02-04,286508
2020-02-05,277144
2020-02-06,270466
2020-02-07,261301
2020-02-08,259590
2020-02-09,256108
2020-02-10,251445
2020-02-11,247360
2020-02-12,243303
2020-02-13,238007
2020-02-14,233657
2020-02-15,228668
2020-02-16,222449
2020-02-17,217059
2020-02-18,214748
2020-02-19,214055
2020-02-20,211478
2020-02-21,211173
2020-02-22,208451
2020-02-23,210230
2020-02-24,209878
2020-02-25,206673
2020-02-26,203151
2020-02-27,198629
2020-02-28,199121
2020-02-29,197885
2020-03-01,196522
2020-03-02,200146
2020-03-03,199406
2020-03-04,195191
2020-03-05,195722
2020-03-06,194861
2020-03-07,193867
2020-03-08,194378
2020-03-09,194435
2020-03-10,194646
2020-03-11,192707
2020-03-12,190258
2020-03-13,187422
2020-03-14,186274
2020-03-15,184509
2020-03-16,182440
2020-03-17,179110
2020-03-18,175492
2020-03-19,173082
2020-03-20,170919
2020-03-21,172480
2020-03-22,173366
2020-03-23,176450
2020-03-24,177618
2020-03-25,178864
2020-03-26,181035
2020-03-27,182503
2020-03-28,184181
2020-03-29,183876
2020-03-30,185398
2020-03-31,187058
2020-04-01,188849
2020-04-02,191426
2020-04-03,193174
2020-04-04,193817
2020-04-05,195753
2020-04-06,197122
2020-04-07,197428
2020-04-08,200311
2020-04-09,204426
2020-04-10,208324
2020-04-11,208502
2020-04-12,207063
2020-04-13,203352
2020-04-14,200421
2020-04-15,198895
2020-04-16,197469
2020-04-17,196029
