date_obj,Black%20platebody%20(g) price
2015-03-26,120097
2015-03-27,120097
2015-03-28,120097
2015-03-29,116627
2015-03-30,116627
2015-03-31,116627
2015-04-01,116627
2015-04-02,116627
2015-04-03,112663
2015-04-04,112663
2015-04-05,112663
2015-04-06,112663
2015-04-07,109307
2015-04-08,109307
2015-04-09,109307
2015-04-10,109307
2015-04-11,109307
2015-04-12,106047
2015-04-13,106047
2015-04-14,106047
2015-04-15,106047
2015-04-16,106047
2015-04-17,102041
2015-04-18,102041
2015-04-19,102041
2015-04-20,102041
2015-04-21,99896
2015-04-22,99896
2015-04-23,99896
2015-04-24,99896
2015-04-25,99654
2015-04-26,99654
2015-04-27,99654
2015-04-28,99654
2015-04-29,99654
2015-04-30,97992
2015-05-01,97992
2015-05-02,97992
2015-05-03,97992
2015-05-04,97992
2015-05-05,96219
2015-05-06,96219
2015-05-07,96219
2015-05-08,96219
2015-05-09,95072
2015-05-10,95072
2015-05-11,95072
2015-05-12,95072
2015-05-13,95072
2015-05-14,91935
2015-05-15,91935
2015-05-16,91935
2015-05-17,91935
2015-05-18,90841
2015-05-19,90841
2015-05-20,90841
2015-05-21,90841
2015-05-22,90841
2015-05-23,90841
2015-05-24,91015
2015-05-25,91015
2015-05-26,91015
2015-05-27,91015
2015-05-28,91731
2015-05-29,91731
2015-05-30,91731
2015-05-31,94542
2015-06-01,94542
2015-06-02,94542
2015-06-03,94542
2015-06-04,96017
2015-06-05,96017
2015-06-06,96017
2015-06-07,97328
2015-06-08,97328
2015-06-09,97328
2015-06-10,97328
2015-06-11,97868
2015-06-12,97868
2015-06-13,97868
2015-06-14,97868
2015-06-15,99598
2015-06-16,99598
2015-06-17,99598
2015-06-18,100016
2015-06-19,100016
2015-06-20,100016
2015-06-21,100016
2015-06-22,99761
2015-06-23,99761
2015-06-24,99761
2015-06-25,99761
2015-06-26,100487
2015-06-27,100487
2015-06-28,100487
2015-06-29,100487
2015-06-30,100487
2015-07-01,103311
2015-07-02,103311
2015-07-03,103311
2015-07-04,103311
2015-07-05,107602
2015-07-06,107602
2015-07-07,107602
2015-07-08,107602
2015-07-09,111930
2015-07-10,111930
2015-07-11,111930
2015-07-12,111930
2015-07-13,116553
2015-07-14,116553
2015-07-15,116553
2015-07-16,116553
2015-07-17,120300
2015-07-18,120300
2015-07-19,120300
2015-07-20,120300
2015-07-21,125588
2015-07-22,125588
2015-07-23,125588
2015-07-24,125588
2015-07-25,128300
2015-07-26,128300
2015-07-27,128300
2015-07-28,128300
2015-07-29,133683
2015-07-30,133683
2015-07-31,133683
2015-08-01,133683
2015-08-02,138940
2015-08-03,138940
2015-08-04,138940
2015-08-05,138940
2015-08-06,142871
2015-08-07,142871
2015-08-08,142871
2015-08-09,142871
2015-08-10,147351
2015-08-11,147351
2015-08-12,147351
2015-08-13,147351
2015-08-14,150665
2015-08-15,150665
2015-08-16,150665
2015-08-17,150665
2015-08-18,154615
2015-08-19,154615
2015-08-20,154615
2015-08-21,154615
2015-08-22,157616
2015-08-23,157616
2015-08-24,157616
2015-08-25,157616
2015-08-26,157616
2015-08-27,156805
2015-08-28,156805
2015-08-29,156805
2015-08-30,156805
2015-08-31,156703
2015-09-01,156703
2015-09-02,156703
2015-09-03,156703
2015-09-04,157007
2015-09-05,157007
2015-09-06,157007
2015-09-07,157007
2015-09-08,156551
2015-09-09,156551
2015-09-10,156551
2015-09-11,156551
2015-09-12,158464
2015-09-13,158464
2015-09-14,158464
2015-09-15,164988
2015-09-16,164988
2015-09-17,164988
2015-09-18,164988
2015-09-19,172178
2015-09-20,172178
2015-09-21,172178
2015-09-22,172178
2015-09-23,179787
2015-09-24,179787
2015-09-25,179787
2015-09-27,187651
2015-09-28,187651
2015-09-29,187651
2015-09-30,196044
2015-10-05,199954
2015-10-06,199954
2015-10-07,199954
2015-10-08,199954
2015-10-09,194009
2015-10-10,194009
2015-10-11,194009
2015-10-12,194009
2015-10-13,194009
2015-10-14,192780
2015-10-15,192780
2015-10-16,192780
2015-10-17,192780
2015-10-18,192780
2015-10-19,188556
2015-10-20,188556
2015-10-22,188556
2015-10-23,188556
2015-10-24,181404
2015-10-25,181404
2015-10-26,181404
2015-10-27,181404
2015-10-29,175902
2015-10-30,175902
2015-10-31,175902
2015-11-01,175902
2015-11-02,173267
2015-11-03,173267
2015-11-04,173267
2015-11-05,173267
2015-11-06,173267
2015-11-07,178779
2015-11-08,178779
2015-11-09,178779
2015-11-10,178779
2015-11-11,178779
2015-11-12,186311
2015-11-13,186311
2015-11-14,186311
2015-11-15,186311
2015-11-16,186311
2015-11-17,193920
2015-11-18,193920
2015-11-19,193920
2015-11-20,193920
2015-11-21,193920
2015-11-22,194082
2015-11-23,194082
2015-11-24,194082
2015-11-25,194082
2015-11-26,194082
2015-11-27,198863
2015-11-28,198863
