date_obj,Teak%20plank price
2015-03-26,660
2015-03-27,660
2015-03-28,663
2015-03-29,643
2015-03-30,643
2015-03-31,618
2015-04-01,618
2015-04-02,623
2015-04-03,623
2015-04-04,609
2015-04-05,609
2015-04-06,595
2015-04-07,595
2015-04-08,593
2015-04-09,593
2015-04-10,605
2015-04-11,605
2015-04-12,620
2015-04-13,620
2015-04-14,619
2015-04-15,623
2015-04-16,623
2015-04-17,636
2015-04-18,636
2015-04-19,640
2015-04-20,640
2015-04-21,647
2015-04-22,647
2015-04-23,633
2015-04-24,633
2015-04-25,656
2015-04-26,656
2015-04-27,678
2015-04-28,678
2015-04-29,674
2015-04-30,674
2015-05-01,681
2015-05-02,696
2015-05-03,696
2015-05-04,691
2015-05-05,691
2015-05-06,690
2015-05-07,690
2015-05-08,672
2015-05-09,647
2015-05-10,634
2015-05-11,634
2015-05-12,664
2015-05-13,664
2015-05-14,687
2015-05-15,687
2015-05-16,690
2015-05-17,694
2015-05-18,694
2015-05-19,675
2015-05-20,675
2015-05-21,675
2015-05-22,661
2015-05-23,661
2015-05-24,641
2015-05-25,629
2015-05-26,629
2015-05-27,613
2015-05-28,624
2015-05-29,618
2015-05-30,635
2015-05-31,635
2015-06-01,649
2015-06-02,649
2015-06-03,648
2015-06-04,648
2015-06-05,666
2015-06-06,675
2015-06-07,675
2015-06-08,679
2015-06-09,688
2015-06-10,693
2015-06-11,693
2015-06-12,703
2015-06-13,711
2015-06-14,711
2015-06-15,695
2015-06-16,695
2015-06-17,685
2015-06-18,672
2015-06-19,672
2015-06-20,668
2015-06-21,668
2015-06-22,643
2015-06-23,643
2015-06-24,635
2015-06-25,635
2015-06-26,627
2015-06-27,627
2015-06-28,635
2015-06-29,635
2015-06-30,651
2015-07-01,651
2015-07-02,680
2015-07-03,675
2015-07-04,675
2015-07-05,662
2015-07-06,662
2015-07-07,675
2015-07-08,669
2015-07-09,669
2015-07-10,676
2015-07-11,676
2015-07-12,656
2015-07-13,625
2015-07-14,613
2015-07-15,613
2015-07-16,637
2015-07-17,651
2015-07-18,651
2015-07-19,652
2015-07-20,644
2015-07-21,644
2015-07-22,642
2015-07-23,642
2015-07-24,643
2015-07-25,643
2015-07-26,635
2015-07-27,635
2015-07-28,631
2015-07-29,626
2015-07-30,626
2015-07-31,643
2015-08-01,643
2015-08-02,664
2015-08-03,664
2015-08-04,669
2015-08-05,669
2015-08-06,669
2015-08-07,664
2015-08-08,665
2015-08-09,645
2015-08-10,645
2015-08-11,663
2015-08-12,663
2015-08-13,663
2015-08-14,687
2015-08-15,687
2015-08-16,687
2015-08-17,715
2015-08-18,715
2015-08-19,728
2015-08-20,728
2015-08-21,733
2015-08-22,733
2015-08-23,751
2015-08-24,751
2015-08-25,751
2015-08-26,770
2015-08-27,770
2015-08-28,774
2015-08-29,774
2015-08-30,741
2015-08-31,741
2015-09-01,757
2015-09-02,757
2015-09-03,757
2015-09-04,777
2015-09-05,777
2015-09-06,777
2015-09-07,758
2015-09-08,758
2015-09-09,738
2015-09-10,738
2015-09-11,768
2015-09-12,768
2015-09-13,790
2015-09-14,790
2015-09-15,760
2015-09-16,760
2015-09-17,760
2015-09-18,740
2015-09-19,740
2015-09-20,746
2015-09-21,746
2015-09-22,765
2015-09-23,765
2015-09-24,765
2015-09-25,738
2015-09-27,719
2015-09-28,719
2015-09-29,698
2015-09-30,698
2015-10-05,728
2015-10-06,728
2015-10-07,750
2015-10-08,750
2015-10-09,785
2015-10-10,785
2015-10-11,786
2015-10-12,786
2015-10-13,786
2015-10-14,790
2015-10-15,790
2015-10-16,806
2015-10-17,806
2015-10-18,806
2015-10-19,807
2015-10-20,807
2015-10-22,776
2015-10-23,776
2015-10-24,747
2015-10-25,747
2015-10-26,736
2015-10-27,736
2015-10-29,732
2015-10-30,732
2015-10-31,753
2015-11-01,753
2015-11-02,753
2015-11-03,754
2015-11-04,754
2015-11-05,754
2015-11-06,749
2015-11-07,749
2015-11-08,749
2015-11-09,757
2015-11-10,757
2015-11-11,757
2015-11-12,790
2015-11-13,790
2015-11-14,790
2015-11-15,781
2015-11-16,781
2015-11-17,781
2015-11-18,768
2015-11-19,768
2015-11-20,770
2015-11-21,770
2015-11-22,788
2015-11-23,788
2015-11-24,788
2015-11-25,805
2015-11-26,805
2015-11-27,805
2015-11-28,842
2015-11-29,842
2015-11-30,881
2015-12-01,881
2015-12-02,881
2015-12-03,918
2015-12-04,918
2015-12-05,918
2015-12-06,884
