date_obj,Brass%20necklace price
2015-03-26,287
2015-03-27,274
2015-03-28,274
2015-03-29,274
2015-03-30,274
2015-03-31,261
2015-04-01,261
2015-04-02,261
2015-04-03,261
2015-04-04,248
2015-04-05,248
2015-04-06,248
2015-04-07,248
2015-04-08,248
2015-04-09,236
2015-04-10,236
2015-04-11,236
2015-04-12,236
2015-04-13,225
2015-04-14,225
2015-04-15,225
2015-04-16,225
2015-04-17,213
2015-04-18,213
2015-04-19,213
2015-04-20,202
2015-04-21,202
2015-04-22,202
2015-04-23,192
2015-04-24,192
2015-04-25,192
2015-04-26,192
2015-04-27,183
2015-04-28,183
2015-04-29,183
2015-04-30,183
2015-05-01,174
2015-05-02,174
2015-05-03,174
2015-05-04,174
2015-05-05,166
2015-05-06,166
2015-05-07,166
2015-05-08,166
2015-05-09,158
2015-05-10,158
2015-05-11,158
2015-05-12,158
2015-05-13,151
2015-05-14,151
2015-05-15,151
2015-05-16,151
2015-05-17,144
2015-05-18,144
2015-05-19,144
2015-05-20,144
2015-05-21,144
2015-05-22,137
2015-05-23,137
2015-05-24,137
2015-05-25,137
2015-05-26,131
2015-05-27,131
2015-05-28,131
2015-05-29,126
2015-05-30,126
2015-05-31,126
2015-06-01,120
2015-06-02,120
2015-06-03,120
2015-06-04,120
2015-06-05,115
2015-06-06,115
2015-06-07,115
2015-06-08,115
2015-06-09,110
2015-06-10,110
2015-06-11,110
2015-06-12,110
2015-06-13,106
2015-06-14,106
2015-06-15,106
2015-06-16,106
2015-06-17,110
2015-06-18,110
2015-06-19,110
2015-06-20,110
2015-06-21,112
2015-06-22,112
2015-06-23,112
2015-06-24,112
2015-06-25,110
2015-06-26,110
2015-06-27,110
2015-06-28,110
2015-06-29,110
2015-06-30,110
2015-07-01,110
2015-07-02,110
2015-07-03,111
2015-07-04,111
2015-07-05,111
2015-07-06,111
2015-07-07,113
2015-07-08,113
2015-07-09,113
2015-07-10,110
2015-07-11,110
2015-07-12,110
2015-07-13,110
2015-07-14,105
2015-07-15,105
2015-07-16,105
2015-07-17,103
2015-07-18,103
2015-07-19,103
2015-07-20,103
2015-07-21,106
2015-07-22,106
2015-07-23,106
2015-07-24,102
2015-07-25,102
2015-07-26,102
2015-07-27,102
2015-07-28,97
2015-07-29,97
2015-07-30,97
2015-07-31,95
2015-08-01,95
2015-08-02,95
2015-08-03,91
2015-08-04,91
2015-08-05,91
2015-08-06,88
2015-08-07,88
2015-08-08,88
2015-08-09,84
2015-08-10,84
2015-08-11,84
2015-08-12,80
2015-08-13,80
2015-08-14,80
2015-08-15,80
2015-08-16,80
2015-08-17,77
2015-08-18,77
2015-08-19,77
2015-08-20,77
2015-08-21,74
2015-08-22,74
2015-08-23,74
2015-08-24,74
2015-08-25,74
2015-08-26,74
2015-08-27,74
2015-08-28,74
2015-08-29,74
2015-08-30,74
2015-08-31,74
2015-09-01,74
2015-09-02,71
2015-09-03,71
2015-09-04,71
2015-09-05,71
2015-09-06,71
2015-09-07,68
2015-09-08,68
2015-09-09,68
2015-09-10,68
2015-09-11,68
2015-09-12,68
2015-09-13,65
2015-09-14,65
2015-09-15,65
2015-09-16,65
2015-09-17,65
2015-09-18,65
2015-09-19,62
2015-09-20,62
2015-09-21,62
2015-09-22,62
2015-09-23,62
2015-09-24,62
2015-09-25,62
2015-09-27,59
2015-09-28,59
2015-09-29,59
2015-09-30,59
2015-10-05,57
2015-10-06,57
2015-10-07,57
2015-10-08,55
2015-10-09,55
2015-10-10,55
2015-10-11,55
2015-10-12,55
2015-10-13,55
2015-10-14,53
2015-10-15,53
2015-10-16,53
2015-10-17,53
2015-10-18,53
2015-10-19,53
2015-10-20,51
2015-10-22,51
2015-10-23,51
2015-10-24,51
2015-10-25,51
2015-10-26,49
2015-10-27,49
2015-10-29,49
2015-10-30,49
2015-10-31,49
2015-11-01,49
2015-11-02,47
2015-11-03,47
2015-11-04,47
2015-11-05,47
2015-11-06,47
2015-11-07,46
2015-11-08,46
2015-11-09,46
2015-11-10,46
2015-11-11,46
2015-11-12,46
2015-11-13,46
2015-11-14,44
2015-11-15,44
2015-11-16,44
2015-11-17,44
2015-11-18,44
2015-11-19,44
2015-11-20,42
2015-11-21,42
2015-11-22,42
2015-11-23,42
2015-11-24,42
2015-11-25,40
2015-11-26,40
2015-11-27,40
2015-11-28,40
2015-11-29,40
2015-11-30,38
2015-12-01,38
2015-12-02,38
2015-12-03,38
2015-12-04,38
2015-12-05,38
2015-12-06,38
2015-12-07,38
2015-12-08,38
2015-12-09,38
2015-12-10,38
2015-12-11,38
2015-12-12,38
2015-12-13,40
2015-12-14,40
2015-12-15,40
2015-12-16,40
2015-12-17,40
2015-12-18,40
2015-12-19,40
2015-12-20,40
