date_obj,Bat%20bones price
2015-03-26,374
2015-03-27,374
2015-03-28,389
2015-03-29,389
2015-03-30,381
2015-03-31,381
2015-04-01,395
2015-04-02,395
2015-04-03,414
2015-04-04,414
2015-04-05,412
2015-04-06,412
2015-04-07,400
2015-04-08,400
2015-04-09,400
2015-04-10,396
2015-04-11,396
2015-04-12,400
2015-04-13,400
2015-04-14,415
2015-04-15,415
2015-04-16,417
2015-04-17,417
2015-04-18,406
2015-04-19,406
2015-04-20,406
2015-04-21,393
2015-04-22,393
2015-04-23,384
2015-04-24,384
2015-04-25,385
2015-04-26,385
2015-04-27,390
2015-04-28,390
2015-04-29,390
2015-04-30,375
2015-05-01,375
2015-05-02,366
2015-05-03,366
2015-05-04,357
2015-05-05,357
2015-05-06,358
2015-05-07,358
2015-05-08,367
2015-05-09,367
2015-05-10,368
2015-05-11,368
2015-05-12,370
2015-05-13,370
2015-05-14,363
2015-05-15,363
2015-05-16,363
2015-05-17,373
2015-05-18,373
2015-05-19,389
2015-05-20,389
2015-05-21,389
2015-05-22,384
2015-05-23,384
2015-05-24,377
2015-05-25,377
2015-05-26,381
2015-05-27,381
2015-05-28,374
2015-05-29,374
2015-05-30,371
2015-05-31,371
2015-06-01,355
2015-06-02,355
2015-06-03,342
2015-06-04,342
2015-06-05,326
2015-06-06,326
2015-06-07,313
2015-06-08,313
2015-06-09,320
2015-06-10,320
2015-06-11,318
2015-06-12,318
2015-06-13,316
2015-06-14,316
2015-06-15,311
2015-06-16,311
2015-06-17,300
2015-06-18,308
2015-06-19,308
2015-06-20,324
2015-06-21,324
2015-06-22,321
2015-06-23,321
2015-06-24,312
2015-06-25,312
2015-06-26,308
2015-06-27,308
2015-06-28,317
2015-06-29,317
2015-06-30,313
2015-07-01,313
2015-07-02,316
2015-07-03,314
2015-07-04,314
2015-07-05,309
2015-07-06,309
2015-07-07,294
2015-07-08,294
2015-07-09,301
2015-07-10,301
2015-07-11,295
2015-07-12,295
2015-07-13,294
2015-07-14,294
2015-07-15,294
2015-07-16,294
2015-07-17,286
2015-07-18,286
2015-07-19,286
2015-07-20,286
2015-07-21,282
2015-07-22,271
2015-07-23,271
2015-07-24,277
2015-07-25,277
2015-07-26,280
2015-07-27,280
2015-07-28,282
2015-07-29,286
2015-07-30,286
2015-07-31,290
2015-08-01,290
2015-08-02,295
2015-08-03,295
2015-08-04,303
2015-08-05,316
2015-08-06,316
2015-08-07,311
2015-08-08,311
2015-08-09,304
2015-08-10,304
2015-08-11,292
2015-08-12,292
2015-08-13,286
2015-08-14,276
2015-08-15,276
2015-08-16,274
2015-08-17,274
2015-08-18,286
2015-08-19,286
2015-08-20,294
2015-08-21,294
