date_obj,Bronze%20hasta price
2015-03-26,5000
2015-03-27,5000
2015-03-28,5000
2015-03-29,5000
2015-03-30,5000
2015-03-31,5000
2015-04-01,5000
2015-04-02,5000
2015-04-03,5000
2015-04-04,5000
2015-04-05,5000
2015-04-06,5000
2015-04-07,5000
2015-04-08,5000
2015-04-09,5000
2015-04-10,5000
2015-04-11,5000
2015-04-12,4990
2015-04-13,4990
2015-04-14,4990
2015-04-15,4990
2015-04-16,4990
2015-04-17,4990
2015-04-18,4990
2015-04-19,4990
2015-04-20,4990
2015-04-21,4990
2015-04-22,4990
2015-04-23,4990
2015-04-24,4990
2015-04-25,4990
2015-04-26,4990
2015-04-27,4990
2015-04-28,4990
2015-04-29,4990
2015-04-30,4990
2015-05-01,4990
2015-05-02,4990
2015-05-03,4990
2015-05-04,4990
2015-05-05,4990
2015-05-06,4990
2015-05-07,4990
2015-05-08,4990
2015-05-09,4990
2015-05-10,4990
2015-05-11,4990
2015-05-12,4817
2015-05-13,4817
2015-05-14,4817
2015-05-15,4817
2015-05-16,4817
2015-05-17,4817
2015-05-18,4817
2015-05-19,4817
2015-05-20,4817
2015-05-21,4817
2015-05-22,4817
2015-05-23,4817
2015-05-24,4817
2015-05-25,4817
2015-05-26,4817
2015-05-27,4817
2015-05-28,4817
2015-05-29,4817
2015-05-30,4817
2015-05-31,4727
2015-06-01,4727
2015-06-02,4727
2015-06-03,4727
2015-06-04,4727
2015-06-05,4727
2015-06-06,4727
2015-06-07,4727
2015-06-08,4727
2015-06-09,4727
2015-06-10,4727
2015-06-11,4727
2015-06-12,4727
2015-06-13,4727
2015-06-14,4727
2015-06-15,4727
2015-06-16,4727
2015-06-17,4727
2015-06-18,4727
2015-06-19,4727
2015-06-20,4497
2015-06-21,4497
2015-06-22,4497
2015-06-23,4497
2015-06-24,4497
2015-06-25,4497
2015-06-26,4497
2015-06-27,4497
2015-06-28,4497
2015-06-29,4497
2015-06-30,4497
2015-07-01,4497
2015-07-02,4497
2015-07-03,4497
2015-07-04,4497
2015-07-05,4497
2015-07-06,4497
2015-07-07,4497
2015-07-08,4280
2015-07-09,4280
2015-07-10,4280
2015-07-11,4280
2015-07-12,4280
2015-07-13,4280
2015-07-14,4280
2015-07-15,4280
2015-07-16,4280
2015-07-17,4280
2015-07-18,4280
2015-07-19,4280
2015-07-20,4280
2015-07-21,4280
2015-07-22,4280
2015-07-23,4280
2015-07-24,4280
2015-07-25,4280
2015-07-26,4280
2015-07-27,4104
2015-07-28,4104
2015-07-29,4104
2015-07-30,4104
2015-07-31,4104
2015-08-01,4104
2015-08-02,4104
2015-08-03,4104
2015-08-04,4104
2015-08-05,4104
2015-08-06,4104
2015-08-07,4104
2015-08-08,4104
2015-08-09,4104
2015-08-10,4104
2015-08-11,4104
2015-08-12,4104
2015-08-13,4104
2015-08-14,3995
2015-08-15,3995
2015-08-16,3995
2015-08-17,3995
2015-08-18,3995
2015-08-19,3995
2015-08-20,3995
2015-08-21,3995
2015-08-22,3995
2015-08-23,3995
2015-08-24,3995
2015-08-25,3995
2015-08-26,3995
2015-08-27,3995
2015-08-28,3995
2015-08-29,3995
2015-08-30,3995
2015-08-31,3995
2015-09-01,3854
2015-09-02,3854
2015-09-03,3854
2015-09-04,3854
2015-09-05,3854
2015-09-06,3854
2015-09-07,3854
2015-09-08,3854
2015-09-09,3854
2015-09-10,3854
2015-09-11,3854
2015-09-12,3854
2015-09-13,3854
2015-09-14,3854
2015-09-15,3854
2015-09-16,3758
2015-09-17,3758
2015-09-18,3758
2015-09-19,3758
2015-09-20,3758
2015-09-21,3758
2015-09-22,3758
2015-09-23,3758
2015-09-24,3758
2015-09-25,3758
2015-09-27,3758
2015-09-28,3758
2015-09-29,3758
2015-09-30,3758
2015-10-05,3608
2015-10-06,3608
2015-10-07,3608
2015-10-08,3608
2015-10-09,3608
2015-10-10,3608
2015-10-11,3608
2015-10-12,3608
2015-10-13,3608
2015-10-14,3608
2015-10-15,3608
2015-10-16,3608
2015-10-17,3608
2015-10-18,3608
2015-10-19,3608
2015-10-20,3608
2015-10-22,3608
2015-10-23,3506
2015-10-24,3506
2015-10-25,3506
2015-10-26,3506
2015-10-27,3506
2015-10-29,3506
2015-10-30,3506
2015-10-31,3506
2015-11-01,3506
2015-11-02,3506
2015-11-03,3506
2015-11-04,3506
2015-11-05,3506
2015-11-06,3506
2015-11-07,3506
2015-11-08,3506
2015-11-09,3506
2015-11-10,3506
2015-11-11,3506
2015-11-12,3506
2015-11-13,3506
2015-11-14,3395
2015-11-15,3395
2015-11-16,3395
2015-11-17,3395
2015-11-18,3395
2015-11-19,3395
2015-11-20,3395
2015-11-21,3395
2015-11-22,3395
2015-11-23,3395
2015-11-24,3395
2015-11-25,3395
2015-11-26,3395
2015-11-27,3395
2015-11-28,3395
2015-11-29,3395
2015-11-30,3395
2015-12-01,3395
2015-12-02,3395
2015-12-03,3395
2015-12-04,3395
2015-12-05,3395
